ID_mosta,Trieda_PK,Číslo_PK,Názov_mosta,správcovské_číslo,Zemepisná_šírka,Zemepisná_dĺžka,Výška,Druh_konštrukcie,Material,Normálna_zaťažiteľnosť,Výhradná_zaťažiteľnosť_t,Výnimočná_zaťažiteľnosť_t,Spôsob_stanovenia,Predmet_premostenia,Rok_postavenia,Zaťažovacia_trieda_STN,Počet_otvorov,Dĺžka_premostenia,Dĺžka_nosnej_konštrukcie_m,Volná_šírka_mosta,Šírka_medzi_obrubami_m,Plocha_mosnej_konštrukcie_m2,Plocha_mosta_m2,Vlastník_úseku,Správca_úseku,Okres,Počiatočný_uzol,Koncový_uzol,úsek_ID,Kraj,n_2012,n_2013,n_2014,n_2015,n_2016,n_2017,n_2018,n_2019,n_2020,n_2021,n_2022,n_2023,n_2024,Quantile_Bin,Quantile_Bin_year
M1913,cesta III. triedy,1967,Most v obci Vrchteplá,10,49.130534,18.563236,502.971999,dosková,monolitický železobetón,16.000000,28.000000,120.000000,podľa tabuliek,Vodný tok,1967,Nezistený,1.000000,3.100000,nan,6.500000,6.500000,nan,24.180000,TN SK,SC TN SK - PB,Považská Bystrica,2544A36801,2544A36802,343650,Trenčín,4,4,4,4,4,4,4,4,4,4,4,4,4,"(1.999, 3.25]","(1965.0, 2022.0]"
M748,cesta III. triedy,1969,Most pri obci Pov. Teplá pred žel. stanicou,2,49.140536,18.467429,288.765249,dosková,monolitický železobetón,10.000000,24.000000,151.000000,podľa tabuliek,Vodný tok,1940,Nezistený,1.000000,5.200000,nan,6.800000,6.000000,nan,35.360000,TN SK,SC TN SK - PB,Považská Bystrica,2544A57100,2544A23700,945274,Trenčín,4,4,4,4,4,4,4,4,4,4,1,1,1,"(4.6, 6.72]","(999.999, 1949.333]"
M7293,cesta III. triedy,1227,Most cez potok Bošáčka v obci Bošáca,1,48.830575,17.838276,235.001749,dosková,prefabrikovaný predpätý betón,35.000000,78.000000,235.000000,porovnávací výpočet,Vodný tok,1981,Nezistený,1.000000,12.500000,nan,9.700000,7.250000,nan,nan,TN SK,SC TN SK - TN,Nové Mesto nad Váhom,3514A06600,3514A26400,8168,Trenčín,4,4,4,4,4,4,4,5,5,5,5,5,5,"(11.0, 260.36]","(1965.0, 2022.0]"
M3157,cesta III. triedy,1972,Most v obci Plevník,1,49.167714,18.499609,300.972750,dosková,monolitický železobetón,12.000000,30.000000,189.000000,podľa tabuliek,Vodný tok,1935,Nezistený,1.000000,5.100000,nan,8.700000,8.000000,nan,44.370000,TN SK,SC TN SK - PB,Považská Bystrica,2544A22900,2544A23000,343415,Trenčín,3,3,3,3,3,3,3,3,3,3,3,3,3,"(4.6, 6.72]","(999.999, 1949.333]"
M3583,cesta III. triedy,1875,Most cez Melčický potok pri obci Melčice,1,48.839397,17.902772,214.512499,trámová,oceľ -  plnostenná,18.000000,22.000000,36.000000,odhadom,Vodný tok,1966,Nezistený,1.000000,4.200000,nan,7.400000,6.800000,nan,nan,TN SK,SC TN SK - TN,Trenčín,3514A52700,3514A52900,382626,Trenčín,4,4,4,4,4,4,4,4,4,4,4,4,4,"(3.25, 4.6]","(1965.0, 2022.0]"
M878,cesta III. triedy,1750,Most cez potok v obci Janova Ves,5,48.560121,18.325483,210.642000,trámová,monolitický železobetón,16.000000,33.000000,207.000000,porovnávací výpočet,Vodný tok,1932,Nezistený,1.000000,2.500000,nan,7.700000,7.700000,nan,nan,TN SK,SC TN SK - PD,Partizánske,3541A18302,3541A18500,399010,Trenčín,4,4,4,4,4,4,4,4,4,4,4,5,5,"(1.999, 3.25]","(999.999, 1949.333]"
M3137,cesta III. triedy,1750,Most za obcou Janova Ves,6,48.554605,18.331036,212.167499,dosková,monolitický železobetón,11.000000,32.000000,280.000000,podľa tabuliek,Vodný tok,1932,Nezistený,1.000000,2.500000,nan,6.000000,6.000000,nan,nan,TN SK,SC TN SK - PD,Partizánske,3541A18500,3542A15700,399011,Trenčín,4,4,4,4,4,3,3,3,3,3,3,3,3,"(1.999, 3.25]","(999.999, 1949.333]"
M668,cesta III. triedy,1750,Most cez potok pred obcou Ješkova Ves,7,48.550252,18.337316,221.013000,dosková,monolitický železobetón,16.000000,42.000000,316.000000,podľa tabuliek,Vodný tok,1963,Nezistený,1.000000,4.000000,nan,7.700000,6.700000,nan,nan,TN SK,SC TN SK - PD,Partizánske,3542A15800,3542A02000,399013,Trenčín,3,3,3,3,3,4,4,4,4,4,4,4,4,"(3.25, 4.6]","(1949.333, 1965.0]"
M4020,cesta III. triedy,1750,Most cez potok za obcou Ješkova Ves,8,48.531846,18.363623,245.555500,dosková,monolitický železobetón,12.000000,28.000000,249.000000,porovnávací výpočet,Vodný tok,1932,Nezistený,1.000000,3.000000,nan,7.000000,6.500000,nan,nan,TN SK,SC TN SK - PD,Partizánske,3542A02000,3542A36100,6703,Trenčín,3,3,3,3,3,4,4,4,4,4,4,5,5,"(1.999, 3.25]","(999.999, 1949.333]"
M681,cesta III. triedy,1750,Most cez potok za obcou Ješkova Ves,9,48.525581,18.372449,257.938500,dosková,monolitický železobetón,19.000000,46.000000,294.000000,podľa tabuliek,Vodný tok,1957,Nezistený,1.000000,5.000000,nan,8.900000,8.100000,nan,nan,TN SK,SC TN SK - PD,Partizánske,3542A36100,3542A05000,1292453,Trenčín,3,3,3,3,3,4,4,4,4,4,4,4,4,"(4.6, 6.72]","(1949.333, 1965.0]"
M4213,cesta III. triedy,1753,Most cez rieku Nitra v obci Bošany,1,48.582211,18.245283,174.203999,trámová,prefabrikovaný predpätý betón,16.000000,36.000000,60.000000,porovnávací výpočet,Vodný tok,1968,Nezistený,3.000000,70.100000,nan,9.500000,7.000000,nan,nan,TN SK,SC TN SK - PD,Partizánske,3541A15700,3541A57900,398974,Trenčín,5,5,5,5,5,5,5,5,5,5,5,5,4,"(11.0, 260.36]","(1965.0, 2022.0]"
M4238,cesta III. triedy,1753,Most cez potok Livina za obcou Šišov,6,48.656853,18.184581,209.432499,dosková,monolitický železobetón,14.000000,30.000000,103.000000,porovnávací výpočet,Vodný tok,1958,Nezistený,1.000000,12.000000,nan,8.800000,6.500000,nan,nan,TN SK,SC TN SK - PD,Bánovce nad Bebravou,3541A11200,3541A04700,218400,Trenčín,3,3,3,3,3,4,4,4,4,4,4,4,4,"(11.0, 260.36]","(1949.333, 1965.0]"
M3502,cesta III. triedy,1753,Most cez potok pred obcou Malé Hostie,7,48.694345,18.146368,261.705499,dosková,monolitický železobetón,10.000000,32.000000,280.000000,podľa tabuliek,Vodný tok,1947,Nezistený,1.000000,2.150000,nan,7.250000,7.250000,nan,nan,TN SK,SC TN SK - PD,Bánovce nad Bebravou,3523A03901,3523A17100,7982,Trenčín,4,4,4,4,4,4,4,4,4,4,4,5,5,"(1.999, 3.25]","(999.999, 1949.333]"
M3865,cesta III. triedy,1753,Most cez potok v obci Malé Hostie,8,48.699216,18.137090,254.304000,dosková,monolitický železobetón,11.000000,31.000000,234.000000,podľa tabuliek,Miestna komunikácia,1951,Nezistený,1.000000,4.000000,nan,7.600000,6.700000,nan,nan,TN SK,SC TN SK - PD,Bánovce nad Bebravou,3523A43600,3523A17500,1361452,Trenčín,3,3,3,3,3,4,4,4,4,4,4,4,4,"(3.25, 4.6]","(1949.333, 1965.0]"
M5209,cesta III. triedy,1753,Most cez potok v obci Zlatníky,9,48.713071,18.118908,269.630999,dosková,monolitický železobetón,14.000000,43.000000,378.000000,podľa tabuliek,Vodný tok,1964,Nezistený,1.000000,3.000000,nan,6.900000,6.900000,nan,nan,TN SK,SC TN SK - PD,Bánovce nad Bebravou,3523A16700,3523A16800,218513,Trenčín,3,3,3,3,3,4,4,4,4,4,4,4,4,"(1.999, 3.25]","(1949.333, 1965.0]"
M1881,cesta III. triedy,1846,Most cez potok v obci Horný Riadok -Šišov,1,48.658920,18.187489,208.357000,dosková,monolitický železobetón,9.000000,25.000000,187.000000,podľa tabuliek,Vodný tok,1936,Nezistený,1.000000,4.000000,nan,6.000000,4.500000,nan,nan,TN SK,SC TN SK - PD,Bánovce nad Bebravou,3541A04700,3541A10900,7469,Trenčín,4,4,4,4,4,4,4,4,4,4,4,4,4,"(3.25, 4.6]","(999.999, 1949.333]"
M1838,cesta III. triedy,1846,Most cez potok v obci Borčany,2,48.657524,18.217558,198.048999,dosková,monolitický železobetón,9.000000,25.000000,187.000000,podľa tabuliek,Vodný tok,1936,Nezistený,1.000000,4.000000,nan,5.900000,4.000000,nan,nan,TN SK,SC TN SK - PD,Bánovce nad Bebravou,3541A10500,3541A10600,218393,Trenčín,4,4,4,4,4,4,4,4,4,4,5,5,5,"(3.25, 4.6]","(999.999, 1949.333]"
M5349,cesta III. triedy,1846,Most cez rieku Bebrava v obci Rybany,3,48.663347,18.251446,188.292000,trámová,monolitický železobetón,16.000000,35.000000,64.000000,porovnávací výpočet,Vodný tok,1936,Nezistený,3.000000,34.850000,nan,5.900000,4.500000,nan,nan,TN SK,SC TN SK - PD,Bánovce nad Bebravou,3541A07000,3541A10000,7458,Trenčín,3,3,3,3,3,4,4,4,4,4,4,4,4,"(11.0, 260.36]","(999.999, 1949.333]"
M3272,cesta III. triedy,1847,Most cez potok Livina v obci Chudá Lehota,1,48.651218,18.201453,201.487999,dosková,oceľobetón,36.000000,51.000000,252.000000,porovnávací výpočet,Vodný tok,1959,Nezistený,1.000000,11.400000,nan,5.950000,4.950000,nan,nan,TN SK,SC TN SK - PD,Bánovce nad Bebravou,3541A04800,3541A11300,7471,Trenčín,4,4,4,4,4,4,4,4,4,4,6,6,6,"(11.0, 260.36]","(1949.333, 1965.0]"
M2731,cesta III. triedy,1848,Most cez potok v obci Libichava,1,48.669754,18.173398,221.407999,dosková,monolitický železobetón,19.000000,46.000000,294.000000,podľa tabuliek,Vodný tok,1954,Nezistený,1.000000,5.000000,nan,5.600000,5.600000,nan,nan,TN SK,SC TN SK - PD,Bánovce nad Bebravou,3541A06800,3541A06900,7467,Trenčín,3,3,3,3,3,4,4,4,4,4,4,4,4,"(4.6, 6.72]","(1949.333, 1965.0]"
