ÚSEK,CESTA,OKRES,T,O,M,S
81698,580,Nové Zámky,371,1814,15,2200
81700,580,Levice,351,1348,10,1709
81710,580,Levice,541,2860,48,3449
84410,588,Nové Zámky,385,2263,10,2658
84417,588,Nové Zámky,331,1592,17,1940
84418,588,Komárno,177,764,11,952
84419,588,Nové Zámky,223,817,4,1044
85200,588,Levice,320,993,21,1334
85210,588,Levice,177,826,3,1006
83060,589,Komárno,743,4642,56,5441
83066,589,Komárno,313,1441,4,1758
83068,589,Komárno,279,797,9,1085
85030,589,Nové Zámky,173,564,6,743
85036,589,Nové Zámky,288,955,13,1256
83380,593,Nitra,523,4356,27,4906
83709,593,Topoľčany,567,3992,36,4595
85340,1315,Topoľčany,93,507,12,612
85840,1349,Šaľa,477,3144,45,3666
83010,1366,Šaľa,895,5271,40,6206
83011,1366,Šaľa,1329,7716,83,9128
83016,1366,Šaľa,341,1609,31,1981
83017,1366,Šaľa,369,1757,19,2145
83930,1368,Šaľa,665,3230,26,3921
83931,1368,Šaľa,475,2936,29,3440
83938,1368,Šaľa,357,2817,33,3207
84390,1422,Komárno,78,447,29,554
85860,1452,Komárno,211,1005,8,1224
85600,1454,Komárno,188,877,15,1080
83040,1455,Komárno,173,533,4,710
83041,1455,Komárno,876,4682,72,5630
83080,1464,Komárno,532,3158,15,3705
83090,1464,Komárno,263,1169,11,1443
83100,1464,Komárno,406,1768,33,2207
83129,1464,Nové Zámky,110,516,12,638
85870,1465,Komárno,254,1026,17,1297
85880,1467,Komárno,382,1984,44,2410
85881,1467,Komárno,113,1775,15,1903
85710,1477,Komárno,620,3094,46,3760
83070,1494,Komárno,240,1172,10,1422
83071,1494,Komárno,456,2126,37,2619
83078,1494,Komárno,597,3316,22,3935
83079,1494,Nové Zámky,709,3415,40,4164
83170,1495,Nové Zámky,423,4122,62,4607
83171,1495,Nové Zámky,561,3596,31,4188
83181,1495,Nové Zámky,758,7312,41,8111
81656,1497,Nové Zámky,401,2018,18,2437
81658,1497,Nové Zámky,35,217,4,256
83020,1497,Šaľa,195,1241,13,1449
83026,1497,Šaľa,65,283,5,353
85790,1500,Nové Zámky,225,1251,6,1482
85798,1500,Nové Zámky,290,1266,7,1563
85800,1500,Šaľa,59,260,5,324
82281,1503,Nové Zámky,734,3487,18,4239
85050,1506,Nové Zámky,199,849,12,1060
85057,1506,Nové Zámky,215,1088,18,1321
83146,1514,Nové Zámky,86,640,10,736
83148,1514,Nové Zámky,64,330,4,398
83260,1514,Levice,224,2148,17,2389
83261,1514,Levice,287,3560,24,3871
83270,1514,Levice,205,1671,6,1882
83300,1514,Levice,195,1187,6,1388
83307,1514,Levice,45,210,3,258
83308,1514,Levice,107,524,4,635
86300,1518,Nové Zámky,194,1557,15,1766
83961,1519,Nové Zámky,308,2052,22,2382
85630,1520,Nové Zámky,132,719,14,865
85940,1521,Nové Zámky,77,350,3,430
84480,1522,Levice,209,637,4,850
84489,1522,Levice,101,685,12,798
84520,1529,Nové Zámky,206,1024,8,1238
85320,1529,Levice,104,354,4,462
85327,1529,Levice,108,530,1,639
84530,1530,Nové Zámky,133,662,8,803
83250,1543,Levice,571,3377,8,3956
83256,1543,Levice,409,3208,15,3632
85330,1547,Levice,191,1660,18,1869
83290,1550,Levice,207,1205,10,1422
83230,1556,Levice,145,925,19,1089
83200,1563,Levice,245,1491,4,1740
83220,1563,Levice,39,330,1,370
85900,1564,Levice,174,937,7,1118
85910,1566,Levice,112,477,1,590
85610,1567,Levice,321,1331,34,1686
85617,1567,Levice,317,1747,53,2117
85920,1575,Levice,253,1155,8,1416
85927,1575,Levice,280,1377,10,1667
85250,1578,Levice,302,1771,15,2088
85260,1578,Levice,156,804,3,963
85270,1579,Levice,144,884,15,1043
85280,1579,Levice,150,1450,30,1630
83318,1581,Zlaté Moravce,564,3675,21,4260
85290,1581,Levice,684,5018,16,5718
85620,1582,Zlaté Moravce,67,378,4,449
85629,1582,Levice,69,254,4,327
83210,1584,Levice,208,1563,5,1776
85930,1597,Levice,63,164,1,228
85000,1622,Zlaté Moravce,243,2381,17,2641
83901,1624,Zlaté Moravce,216,2847,18,3081
83911,1625,Zlaté Moravce,460,3777,39,4276
85010,1626,Zlaté Moravce,215,1416,8,1639
85011,1626,Zlaté Moravce,1291,7881,42,9214
85017,1626,Zlaté Moravce,483,3008,18,3509
85300,1626,Levice,210,1713,32,1955
85306,1626,Levice,213,2483,20,2716
85021,1627,Nitra,373,2238,28,2639
85026,1627,Zlaté Moravce,131,887,10,1028
83190,1641,Nové Zámky,580,3843,26,4449
83191,1641,Nitra,914,8540,66,9520
83196,1641,Nitra,740,4369,42,5151
83198,1641,Nové Zámky,409,2098,19,2526
83199,1641,Nitra,451,2567,14,3032
83348,1650,Nitra,363,2328,27,2718
85070,1650,Nové Zámky,351,1711,18,2080
81209,1652,Nitra,107,1347,13,1467
85890,1657,Levice,152,937,6,1095
86140,1660,Nitra,292,1867,16,2175
83320,1661,Zlaté Moravce,379,2545,19,2943
83321,1661,Zlaté Moravce,928,5666,48,6642
83326,1661,Nitra,194,851,22,1067
83327,1661,Zlaté Moravce,249,1948,21,2218
83330,1661,Nitra,58,619,8,685
83331,1661,Nitra,610,8010,60,8680
85197,1675,Nitra,215,1272,11,1498
83350,1677,Nitra,963,6541,44,7548
85190,1677,Nitra,802,5328,45,6175
84980,1678,Nitra,444,3335,31,3810
84988,1678,Topoľčany,313,1805,26,2144
84989,1678,Nitra,321,1613,17,1951
83360,1681,Nitra,122,1257,7,1386
85670,1681,Topoľčany,85,818,10,913
84990,1687,Nitra,385,3312,37,3734
84998,1687,Nitra,191,1357,9,1557
83920,1689,Šaľa,338,1966,19,2323
83921,1689,Šaľa,378,3127,21,3526
83922,1689,Šaľa,392,2847,15,3254
83928,1689,Šaľa,355,1692,9,2056
80561,1700,Topoľčany,938,7135,83,8156
85660,1706,Topoľčany,193,1205,20,1418
83740,1710,Topoľčany,372,2089,15,2476
86160,1716,Topoľčany,576,5287,48,5911
83721,1722,Topoľčany,699,6500,70,7269
83726,1722,Topoľčany,265,2380,33,2678
85990,1728,Topoľčany,125,1154,33,1312
83730,1735,Topoľčany,293,1733,10,2036
84700,1753,Topoľčany,120,1095,13,1228
86450,2521,Zlaté Moravce,162,1165,58,1385
07300,D1,Poprad,3643,13459,35,17137
07310,D1,Poprad,3899,14720,32,18651
07320,D1,Poprad,4073,15716,27,19816
07330,D1,Poprad,3526,13115,27,16669
07340,D1,Poprad,4250,15246,37,19532
07350,D1,Poprad,4175,14459,40,18674
07360,D1,Prešov,5849,18848,57,24754
07370,D1,Prešov,5838,20721,61,26620
07380,D1,Prešov,3530,12977,33,16540
07390,D1,Levoča,3464,12543,32,16039
07400,D1,Prešov,3876,14467,35,18378
07410,D1,Prešov,4225,16266,38,20529
07420,D1,Levoča,2977,10463,28,13468
07430,D1,Levoča,3724,13283,35,17042
07440,D1,Prešov,3580,13572,33,17184
07470,D1,Prešov,2939,10331,28,13298
05840,R4,Svidník,1745,2650,16,4412
01120,15,Stropkov,941,4291,41,5273
01121,15,Stropkov,983,5140,59,6182
01130,15,Stropkov,1099,6311,55,7465
01131,15,Stropkov,1303,8393,50,9746
01132,15,Stropkov,1294,9814,67,11175
01140,15,Stropkov,983,3463,18,4464
01159,15,Stropkov,711,1907,30,2648
01160,15,Vranov nad Topľou,691,2216,17,2924
01168,15,Vranov nad Topľou,672,1828,9,2509
01170,15,Vranov nad Topľou,967,3906,26,4899
01177,15,Vranov nad Topľou,829,3305,28,4162
01510,15,Vranov nad Topľou,1151,5331,38,6520
01512,15,Vranov nad Topľou,916,3256,26,4198
00010,18,Poprad,181,1425,12,1618
00019,18,Poprad,103,1198,31,1332
00020,18,Poprad,565,2670,38,3273
00021,18,Poprad,1033,7172,69,8274
00022,18,Poprad,1184,9905,105,11194
00027,18,Poprad,809,5093,48,5950
00030,18,Poprad,1652,13513,61,15226
00034,18,Poprad,1127,13081,66,14274
00035,18,Poprad,1376,17192,64,18632
00037,18,Poprad,1430,12079,41,13550
00040,18,Poprad,986,8999,58,10043
00047,18,Poprad,1000,11303,52,12355
00058,18,Poprad,682,4746,38,5466
00060,18,Levoča,292,2390,42,2724
00061,18,Levoča,1032,6526,56,7614
00062,18,Levoča,893,7859,33,8785
00063,18,Levoča,626,4809,42,5477
00066,18,Levoča,418,2877,54,3349
00069,18,Levoča,956,6626,76,7658
00070,18,Levoča,442,3107,51,3600
00080,18,Levoča,643,4218,57,4918
00090,18,Levoča,315,1657,20,1992
00108,18,Levoča,205,1023,25,1253
00119,18,Prešov,139,266,15,420
00120,18,Prešov,324,1649,27,2000
00127,18,Prešov,574,2987,21,3582
00130,18,Prešov,469,2598,38,3105
00140,18,Prešov,624,3995,22,4641
00150,18,Prešov,738,5020,34,5792
00161,18,Prešov,3200,23353,96,26649
00162,18,Prešov,3348,19003,136,22487
00163,18,Prešov,3310,22097,106,25513
00371,18,Prešov,4499,35113,211,39823
00372,18,Prešov,3966,27388,129,31483
00373,18,Prešov,6189,29332,121,35642
00380,18,Prešov,5150,19849,102,25101
00390,18,Prešov,3800,11971,61,15832
00408,18,Prešov,1337,5827,60,7224
00409,18,Vranov nad Topľou,1681,7509,29,9219
00410,18,Vranov nad Topľou,1312,5684,38,7034
00420,18,Vranov nad Topľou,1391,5734,21,7146
00430,18,Vranov nad Topľou,1394,6629,30,8053
00440,18,Vranov nad Topľou,1435,10949,38,12422
00444,18,Vranov nad Topľou,2642,18218,70,20930
00446,18,Vranov nad Topľou,1684,5651,19,7354
00450,18,Vranov nad Topľou,1566,7952,21,9539
00451,18,Vranov nad Topľou,1452,7728,31,9211
00457,18,Vranov nad Topľou,1414,6277,54,7745
00468,18,Vranov nad Topľou,1424,6247,54,7725
05850,18,Levoča,1454,8682,61,10197
05860,18,Levoča,313,2083,37,2433
05870,18,Prešov,756,3373,16,4145
00173,20,Prešov,3753,15957,36,19746
00175,20,Prešov,730,4859,57,5646
00180,20,Prešov,588,3208,20,3816
00181,20,Prešov,606,3774,38,4418
00190,20,Prešov,484,2404,24,2912
00197,20,Prešov,650,4152,37,4839
00208,20,Prešov,467,3077,86,3630
05721,20,Prešov,4095,26011,93,30199
05900,20,Prešov,2831,11807,37,14675
01101,21,Svidník,1151,9479,53,10683
01110,21,Svidník,2839,5209,46,8094
01112,21,Svidník,1010,6631,26,7667
01113,21,Svidník,1255,7988,33,9276
01330,21,Prešov,2266,5378,50,7694
01338,21,Prešov,2466,5239,40,7745
01339,21,Svidník,2609,5264,22,7895
01368,21,Svidník,2477,7478,18,9973
01379,21,Svidník,2136,2398,24,4558
01380,21,Svidník,2095,2273,18,4386
01386,21,Svidník,2049,1870,15,3934
01387,21,Svidník,2086,2264,24,4374
01410,21,Svidník,478,3414,14,3906
01411,21,Svidník,1327,9506,35,10868
01420,21,Svidník,2371,2807,40,5218
01430,21,Svidník,2413,1956,25,4394
01440,21,Svidník,2273,1262,31,3566
05570,21,Svidník,2762,7118,55,9935
05580,21,Svidník,2774,8520,58,11352
00033,66,Poprad,1540,21576,89,23205
00720,66,Poprad,360,1292,21,1673
00730,66,Poprad,596,2680,28,3304
00740,66,Poprad,646,4165,56,4867
00741,66,Poprad,1143,12588,83,13814
00801,66,Kežmarok,744,4812,46,5602
00802,66,Kežmarok,325,2617,28,2970
00806,66,Kežmarok,307,1936,39,2282
00807,66,Poprad,316,2661,58,3035
01270,66,Poprad,451,5333,71,5855
01280,66,Poprad,347,5059,56,5462
01300,66,Poprad,2617,20322,99,23038
01301,66,Poprad,1677,17469,61,19207
01302,66,Poprad,1848,19538,91,21477
01310,66,Kežmarok,1850,12535,43,14428
01311,66,Kežmarok,1817,12461,56,14334
01312,66,Kežmarok,1971,14781,112,16864
01313,66,Kežmarok,2084,14129,63,16276
01320,66,Kežmarok,1594,10006,54,11654
01321,66,Kežmarok,1671,9213,55,10939
01322,66,Kežmarok,1539,10762,54,12355
05760,66,Poprad,245,2833,48,3126
05920,66,Kežmarok,2036,16400,32,18468
05940,66A,Poprad,610,2454,11,3075
00719,67,Poprad,255,1230,45,1530
00860,68,Stará Ľubovňa,1217,7225,33,8475
00861,68,Stará Ľubovňa,2289,14998,55,17342
00862,68,Stará Ľubovňa,905,4373,47,5325
00870,68,Stará Ľubovňa,900,5164,43,6107
00876,68,Stará Ľubovňa,1183,6306,26,7515
00880,68,Stará Ľubovňa,894,4496,33,5423
00889,68,Stará Ľubovňa,785,3522,27,4334
00890,68,Stará Ľubovňa,789,4678,26,5493
00901,68,Sabinov,1437,8246,36,9719
00902,68,Sabinov,1437,7726,38,9201
00908,68,Sabinov,894,5175,32,6101
00910,68,Sabinov,1366,7587,21,8974
00920,68,Sabinov,1720,9994,34,11748
00930,68,Sabinov,1619,9465,28,11112
00931,68,Sabinov,1847,13017,39,14903
00932,68,Sabinov,1842,13521,60,15423
00933,68,Sabinov,1801,11612,34,13447
00936,68,Sabinov,1730,10058,53,11841
00940,68,Prešov,2198,11942,50,14190
00950,68,Prešov,2762,14416,70,17248
00951,68,Prešov,2494,16255,99,18848
02390,68,Stará Ľubovňa,503,2253,31,2787
02400,68,Stará Ľubovňa,248,1478,9,1735
02407,68,Stará Ľubovňa,300,1676,8,1984
03531,68,Prešov,5906,21272,68,27246
05890,68,Prešov,1723,14463,88,16274
01201,74,Humenné,949,7852,47,8848
01203,74,Humenné,1845,18297,55,20197
01205,74,Humenné,1083,7417,34,8534
01210,74,Humenné,906,7116,24,8046
01217,74,Humenné,823,4760,27,5610
01220,74,Snina,828,5512,35,6375
01230,74,Snina,1070,6545,23,7638
01231,74,Snina,974,9601,55,10630
01232,74,Snina,713,5652,47,6412
01233,74,Snina,832,7254,44,8130
01240,74,Snina,502,4019,22,4543
01775_01,74,Humenné,788,11152,34,11974
01775_02,74,Humenné,763,7690,33,8486
01789,74,Humenné,1512,7828,31,9371
02900,74,Snina,152,944,18,1114
02906,74,Snina,321,2435,42,2798
02910,74,Snina,108,649,9,766
02916,74,Snina,114,706,3,823
03182,74A,Humenné,1990,15517,66,17573
00810,77,Kežmarok,997,5816,50,6863
00811,77,Kežmarok,1380,8582,70,10032
00828,77,Kežmarok,895,5645,32,6572
00839,77,Stará Ľubovňa,958,5123,31,6112
00840,77,Stará Ľubovňa,807,5124,25,5956
00850,77,Stará Ľubovňa,1076,7580,59,8715
00851,77,Stará Ľubovňa,1656,10193,62,11911
01000,77,Stará Ľubovňa,519,3033,90,3642
01010,77,Stará Ľubovňa,487,2607,39,3133
01018,77,Stará Ľubovňa,376,2165,15,2556
01019,77,Bardejov,363,2074,36,2473
01020,77,Bardejov,486,2963,18,3467
01030,77,Bardejov,945,6508,37,7490
01050,77,Bardejov,1082,5911,56,7049
01051,77,Bardejov,2497,18144,75,20716
01052,77,Bardejov,1328,9314,68,10710
01060,77,Bardejov,479,2667,33,3179
01067,77,Bardejov,422,1938,32,2392
01079,77,Bardejov,392,1509,16,1917
01088,77,Svidník,382,1442,17,1841
01090,77,Svidník,524,2417,25,2966
01100,77,Svidník,542,2964,34,3540
01102,77,Svidník,899,4821,44,5764
01491,77,Bardejov,1521,9338,35,10894
05880,77,Bardejov,844,4787,59,5690
05740,77A,Stará Ľubovňa,161,1502,16,1679
01521,79,Vranov nad Topľou,1298,7549,36,8883
01522,79,Vranov nad Topľou,1199,8281,26,9506
01526,79,Vranov nad Topľou,893,3488,18,4399
01538,79,Vranov nad Topľou,1159,5531,33,6723
01921,533,Levoča,694,5736,35,6465
01260,534,Poprad,391,4341,20,4752
01261,534,Poprad,744,4554,17,5315
01266,534,Poprad,495,5740,45,6280
02301,536,Kežmarok,981,8900,52,9933
03440,536,Kežmarok,398,3550,38,3986
03441,536,Kežmarok,486,3427,32,3945
03450,536,Poprad,539,3415,21,3975
05670,536,Levoča,1343,8449,81,9873
00750,537,Poprad,143,1976,84,2203
00757,537,Poprad,193,2380,39,2612
00759,537,Poprad,38,697,62,797
00760,537,Poprad,146,1934,46,2126
00770,537,Poprad,247,3438,54,3739
00771,537,Poprad,422,5615,91,6128
00772,537,Poprad,374,4169,68,4611
00780,537,Poprad,531,5935,75,6541
00796,537,Poprad,573,4849,52,5474
02360,538,Poprad,103,1486,34,1623
02370,539,Poprad,135,1368,10,1513
02380,540,Kežmarok,551,4027,16,4594
02387,540,Poprad,147,1708,17,1872
02410,542,Kežmarok,428,3159,26,3613
02411,542,Kežmarok,570,3245,9,3824
02420,542,Kežmarok,317,2232,19,2568
02430,542,Kežmarok,203,1138,33,1374
02440,542,Kežmarok,232,1595,14,1841
02450,542,Kežmarok,271,1993,16,2280
00960,543,Kežmarok,167,1134,18,1319
00979,543,Kežmarok,280,1443,24,1747
00980,543,Stará Ľubovňa,209,1465,19,1693
00988,543,Stará Ľubovňa,242,1511,15,1768
00990,543,Stará Ľubovňa,287,1943,16,2246
01450,545,Prešov,1297,8668,38,10003
01456,545,Prešov,1305,5920,23,7248
01468,545,Prešov,1331,6173,41,7545
01469,545,Bardejov,1109,6504,32,7645
01470,545,Bardejov,1297,7078,49,8424
01480,545,Bardejov,1059,5640,32,6731
01490,545,Bardejov,1328,9303,80,10711
01492,545,Bardejov,1721,12449,47,14217
02460,545,Bardejov,244,1005,14,1263
02466,545,Bardejov,157,409,9,575
02478,546,Prešov,118,703,60,881
02480,546,Prešov,92,807,27,926
02490,546,Prešov,234,2220,34,2488
02500,546,Prešov,670,3767,36,4473
01980,547,Levoča,505,3526,42,4073
01987,547,Levoča,302,2216,13,2531
02719,554,Stropkov,50,260,1,311
02728,554,Medzilaborce,72,265,2,339
02739,554,Medzilaborce,70,181,4,255
02748,554,Humenné,82,407,4,493
02750,554,Vranov nad Topľou,88,537,3,628
02760,554,Vranov nad Topľou,122,991,7,1120
02770,554,Vranov nad Topľou,196,1261,20,1477
02780,554,Vranov nad Topľou,202,1306,14,1522
02799,554,Vranov nad Topľou,189,1516,7,1712
01340,556,Vranov nad Topľou,287,1628,7,1922
01348,556,Vranov nad Topľou,241,1309,8,1558
01359,556,Svidník,225,1080,5,1310
01500,556,Stropkov,355,1996,17,2368
01506,556,Stropkov,468,2600,15,3083
01180,558,Vranov nad Topľou,601,3814,17,4432
01188,558,Vranov nad Topľou,642,2644,14,3300
01189,558,Humenné,544,2640,14,3198
01190,558,Humenné,644,3670,22,4336
02850,558,Snina,284,1873,2,2159
02860,558,Snina,180,772,9,961
05416,558,Snina,132,540,3,675
01720,559,Medzilaborce,228,1225,16,1469
01730,559,Medzilaborce,182,1161,23,1366
01740,559,Humenné,304,1603,8,1915
01750,559,Humenné,406,2412,5,2823
01760,559,Humenné,408,2684,15,3107
01770,559,Humenné,770,6322,26,7118
01772,559,Humenné,1545,16547,67,18159
02881,559,Medzilaborce,263,2359,23,2645
02882,559,Medzilaborce,451,3787,23,4261
02883,559,Medzilaborce,169,1350,20,1539
02886,559,Medzilaborce,76,659,2,737
02887,559,Medzilaborce,310,2345,33,2688
02890,559,Medzilaborce,31,211,2,244
02929,566,Snina,129,789,12,930
05590,566,Snina,58,255,3,316
05600,566,Snina,27,90,1,118
03120,567,Medzilaborce,72,554,7,633
03121,567,Medzilaborce,103,963,11,1077
03126,567,Medzilaborce,88,357,6,451
03127,567,Medzilaborce,92,342,2,436
03130,567,Snina,109,749,9,867
03131,567,Snina,452,3780,47,4279
03136,567,Snina,49,324,10,383
01670,575,Stropkov,290,2569,23,2882
01671,575,Stropkov,556,4132,32,4720
01680,575,Stropkov,205,1193,11,1409
01698,575,Stropkov,201,960,13,1174
01709,575,Medzilaborce,235,1140,24,1399
03101,575,Medzilaborce,198,2711,46,2955
03106,575,Medzilaborce,28,225,6,259
03280,576,Vranov nad Topľou,472,2752,16,3240
03281,576,Vranov nad Topľou,663,3584,32,4279
03282,576,Vranov nad Topľou,451,3209,18,3678
03287,576,Vranov nad Topľou,71,532,3,606
03288,576,Vranov nad Topľou,67,327,8,402
04229,2343,Poprad,173,1572,23,1768
04230,3060,Poprad,184,1576,14,1774
03420,3064,Poprad,110,749,2,861
03421,3064,Poprad,467,3153,15,3635
01286,3078,Poprad,78,931,31,1040
00032,3080,Poprad,1455,20066,87,21608
01250,3080,Poprad,339,4159,10,4508
01251,3080,Poprad,597,8391,36,9024
01252,3080,Poprad,506,6581,39,7126
01256,3080,Poprad,195,1891,18,2104
01257,3081,Poprad,138,1753,27,1918
03430,3096,Kežmarok,219,914,13,1146
03431,3096,Kežmarok,875,4147,28,5050
03410,3098,Kežmarok,222,1967,4,2193
03411,3098,Kežmarok,479,3383,17,3879
05560,3103,Kežmarok,133,1024,11,1168
05561,3103,Kežmarok,187,1346,16,1549
00863,3120,Stará Ľubovňa,1175,10223,54,11452
05690,3124,Stará Ľubovňa,210,1601,21,1832
05180,3138,Stará Ľubovňa,234,1109,8,1351
05200,3142,Stará Ľubovňa,27,122,2,151
03400,3146,Stará Ľubovňa,507,6263,21,6791
03401,3146,Stará Ľubovňa,569,5958,23,6550
05770,3148,Stará Ľubovňa,128,231,10,369
03402,3149,Stará Ľubovňa,229,1610,13,1852
03403,3152,Stará Ľubovňa,135,1251,5,1391
05000,3171,Sabinov,237,1497,11,1745
05018,3171,Sabinov,171,816,5,992
05019,3171,Stará Ľubovňa,117,767,2,886
04910,3174,Sabinov,196,2012,12,2220
04920,3174,Sabinov,81,383,0,464
04350,3177,Sabinov,559,4700,27,5286
04351,3177,Sabinov,595,5876,17,6488
04360,3177,Sabinov,438,2570,7,3015
04366,3177,Prešov,234,1330,9,1573
03710,3181,Sabinov,138,1549,8,1695
03711,3181,Sabinov,321,2827,12,3160
03712,3181,Sabinov,201,1877,22,2100
03460,3193,Sabinov,585,4045,25,4655
03461,3193,Sabinov,804,5972,17,6793
03470,3193,Sabinov,392,2330,12,2734
04718,3216,Levoča,184,950,7,1141
04719,3216,Sabinov,230,762,11,1003
02291,3225,Levoča,230,2042,19,2291
02298,3225,Levoča,20,195,6,221
03270,3325,Prešov,83,351,4,438
03279,3325,Prešov,238,1646,26,1910
04769,3335,Prešov,111,581,2,694
03550,3420,Prešov,498,2601,24,3123
03558,3420,Prešov,308,1570,11,1889
05640,3426,Sabinov,62,403,3,468
05650,3431,Prešov,417,2146,22,2585
05660,3431,Prešov,248,1616,15,1879
03511,3440,Prešov,2533,9284,43,11860
03512,3440,Prešov,650,6532,14,7196
03513,3440,Prešov,592,4204,34,4830
03520,3440,Prešov,484,4265,19,4768
03527,3440,Prešov,472,2382,28,2882
03528,3440,Prešov,54,272,3,329
03540,3445,Prešov,440,2765,10,3215
03546,3445,Prešov,247,1854,10,2111
03547,3445,Prešov,237,1688,18,1943
04960,3446,Prešov,432,2587,20,3039
04980,3449,Prešov,88,430,5,523
00153,3450,Prešov,1465,19958,70,21493
00154,3450,Prešov,1404,10863,47,12314
00155,3450,Prešov,1239,10963,54,12256
04880,3452,Prešov,493,2588,20,3101
04890,3452,Prešov,345,1373,8,1726
04900,3452,Prešov,102,623,4,729
04400,3460,Prešov,324,1519,18,1861
04408,3460,Prešov,51,344,10,405
04738,3483,Bardejov,198,665,20,883
04730,3485,Bardejov,193,1798,3,1994
04736,3485,Bardejov,118,1130,1,1249
04740,3489,Bardejov,82,680,8,770
03050,3491,Bardejov,180,1446,9,1635
03056,3491,Bardejov,153,864,7,1024
03020,3497,Bardejov,146,1203,12,1361
03030,3497,Bardejov,103,550,3,656
03040,3500,Bardejov,165,1318,7,1490
03046,3500,Bardejov,102,602,10,714
03047,3500,Bardejov,49,288,6,343
03048,3500,Svidník,152,1018,12,1182
04750,3502,Bardejov,113,578,4,695
05530,3504,Bardejov,294,2565,7,2866
02996,3509,Bardejov,231,1381,13,1625
02997,3510,Bardejov,173,1037,11,1221
04700,3517,Bardejov,59,459,8,526
05780,3519,Bardejov,36,127,7,170
03080,3523,Svidník,93,379,2,474
03088,3523,Bardejov,55,402,2,459
03089,3523,Svidník,102,663,6,771
01390,3530,Svidník,96,379,7,482
01400,3530,Svidník,150,1399,18,1567
01401,3530,Svidník,229,2531,9,2769
02971,3533,Bardejov,917,6991,43,7951
02980,3533,Bardejov,256,2093,23,2372
02986,3533,Bardejov,507,3574,36,4117
02990,3533,Bardejov,275,1547,8,1830
03010,3533,Bardejov,231,1401,3,1635
05300,3536,Svidník,94,696,3,793
03070,3546,Svidník,84,396,10,490
03098,3554,Svidník,57,339,2,398
03099,3554,Bardejov,44,179,4,227
03858,3573,Stropkov,32,246,1,279
03859,3573,Vranov nad Topľou,50,223,7,280
03116,3587,Stropkov,70,364,10,444
00441,3617,Vranov nad Topľou,1103,13639,25,14767
03690,3617,Vranov nad Topľou,186,1150,3,1339
03691,3617,Vranov nad Topľou,897,8373,34,9304
03692,3617,Vranov nad Topľou,588,4937,20,5545
05460,3619,Vranov nad Topľou,95,1595,3,1693
00443,3620,Vranov nad Topľou,326,4368,13,4707
04100,3621,Vranov nad Topľou,387,3421,18,3826
05520,3622,Vranov nad Topľou,407,2264,16,2687
04170,3624,Vranov nad Topľou,432,3131,25,3588
04190,3628,Vranov nad Topľou,124,1106,7,1237
03870,3629,Vranov nad Topľou,54,365,2,421
05480,3635,Vranov nad Topľou,131,1032,7,1170
03759,3652,Vranov nad Topľou,246,1709,13,1968
03180,3826,Humenné,285,3283,7,3575
03181,3826,Humenné,380,4633,24,5037
03190,3826,Humenné,126,1238,8,1372
03170,3832,Humenné,153,1675,4,1832
03140,3839,Humenné,298,2527,17,2842
03160,3839,Humenné,166,978,4,1148
03166,3839,Humenné,114,470,5,589
05540,3846,Humenné,85,500,1,586
05547,3846,Medzilaborce,113,403,7,523
03900,3862,Medzilaborce,47,239,16,302
03161,3889,Snina,246,1759,15,2020
03167,3889,Snina,148,746,6,900
87080,D1,Nové Mesto nad Váhom,7596,21770,60,29425
87090,D1,Nové Mesto nad Váhom,7877,21445,57,29379
87110,D1,Nové Mesto nad Váhom,7325,18967,49,26342
87120,D1,Trenčín,9001,22190,56,31246
87130,D1,Trenčín,9370,22791,60,32222
97140,D1,Ilava,9298,22314,61,31673
97150,D1,Ilava,7865,18625,53,26543
97156,D1,Púchov,9258,21635,64,30957
97160,D1,Púchov,8147,18791,58,26996
97200,D1,Považská Bystrica,8195,18174,62,26431
97210,D1,Považská Bystrica,8434,20172,75,28680
86600,R2,Bánovce nad Bebravou,1330,2826,13,4169
91097,R6,Púchov,1660,6856,13,8529
80010,9,Trenčín,2666,5855,65,8586
80016,9,Trenčín,2387,4214,45,6646
80017,9,Trenčín,3174,6524,53,9751
80026,9,Trenčín,3056,8062,41,11159
80027,9,Trenčín,3035,8553,53,11641
80630,9,Trenčín,3470,11814,76,15360
80640,9,Trenčín,2752,9153,43,11948
80658,9,Trenčín,2971,8610,23,11604
80659,9,Bánovce nad Bebravou,2712,8519,48,11279
80661,9,Bánovce nad Bebravou,2090,9704,129,11923
80662,9,Bánovce nad Bebravou,1785,8462,50,10297
83660,9,Bánovce nad Bebravou,607,3408,28,4043
83668,9,Bánovce nad Bebravou,2012,6424,66,8502
91450,9,Prievidza,3103,14526,82,17711
91456,9,Prievidza,1933,6682,70,8685
92099,9,Prievidza,2498,7566,42,10106
92100,9,Prievidza,2789,10707,92,13588
92101,9,Prievidza,2842,10035,52,12929
92102,9,Prievidza,3644,13799,146,17589
92107,9,Prievidza,3130,14008,88,17226
92110,9,Prievidza,2242,8614,53,10909
92117,9,Prievidza,2341,9982,84,12407
92120,9,Prievidza,2280,8377,58,10715
92121,9,Prievidza,1952,7382,57,9391
92122,9,Prievidza,2290,13566,86,15942
92138,9,Prievidza,1847,5101,58,7006
91060,49,Púchov,593,2707,32,3332
91070,49,Púchov,1116,5144,50,6310
91080,49,Púchov,1416,8747,75,10238
91081,49,Púchov,1376,8022,70,9468
91082,49,Púchov,811,5203,31,6045
91090,49,Púchov,532,4178,40,4750
