ID_mosta,Zemepisná_dĺžka,Zemepisná_šírka,Počiatočný_uzol,Koncový_uzol,úsek_ID,StartNode_Latitude,StartNode_Longitude,EndNode_Latitude,EndNode_Longitude,Hexagon_Coordinates,car_route_distance,car_route_time,car_route_coordinates,car_alt_route_distance,car_alt_route_time,car_alt_route_coordinates,truck_route_distance,truck_route_time,truck_route_coordinates,truck_alt_route_distance,truck_alt_route_time,truck_alt_route_coordinates
M2657,18.177318107,48.592749818,3541A53300,3541A53400,940107,48.59317627,18.17700504,48.59348882,18.17720963,"[(48.592749818, 18.17758974476151), (48.59290541077133, 18.177453925880755), (48.59290541077133, 18.177182288119248), (48.592749818, 18.177046469238494), (48.59259422522867, 18.177182288119248), (48.59259422522867, 18.177453925880755), (48.592749818, 18.17758974476151)]",,,,,,,,,,,,
M4213,18.245283396,48.582210873,3541A15700,3541A57900,398974,48.58189936,18.2458092,48.58280372,18.2445273,"[(48.582210873, 18.245554977118367), (48.58236646577133, 18.245419186559186), (48.58236646577133, 18.245147605440817), (48.582210873, 18.245011814881636), (48.58205528022867, 18.245147605440817), (48.58205528022867, 18.245419186559186), (48.582210873, 18.245554977118367)]",,,,,,,,,,,,
M3117,18.231711924,48.597383296,3541A03500,3541A00700,7483,48.59206368,18.24068596,48.60211774,18.22040288,"[(48.597383296, 18.231983586675216), (48.597538888771325, 18.231847755337608), (48.597538888771325, 18.23157609266239), (48.597383296, 18.23144026132478), (48.59722770322867, 18.23157609266239), (48.59722770322867, 18.231847755337608), (48.597383296, 18.231983586675216)]",,,,,,,,,,,,
M7660,18.181480646,48.63044948,3541A21100,3541A21200,427957,48.63033749,18.181927,48.6307041,18.18034888,"[(48.63044948, 18.181752486652915), (48.63060507277133, 18.181616566326458), (48.63060507277133, 18.181344725673544), (48.63044948, 18.181208805347087), (48.630293887228675, 18.181344725673544), (48.630293887228675, 18.181616566326458), (48.63044948, 18.181752486652915)]",,,,,,,,,,,,
M2232,18.178641863,48.637266498,3541A21400,3541A21500,427960,48.63232166,18.17820287,48.63756115,18.17870235,"[(48.637266498, 18.17891374038556), (48.63742209077133, 18.178777801692778), (48.63742209077133, 18.17850592430722), (48.637266498, 18.178369985614438), (48.637110905228674, 18.17850592430722), (48.637110905228674, 18.178777801692778), (48.637266498, 18.17891374038556)]",,,,,,,,,,,,
M4238,18.184580817,48.656852562,3541A11200,3541A04700,218400,48.65588706,18.18164908,48.65849958,18.18647528,"[(48.656852562, 18.18485279999929), (48.657008154771326, 18.184716808499648), (48.657008154771326, 18.184444825500353), (48.656852562, 18.18430883400071), (48.65669696922867, 18.184444825500353), (48.65669696922867, 18.184716808499648), (48.656852562, 18.18485279999929)]",,,,,,,,,,,,
M3502,18.146367776,48.694345139,3523A03901,3523A17100,7982,48.69372978,18.14733311,48.69648038,18.14172635,"[(48.694345139, 18.146639961487946), (48.69450073177133, 18.146503868743974), (48.69450073177133, 18.14623168325603), (48.694345139, 18.146095590512058), (48.69418954622867, 18.14623168325603), (48.69418954622867, 18.146503868743974), (48.694345139, 18.146639961487946)]",,,,,,,,,,,,
M3865,18.137089775,48.699216197,3523A43600,3523A17500,1361452,48.69860915,18.13805987,48.70022792,18.13560486,"[(48.699216197, 18.13736198682608), (48.69937178977133, 18.13722588091304), (48.69937178977133, 18.13695366908696), (48.699216197, 18.13681756317392), (48.69906060422867, 18.13695366908696), (48.69906060422867, 18.13722588091304), (48.699216197, 18.13736198682608)]",,,,,,,,,,,,
M5209,18.118908296,48.713070572,3523A16700,3523A16800,218513,48.71193316,18.12108685,48.7121053,18.12073676,"[(48.713070572, 18.119180582776252), (48.71322616477133, 18.119044439388126), (48.71322616477133, 18.118772152611875), (48.713070572, 18.11863600922375), (48.71291497922867, 18.118772152611875), (48.71291497922867, 18.119044439388126), (48.713070572, 18.119180582776252)]",,,,,,,,,,,,
M1881,18.187489331,48.658920203,3541A04700,3541A10900,7469,48.65849958,18.18647528,48.65789663,18.19637914,"[(48.658920203, 18.187761325155254), (48.65907579577133, 18.187625328077626), (48.65907579577133, 18.18735333392237), (48.658920203, 18.187217336844743), (48.65876461022867, 18.18735333392237), (48.65876461022867, 18.187625328077626), (48.658920203, 18.187761325155254)]",,,,,,,,,,,,
M1838,18.217558048,48.657523701,3541A10500,3541A10600,218393,48.65687712,18.21617236,48.65756371,18.217668,"[(48.657523701, 18.217830034620285), (48.65767929377133, 18.217694041310143), (48.65767929377133, 18.21742205468986), (48.657523701, 18.217286061379717), (48.657368108228674, 18.21742205468986), (48.657368108228674, 18.217694041310143), (48.657523701, 18.217830034620285)]",,,,,,,,,,,,
