ID_mosta,Trieda_PK,Číslo_PK,Názov_mosta,správcovské_číslo,Zemepisná_šírka,Zemepisná_dĺžka,Výška,Druh_konštrukcie,Material,Normálna_zaťažiteľnosť,Výhradná_zaťažiteľnosť_t,Výnimočná_zaťažiteľnosť_t,Spôsob_stanovenia,Predmet_premostenia,Rok_postavenia,Zaťažovacia_trieda_STN,Počet_otvorov,Dĺžka_premostenia,Dĺžka_nosnej_konštrukcie_m,Volná_šírka_mosta,Šírka_medzi_obrubami_m,Plocha_mosnej_konštrukcie_m2,Plocha_mosta_m2,Vlastník_úseku,Správca_úseku,Okres,Počiatočný_uzol,Koncový_uzol,úsek_ID,Kraj,n_2012,n_2013,n_2014,n_2015,n_2016,n_2017,n_2018,n_2019,n_2020,n_2021,n_2022,n_2023,n_2024
M3988,cesta I. triedy,2,Most na výstupnej vetve pravobrež.križovatky Prístavného mosta,13,48.131135978,17.134619356,141.383117675781,trámová,monolitický predpätý betón,27.0,68.0,222.0,projektovaná,"Účelová komunikácia,  Účelová komunikácia,  Účelová komunikácia,  Účelová komunikácia",1983,Nezistený,7,231.07,Nezistený,9,9,Nezistený,Nezistený,BA,MAG-BA,Bratislava V,4424A00510,4424A00513,8610,Bratislava,1,1,1,1,1,1,1,1,1,1,1,1,1
M3021,cesta I. triedy,2,02_014 Most cez kanál za obcou Veľké Leváre,14,48.485986971,17.012068791,154.750249,trámová,monolitický železobetón,21.0,71.0,504.0,podľa tabuliek,Kanál,1977,Nezistený,1,2.1,Nezistený,10.3,9.5,Nezistený,Nezistený,STAT,SSC - IVSC BA,Malacky,3444A11900,3444A27400,426556,Bratislava,3,3,3,3,3,3,3,3,3,6,6,6,6
M24,cesta I. triedy,2,02_015 Most cez potok Malina v Malackách,15,48.440933137,17.012224814,160.031,trámová,monolitický železobetón,14.0,31.0,102.0,odhadom,Vodný tok,1938,Nezistený,1,9.5,Nezistený,8,6,Nezistený,Nezistený,STAT,SSC - IVSC BA,Malacky,3444A26800,3444A13800,895870,Bratislava,4,4,4,4,4,5,5,5,5,5,5,5,5
M65,cesta I. triedy,2,02_016 2.Most cez potok Malina v Malackách,16,48.425106076,17.020628121,162.101999,trámová,monolitický železobetón,13.0,31.0,136.0,odhadom,Vodný tok,1934,Nezistený,1,7.45,Nezistený,7.65,7.65,Nezistený,Nezistený,STAT,SSC - IVSC BA,Malacky,3444A26300,3444A14700,895864,Bratislava,4,4,4,4,4,4,4,4,4,4,4,4,4
M2290,cesta I. triedy,2,02_018 Most cez jarok Balážka v obci Malacky,18,48.412613048,17.019061316,163.311749,dosková,monolitický železobetón,11.0,36.0,300.0,odhadom,Vodný tok,1934,Nezistený,1,2.95,Nezistený,7.45,7.45,Nezistený,Nezistený,STAT,SSC - IVSC BA,Malacky,3444A26000,3444A25900,895861,Bratislava,3,3,3,3,3,6,6,6,6,5,5,5,5
M2334,cesta I. triedy,2,02_019 Most nad železnicou Brno-Bratislava pri obci Plavecký Štvrtok,19,48.398454069,17.016530125,178.48325,trámová,monolitický železobetón,18.0,42.0,98.0,Nezistený,Železnica,1934,Nezistený,3,32.6,Nezistený,7.35,5.85,Nezistený,Nezistený,STAT,SSC - IVSC BA,Malacky,3444A15100,3444A15200,426596,Bratislava,3,3,3,3,3,3,3,3,3,3,3,3,3
M5138,cesta I. triedy,2,02_020 Most cez potok Hlavina,20,48.39305116,17.019896533,167.8405,dosková,monolitický železobetón,10.0,35.0,166.0,statický výpočet podľa TP 02/2016,Vodný tok,1934,Nezistený,1,6,Nezistený,8,7.2,Nezistený,Nezistený,STAT,SSC - IVSC BA,Malacky,3444A15200,3444A15300,426597,Bratislava,4,4,4,4,4,7,7,7,7,7,7,7,7
M616,cesta I. triedy,2,02_021 Most cez potok Štum,21,48.364202757,17.016902618,164.361,dosková,monolitický železobetón,13.0,39.0,168.0,podľa tabuliek,Vodný tok,1934,Nezistený,1,4.15,Nezistený,8.35,8.35,Nezistený,Nezistený,STAT,SSC - IVSC BA,Malacky,3444A09600,3444A09700,426496,Bratislava,3,3,3,3,3,5,5,5,5,4,4,4,4
M6907,cesta I. triedy,2,02_022 Most cez potok Frikav v k. ú. obce Lozorno,22,48.346283788,17.019155983,164.347999,dosková,monolitický železobetón,17.0,38.0,219.0,odhadom,Vodný tok,1934,Nezistený,1,4,Nezistený,8.1,7.8,Nezistený,Nezistený,STAT,SSC - IVSC BA,Malacky,3444A22802,4422A02200,429544,Bratislava,3,3,3,3,3,4,4,4,4,4,4,4,4
M5555,cesta I. triedy,2,02_024 Most nad diaľnicou D2 v k.ú. obce Lozorno,24,48.326810205,17.023798066,176.6135,rámová,monolitický predpätý betón,19.0,52.0,122.0,odhadom,Cestná komunikácia,1973,Nezistený,3,59.9,Nezistený,13,10.5,Nezistený,Nezistený,STAT,SSC - IVSC BA,Malacky,4422A00107,4422A00113,6671,Bratislava,4,4,4,4,4,4,4,4,4,5,5,5,5
M5509,cesta I. triedy,2,02_025 Most cez Lozorňanský potok,25,48.318007888,17.029249805,177.103499,trámová,prefabrikovaný železobetón,36.0,78.0,354.0,odhadom,Vodný tok,1972,Nezistený,1,5,Nezistený,11.5,10.5,Nezistený,Nezistený,STAT,SSC - IVSC BA,Malacky,4422A90200,4422A25600,1327515,Bratislava,2,2,2,2,2,6,6,6,6,6,6,6,6
M4332,cesta I. triedy,2,02_026 Most cez zátokové územie pred Stupavou,26,48.288147531,17.031404597,169.082999,dosková,monolitický železobetón,13.0,40.0,350.0,odhadom,Záplavové územie,1927,Nezistený,1,2.2,Nezistený,7.85,7.65,Nezistený,Nezistený,STAT,SSC - IVSC BA,Malacky,4422A25700,4422A25900,426536,Bratislava,3,3,3,3,3,6,6,6,6,6,6,6,6
M6110,cesta I. triedy,2,02_028 Most cez potok v Stupave,28,48.274879854,17.031912319,178.77,dosková,prefabrikovaný železobetón,27.0,56.0,160.0,odhadom,Vodný tok,1966,Nezistený,1,5.9,Nezistený,14,10,Nezistený,Nezistený,STAT,SSC - IVSC BA,Malacky,4422A02400,4422A27501,6300,Bratislava,2,2,2,2,2,6,6,6,6,6,6,6,6
M3838,cesta I. triedy,2,02_029 Most cez mlynský náhon v obci Stupava,29,48.274517135,17.031948416,180.40325,dosková,monolitický železobetón,13.0,40.0,350.0,odhadom,Kanál,1948,Nezistený,1,3,Nezistený,18.2,13.3,Nezistený,Nezistený,STAT,SSC - IVSC BA,Malacky,4422A27501,4422A27502,426578,Bratislava,4,4,4,4,4,4,4,4,4,4,4,4,4
M2550,cesta I. triedy,2,02_030 Most cez potok v k.ú. obce Stupava,30,48.255456029,17.030527629,167.4535,dosková,prefabrikovaný železobetón,18.0,36.0,239.0,odhadom,Vodný tok,1961,Nezistený,1,4,Nezistený,9.65,8.55,Nezistený,Nezistený,STAT,SSC - IVSC BA,Malacky,4422A88300,4422A32000,1086795,Bratislava,3,3,3,3,3,3,3,3,3,6,6,6,6
M2259,cesta I. triedy,2,"Most cez Mariánsky potok na Bratislavskej ulici, Záhorská Bystrica",2-031,48.24924,17.0341,213.56,dosková,prefabrikovaný železobetón,32.0,81.0,199.0,projektovaná,Vodný tok,1961,Nezistený,1,10.86,19.57,17.5,17.5,Nezistený,208,BA,MAG-BA,Bratislava IV,4422A06003,4422A02600,486152,Bratislava,4,4,4,4,4,4,4,4,4,4,1,1,2
M3446,cesta I. triedy,2,"Most na Bratislavskej ulici cez Bystrický potok, Záhorská Bystrica",2-032,48.241369836,17.034921066,215.326,dosková,monolitický železobetón,16.0,39.0,210.0,projektovaná,Vodný tok,1961,Nezistený,1,3.22,Nezistený,11.22,11.22,Nezistený,Nezistený,BA,MAG-BA,Bratislava IV,4422A33200,4422A40300,460524,Bratislava,5,5,5,5,5,5,5,5,5,5,5,5,5
