Správca CK,Trieda CK,Číslo CK,Evidenčné číslo mosta,Usek,ID mosta,Názov mosta,Rok postavenia,Zaťažovacia trieda STN,Počet otvorov,Dĺžka premostenia,Dĺžka nosnej konštrukcie,Voľná šírka mosta,Šírka medzi obrubami,Plocha nosnej konštrukcie,Plocha mosta,Stavebno-technický stav,Druh konštrukcie,Materiál konštrukcie,Zaťažiteľnosť normálna,Zaťažiteľnost výhradná,Zaťažiteľnosť výnimočná,Spôsob stanovenia,Predmet premostenia,LongitudeE,LatitudeN,Vlastník CK,KRAJ,OKRES,PORADIE,POKRAC
Slovenská správa ciest - IVSC Košice,cesta I. triedy,73,23,5782,M1205,73_023 Most cez potok Olšava za odbočkou do obce Nová Polianka,2001,,1.0,10.5,,15.5,15.5,,,Veľmi dobrý,dosková,prefabrikovaný predpätý betón,32.0,80.0,196.0,projektovaná,Vodný tok,21.595513677,49.276575804,Štát,Prešovský kraj,Svidník,23.0,3.0
Slovenská správa ciest - IVSC Košice,cesta I. triedy,73,023A,32759,M4488,73_023A Most cez bezmenný potok v meste Svidník,1988,,0.0,4.0,,22.5,15.5,,,Veľmi dobrý,dosková,prefabrikovaný železobetón,36.0,132.0,251.0,podľa tabuliek,,21.583269827,49.293029538,Štát,Prešovský kraj,Svidník,1.0,7.0
Slovenská správa ciest - IVSC Košice,cesta I. triedy,73,24,32759,M864,73_024 Most cez rieku Ladomírka v meste Svidník,1988,,5.0,74.3,,15.5,15.5,,,Veľmi zlý,trámová,prefabrikovaný predpätý betón,28.0,75.0,191.0,podľa tabuliek,Vodný tok,21.571662182,49.303137548,Štát,Prešovský kraj,Svidník,1.0,7.0
Slovenská správa ciest - IVSC Košice,cesta I. triedy,73,27,5776,M2299,73_027 Most cez potok Kapišovka za mestom Svidník,1967,,1.0,29.8,,11.0,8.5,,,Dobrý,trámová,prefabrikovaný predpätý betón,25.0,130.0,301.0,porovnávací výpočet,Vodný tok,21.588428882,49.327306921,Štát,Prešovský kraj,Svidník,2.0,7.0
Slovenská správa ciest - IVSC Košice,cesta I. triedy,73,26,5776,M86,73_026 Most cez bezmenný potok za mestom Svidník,1958,,1.0,6.0,,9.6,8.6,,,Dobrý,dosková,monolitický železobetón,26.0,49.0,253.0,odhadom,Vodný tok,21.585316594,49.326483004,Štát,Prešovský kraj,Svidník,2.0,7.0
Slovenská správa ciest - IVSC Košice,cesta I. triedy,73,28,5772,M4723,"73_028 Most cez potok Ladomirová, k.ú. Ladomirová",1956,,1.0,7.0,,10.0,8.0,,,Uspokojivý,dosková,monolitický železobetón,26.0,48.0,216.0,podľa tabuliek,Vodný tok,21.629092654,49.332747431,Štát,Prešovský kraj,Svidník,5.0,7.0
Slovenská správa ciest - IVSC Košice,cesta I. triedy,73,30,5770,M3935,73_030 Most cez potok Hrišov v obci Hunkovce,1956,,2.0,24.0,,11.0,8.0,,,Bezchybný,dosková,monolitický železobetón,32.0,80.0,196.0,projektovaná,Vodný tok,21.650796791,49.3590816,Štát,Prešovský kraj,Svidník,6.0,7.0
Slovenská správa ciest - IVSC Košice,cesta I. triedy,73,29,5770,M6655,73_029 Most cez bezmenný potok pred obcou Hunkovce,2000,,1.0,7.34,,9.5,9.5,,,Bezchybný,trámová,prefabrikovaný predpätý betón,32.0,80.0,196.0,projektovaná,Vodný tok,21.648528424,49.354680884,Štát,Prešovský kraj,Svidník,6.0,7.0
Slovenská správa ciest - IVSC Košice,cesta I. triedy,73,31,5768,M1135,73_031 Most cez potok pri odbočke do obce Krajná Bystrá,1956,,1.0,8.0,,9.6,8.55,,,Uspokojivý,dosková,monolitický železobetón,22.0,50.0,205.0,podľa tabuliek,Vodný tok,21.670383109,49.365022342,Štát,Prešovský kraj,Svidník,7.0,7.0
Slovenská správa ciest - IVSC Košice,cesta I. triedy,73,32,5728,M7210,"73_032 Most cez potok Ladomírka, k.ú. Krajná Poľana",1977,,1.0,22.0,,13.0,10.5,,,Dobrý,trámová,prefabrikovaný predpätý betón,35.0,101.0,350.0,podľa tabuliek,Vodný tok,21.686854688,49.364198545,Štát,Prešovský kraj,Svidník,8.0,7.0
Slovenská správa ciest - IVSC Košice,cesta I. triedy,73,35,2135,M2983,73_035 Most nad odbočkou MK do obce Vyšný Koárnik,1984,,3.0,43.28,,11.5,11.5,,,Veľmi dobrý,dosková,prefabrikovaný predpätý betón,32.0,80.0,196.0,projektovaná,Miestna komunikácia,21.700657809,49.39680801,Štát,Prešovský kraj,Svidník,11.0,7.0
Slovenská správa ciest - IVSC Košice,cesta I. triedy,73,34,2135,M4613,73_034 Most cez bezmenný potok pred odbočkou do obce Vyšný Komárnik,1984,,1.0,2.3,,11.5,,,,Veľmi dobrý,rámová,prefabrikovaný železobetón,50.0,107.0,378.0,podľa tabuliek,Vodný tok,21.698841419,49.393836347,Štát,Prešovský kraj,Svidník,11.0,7.0
Slovenská správa ciest - IVSC Košice,cesta I. triedy,73,33,2135,M6821,73_033 Most cez potok Ladomírka pri obci Nižný Komárnik,1959,,1.0,11.1,,9.5,9.5,,,Dobrý,klenbová,monolitický železobetón,32.0,80.0,196.0,porovnávací výpočet,Vodný tok,21.692591297,49.370535287,Štát,Prešovský kraj,Svidník,11.0,7.0
Slovenská správa ciest - IVSC Košice,cesta I. triedy,73,022 1,5786,M3461,"73_022.1 Most cez kanál, vetva II, k.ú. Stročín",1974,,1.0,6.86,,11.5,10.5,,,Veľmi dobrý,dosková,prefabrikovaný železobetón,31.0,67.0,320.0,podľa tabuliek,Kanál,21.605705932,49.251618171,Štát,Prešovský kraj,Svidník,1.0,999.0
Slovenská správa ciest - IVSC Košice,cesta I. triedy,74,2,6230,M1746,74_002 Most cez potok Olšinky v obci Brekov,1971,,1.0,3.75,,13.0,11.0,,,Dobrý,dosková,prefabrikovaný železobetón,30.0,93.0,256.0,podľa tabuliek,Vodný tok,21.83966435,48.902409166,Štát,Prešovský kraj,Humenné,3.0,1.0
Slovenská správa ciest - IVSC Košice,cesta I. triedy,74,3,6230,M3564,74_003 Most cez kanál za obcou Brekov,1964,,1.0,7.0,,9.0,8.0,,,Dobrý,dosková,prefabrikovaný železobetón,30.0,85.0,292.0,podľa tabuliek,Kanál,21.842610331,48.90743174,Štát,Prešovský kraj,Humenné,3.0,1.0
Slovenská správa ciest - IVSC Košice,cesta I. triedy,74,1,6230,M6681,74_001 Most nad železničnou traťou pred obcou Brekov,1977,,3.0,43.72,,13.0,10.5,,,Zlý,dosková,prefabrikovaný predpätý betón,48.0,103.0,380.0,podľa tabuliek,Železnica,21.832794828,48.888937282,Štát,Prešovský kraj,Humenné,3.0,1.0
Slovenská správa ciest - IVSC Košice,cesta I. triedy,74,4,20927,M4015,74_004 Most cez potok Hlboký v meste Humenné,1952,,1.0,8.8,,14.5,12.0,,,Dobrý,dosková,monolitický železobetón,26.0,67.0,345.0,podľa tabuliek,Vodný tok,21.890097356,48.934085559,Štát,Prešovský kraj,Humenné,6.0,1.0
Slovenská správa ciest - IVSC Košice,cesta I. triedy,74,5,8844,M3113,"74_005 Most nad železničnou traťou, k.ú. Humenné",1977,,11.0,310.9,,18.0,14.5,,,Dobrý,trámová,prefabrikovaný predpätý betón,35.0,101.0,338.0,porovnávací výpočet,Železnica,21.908730547,48.932177675,Štát,Prešovský kraj,Humenné,1.0,4.0
Slovenská správa ciest - IVSC Košice,cesta I. triedy,74,6,8844,M4240,74_006 Most cez rieku Laborec v meste Humenné,1977,,3.0,70.45,,16.0,12.0,,,Dobrý,trámová,prefabrikovaný predpätý betón,39.0,113.0,337.0,podľa tabuliek,Vodný tok,21.91240125,48.928456086,Štát,Prešovský kraj,Humenné,1.0,4.0
Slovenská správa ciest - IVSC Košice,cesta I. triedy,74,8,6210,M3818,74_008 Most cez potok Kamenica pri mlyne v obci Kamenica nad Cirochou,1949,,1.0,15.0,,8.6,8.3,,,Zlý,trámová,monolitický železobetón,21.0,35.0,145.0,odhadom,Vodný tok,21.989234558,48.929489102,Štát,Prešovský kraj,Humenné,3.0,4.0
Slovenská správa ciest - IVSC Košice,cesta I. triedy,74,7,6210,M2059,74_007 Most cez potok Pťava za mestom Humenné,1964,,1.0,13.6,,9.5,9.0,,,Veľmi zlý,trámová,prefabrikovaný predpätý betón,18.0,38.0,90.0,podľa tabuliek,Vodný tok,21.923888874,48.929917671,Štát,Prešovský kraj,Humenné,3.0,4.0
Slovenská správa ciest - IVSC Košice,cesta I. triedy,74,13,2184,M1952,74_013 Most cez potok Delnica ua obcou Kamenica nad Cirochou,1965,,1.0,6.2,,9.0,8.0,,,Dobrý,dosková,prefabrikovaný železobetón,32.0,86.0,285.0,podľa tabuliek,Vodný tok,22.027968047,48.944633355,Štát,Prešovský kraj,Humenné,5.0,4.0
Slovenská správa ciest - IVSC Košice,cesta I. triedy,74,9,2184,M3111,74_009 Most cez miestny potok v obci Kamenica nad Cirochou,1949,,1.0,4.65,,11.0,11.0,,,Dobrý,dosková,monolitický železobetón,28.0,42.0,241.0,odhadom,Vodný tok,22.001086142,48.934984145,Štát,Prešovský kraj,Humenné,5.0,4.0
Slovenská správa ciest - IVSC Košice,cesta I. triedy,74,012A,2184,M376,74_012A Most cez bezmenný potok za obcou Kamenica nad Cirochou,1982,,1.0,5.9,,9.6,8.9,,,Uspokojivý,dosková,prefabrikovaný železobetón,28.0,63.0,297.0,podľa tabuliek,Vodný tok,22.023640902,48.942357354,Štát,Prešovský kraj,Humenné,5.0,4.0
Slovenská správa ciest - IVSC Košice,cesta I. triedy,74,10,2184,M4615,74_010 Most cez zrážkový potok za obcou Kamenica nad Cirochou,1965,,1.0,4.0,,9.5,8.2,,,Dobrý,dosková,prefabrikovaný železobetón,38.0,87.0,285.0,podľa tabuliek,Vodný tok,22.009632303,48.937435749,Štát,Prešovský kraj,Humenné,5.0,4.0
Slovenská správa ciest - IVSC Košice,cesta I. triedy,74,12,2184,M6373,74_012 Most cez kanál za obcou Kamenica nad Cirochou,1935,,1.0,3.0,,9.6,7.5,,,Dobrý,klenbová,monolitický prostý betón,12.0,62.0,283.0,podľa tabuliek,Kanál,22.021763991,48.941368257,Štát,Prešovský kraj,Humenné,5.0,4.0
Slovenská správa ciest - IVSC Košice,cesta I. triedy,74,14,2181,M53,74_014 Most cez kanál pred obcou Dlhé nad Cirochou,1935,,1.0,4.3,,8.5,7.1,,,Uspokojivý,klenbová,monolitický prostý betón,12.0,38.0,147.0,podľa tabuliek,Kanál,22.040936562,48.951689635,Štát,Prešovský kraj,Snina,7.0,4.0
Slovenská správa ciest - IVSC Košice,cesta I. triedy,74,15,2181,M6464,74_015 Most cez bezmenný potok v obci Dlhé nad Cirochou,1935,,1.0,3.0,,12.5,12.0,,,Dobrý,dosková,monolitický železobetón,26.0,40.0,350.0,podľa tabuliek,Vodný tok,22.04156272,48.952010484,Štát,Prešovský kraj,Snina,7.0,4.0
Slovenská správa ciest - IVSC Košice,cesta I. triedy,74,17,2178,M104,74-017 Most cez miestny potok v obci Dlhé nad Cirochou,1936,,1.0,4.4,,7.8,7.5,,,Zlý,klenbová,monolitický prostý betón,20.0,68.0,274.0,podľa tabuliek,Vodný tok,22.058300901,48.95831825,Štát,Prešovský kraj,Snina,8.0,4.0
Slovenská správa ciest - IVSC Košice,cesta I. triedy,74,19,2178,M3525,Most cez potok v obci Dlhé nad Cirochou,1937,,1.0,4.3,,7.5,7.0,,,Zlý,klenbová,monolitický prostý betón,13.0,45.0,153.0,podľa tabuliek,Vodný tok,22.06339612,48.961302482,Štát,Prešovský kraj,Snina,8.0,4.0
Slovenská správa ciest - IVSC Košice,cesta I. triedy,74,21,2178,M3690,74_021 Most cez potok za obcou Dlhé nad Cirocou,1937,,1.0,4.1,,10.1,9.0,,,Dobrý,dosková,monolitický železobetón,22.0,31.0,234.0,podľa tabuliek,Vodný tok,22.087938576,48.970499557,Štát,Prešovský kraj,Snina,8.0,4.0
Slovenská správa ciest - IVSC Košice,cesta I. triedy,74,16,2178,M4868,74_016 Most cez potok Hodkovec v obci Dlhé nad Cirochou,1940,,1.0,27.056,,8.5,8.5,,,Bezchybný,trámová,monolitický predpätý betón,32.0,80.0,196.0,odhadom,Vodný tok,22.056808295,48.95762996,Štát,Prešovský kraj,Snina,8.0,4.0
Slovenská správa ciest - IVSC Košice,cesta I. triedy,74,20,2178,M632,74_020 Most cez miestny potok v obci Dlhé nad Cirochou,1936,,1.0,3.0,,10.4,10.0,,,Uspokojivý,klenbová,monolitický prostý betón,10.0,37.0,145.0,podľa tabuliek,Vodný tok,22.074918297,48.965315994,Štát,Prešovský kraj,Snina,8.0,4.0
Slovenská správa ciest - IVSC Košice,cesta I. triedy,74,18,2178,M6677,74_018 Most cez bezmenný potok v obci Dlhé nad Cirochou,1937,,1.0,5.9,,7.9,7.5,,,Uspokojivý,klenbová,monolitický prostý betón,19.0,80.0,340.0,podľa tabuliek,Vodný tok,22.061801714,48.960205957,Štát,Prešovský kraj,Snina,8.0,4.0
Slovenská správa ciest - IVSC Košice,cesta I. triedy,74,25,2176,M1170,74_025 Most cez rieku Cirocha v obci Snina,1966,,1.0,32.0,,11.5,11.5,,,Havarijný,trámová,prefabrikovaný predpätý betón,31.0,88.0,261.0,porovnávací výpočet,Vodný tok,22.146540758,48.986361335,Štát,Prešovský kraj,Snina,10.0,4.0
Slovenská správa ciest - IVSC Košice,cesta I. triedy,74,24,2176,M2098,74_024 Most cez miestny potok v meste Snina,1973,,1.0,2.95,,19.55,12.5,,,Zlý,dosková,prefabrikovaný železobetón,26.0,47.0,284.0,podľa tabuliek,Vodný tok,22.129692862,48.982086895,Štát,Prešovský kraj,Snina,10.0,4.0
Slovenská správa ciest - IVSC Košice,cesta I. triedy,74,23,2176,M4166,74_023 Most cez potok Barnov v obci Belá nad Cirochou,1940,,1.0,6.5,,8.6,7.0,,,Veľmi zlý,dosková,monolitický železobetón,19.0,37.0,153.0,odhadom,Vodný tok,22.107469929,48.979366191,Štát,Prešovský kraj,Snina,10.0,4.0
Slovenská správa ciest - IVSC Košice,cesta I. triedy,74,29,2187,M2850,74_029 Most cez potok Chotinka v obci Stakčín,1942,,1.0,6.0,,11.2,9.0,,,Uspokojivý,dosková,monolitický železobetón,26.0,31.0,160.0,podľa tabuliek,Vodný tok,22.222594157,48.998603157,Štát,Prešovský kraj,Snina,11.0,4.0
Slovenská správa ciest - IVSC Košice,cesta I. triedy,74,27,2187,M6093,74_027 Most cez potok Patkovský za mestom Snina,1964,,1.0,7.4,,11.5,10.5,,,Dobrý,dosková,monolitický železobetón,18.0,48.0,209.0,podľa tabuliek,Vodný tok,22.182969409,48.984228844,Štát,Prešovský kraj,Snina,11.0,4.0
Slovenská správa ciest - IVSC Košice,cesta I. triedy,74,30,2190,M2414,74_030 Most cez rieku Cirocha v obci Stakčín,1960,,3.0,47.02,,23.98,18.62,,,Uspokojivý,trámová,prefabrikovaný predpätý betón,30.0,76.0,159.0,podľa tabuliek,Vodný tok,22.229926121,48.998748578,Štát,Prešovský kraj,Snina,13.0,4.0
Slovenská správa ciest - IVSC Košice,cesta I. triedy,74,31,2172,M1159,74_031 Most cez potok Oľchovec v obci Stakčín,1963,,1.0,7.0,,9.5,7.0,,,Dobrý,dosková,prefabrikovaný železobetón,35.0,83.0,340.0,podľa tabuliek,Vodný tok,22.235199602,48.996125558,Štát,Prešovský kraj,Snina,14.0,4.0
Slovenská správa ciest - IVSC Košice,cesta I. triedy,74,32,2172,M4423,74_032 Most cez kanál za obcou Stakčín,1960,,1.0,2.5,,6.7,6.7,,,Dobrý,dosková,monolitický železobetón,26.0,43.0,328.0,podľa tabuliek,Kanál,22.247437818,48.988486498,Štát,Prešovský kraj,Snina,14.0,4.0
Slovenská správa ciest - IVSC Košice,cesta I. triedy,74,36,2171,M3827,74_036 Most cez bezmenný potok v obci Kolonica,1966,,1.0,9.6,,11.0,8.5,,,Dobrý,dosková,prefabrikovaný predpätý betón,26.0,70.0,316.0,podľa tabuliek,Vodný tok,22.256074913,48.958024155,Štát,Prešovský kraj,Snina,15.0,4.0
Slovenská správa ciest - IVSC Košice,cesta I. triedy,74,33,2171,M1316,74_033 Most cez potok Lieskovec za obcou Stakčín,1960,,1.0,8.1,,8.25,6.75,,,Dobrý,dosková,prefabrikovaný železobetón,50.0,118.0,328.0,podľa tabuliek,Vodný tok,22.257033512,48.986988702,Štát,Prešovský kraj,Snina,15.0,4.0
Slovenská správa ciest - IVSC Košice,cesta I. triedy,74,37,2171,M3873,74_037 Most cez potok medzi obcou Kolonica a Ladomírov,1953,,1.0,2.15,,7.5,6.5,,,Uspokojivý,dosková,monolitický železobetón,20.0,32.0,280.0,podľa tabuliek,Vodný tok,22.275620443,48.937096812,Štát,Prešovský kraj,Snina,15.0,4.0
Slovenská správa ciest - IVSC Košice,cesta I. triedy,74,39,2171,M4270,74_039 Most cez potok Luh v obci Ladomirov,1963,,1.0,6.0,,9.5,8.5,,,Dobrý,dosková,prefabrikovaný železobetón,32.0,92.0,295.0,podľa tabuliek,Vodný tok,22.302219961,48.926749332,Štát,Prešovský kraj,Snina,15.0,4.0
Slovenská správa ciest - IVSC Košice,cesta I. triedy,74,41,2171,M4977,74_041 Most cez potok Poľana za obcou Ladomirov,1913,,1.0,2.55,,8.5,7.6,,,Dobrý,klenbová,monolitický prostý betón,11.0,60.0,274.0,podľa tabuliek,Vodný tok,22.327517824,48.925290501,Štát,Prešovský kraj,Snina,15.0,4.0
Slovenská správa ciest - IVSC Košice,cesta I. triedy,74,34,2171,M5124,74_034 Most cez bezmenný potok pred obcou Kolonica,1948,,1.0,10.2,,7.85,6.35,,,Uspokojivý,trámová,monolitický železobetón,24.0,37.0,172.0,odhadom,Vodný tok,22.254414953,48.978821969,Štát,Prešovský kraj,Snina,15.0,4.0
Slovenská správa ciest - IVSC Košice,cesta I. triedy,74,42,2171,M5960,74_042 Most cez potok Luh za obcou Ladomirov,1963,,1.0,14.65,,9.5,8.5,,,Dobrý,trámová,prefabrikovaný predpätý betón,30.0,64.0,150.0,podľa tabuliek,Vodný tok,22.354546073,48.921499325,Štát,Prešovský kraj,Snina,15.0,4.0
Slovenská správa ciest - IVSC Košice,cesta I. triedy,74,38,2171,M7553,74_038 Most cez potok Luh v obci Ladomirov,1951,,1.0,5.2,,8.5,8.5,,,Veľmi dobrý,dosková,monolitický železobetón,32.0,80.0,196.0,projektovaná,Vodný tok,22.29899638,48.927441341,Štát,Prešovský kraj,Snina,15.0,4.0
Slovenská správa ciest - IVSC Košice,cesta I. triedy,74,43,2171,M7607,74_043 Most cez potok Rovenský pred obcou Ubľa,1959,,1.0,17.25,,8.8,6.6,,,Uspokojivý,trámová,prefabrikovaný predpätý betón,24.0,51.0,99.0,podľa tabuliek,Vodný tok,22.37167835,48.915006553,Štát,Prešovský kraj,Snina,15.0,4.0
Slovenská správa ciest - IVSC Košice,cesta I. triedy,74,35,2171,M7772,74_035 Most cez bezmenný potok v obci Kolonica,1946,,1.0,3.0,,7.82,6.52,,,Uspokojivý,dosková,monolitický železobetón,10.0,32.0,280.0,podľa tabuliek,Vodný tok,22.250594047,48.963429947,Štát,Prešovský kraj,Snina,15.0,4.0
Slovenská správa ciest - IVSC Košice,cesta I. triedy,74,44,2146,M5668,74_044 Most cez potok Brezovec v obci Ubľa,1950,,1.0,3.2,,8.7,7.5,,,Havarijný,dosková,monolitický železobetón,20.0,32.0,280.0,podľa tabuliek,Vodný tok,22.385152557,48.902803457,Štát,Prešovský kraj,Snina,18.0,4.0
Slovenská správa ciest - IVSC Košice,cesta I. triedy,74,46,7174,M1939,74_046 Most cez horský potok v obci Ubľa,1969,,1.0,3.9,,7.5,6.5,,,Dobrý,dosková,prefabrikovaný železobetón,46.0,113.0,382.0,podľa tabuliek,Vodný tok,22.412891691,48.891101352,Štát,Prešovský kraj,Snina,19.0,4.0
Slovenská správa ciest - IVSC Košice,cesta I. triedy,74,45,7174,M6377,74_045 Most cez potok Hrabiny v obci Ubľa,1935,,1.0,2.55,,7.9,6.7,,,Veľmi zlý,dosková,monolitický železobetón,26.0,29.0,171.0,odhadom,Vodný tok,22.409356937,48.893013368,Štát,Prešovský kraj,Snina,19.0,4.0
Slovenská správa ciest - IVSC Košice,cesta I. triedy,000074A,1,25334,M2524,74A_001 Most cez potok Sosnica pred mestom Humenné,2006,,0.0,2.52,,20.0,,,,Veľmi dobrý,rámová,prefabrikovaný železobetón,32.0,80.0,196.0,projektovaná,,21.872536728,48.929848312,Štát,Prešovský kraj,Humenné,1.0,1.0
Slovenská správa ciest - IVSC Košice,cesta I. triedy,000074A,3,20900,M1,74A_003 Most cez potok Pereň v meste Humenné,1988,,0.0,12.0,,20.15,14.5,,,Dobrý,dosková,prefabrikovaný predpätý betón,26.0,78.0,306.0,podľa tabuliek,,21.891528623,48.929337701,Štát,Prešovský kraj,Humenné,2.0,1.0
Slovenská správa ciest - IVSC Košice,cesta I. triedy,000074A,2,20900,M1767,74A_002 Most cez potok Suchý jarok pred mestom Humenné,2006,,0.0,5.38,,16.5,,,,Bezchybný,,,32.0,80.0,196.0,,,21.878611964,48.929920073,Štát,Prešovský kraj,Humenné,2.0,1.0
Slovenská správa ciest - IVSC Košice,cesta I. triedy,000074A,5,20900,M926,,1000,,,999.0,,,,,,Nezistený,,,0.0,0.0,0.0,,Podchod pre chodcov,21.90127504,48.93070576,Štát,Prešovský kraj,Humenné,2.0,1.0
Slovenská správa ciest - IVSC Bratislava,cesta I. triedy,75,1,1257,M6252,"75_001 Most cez potok Šárd, k.ú. Galanta",1969,,1.0,12.0,,10.3,9.3,,,Uspokojivý,dosková,prefabrikovaný predpätý betón,21.0,62.0,209.0,odhadom,Vodný tok,17.712247652,48.186735332,Štát,Trnavský kraj,Galanta,3.0,6.0
Slovenská správa ciest - IVSC Bratislava,cesta I. triedy,75,002A,9087,M7595,"75_002A Most cez kanál Derna, k.ú. Galanta",1975,,1.0,11.46,,11.5,10.5,,,Dobrý,dosková,prefabrikovaný predpätý betón,50.0,60.0,100.0,odhadom,Kanál,17.796588995,48.179968367,Štát,Trnavský kraj,Galanta,3.0,9.0
Slovenská správa ciest - IVSC Bratislava,cesta I. triedy,75,003A,1284,M4005,75_003A Most cez Kráľovský Kanál medzi obcou Kajal a Kráľová,1975,,1.0,6.0,,12.7,11.7,,,Dobrý,dosková,monolitický železobetón,50.0,60.0,100.0,odhadom,Kanál,17.814557932,48.179035577,Štát,Nitriansky kraj,Šaľa,4.0,9.0
Slovenská správa ciest - IVSC Bratislava,cesta I. triedy,75,003B,8666,M5040,75_0003B Most nad obvodovou komunikáciou v meste Šaľa,1977,,3.0,58.48,,14.5,10.5,,,Dobrý,dosková,monolitický predpätý betón,27.0,135.0,245.0,porovnávací výpočet,Miestna komunikácia,17.877413717,48.157705343,Štát,Nitriansky kraj,Šaľa,2.0,12.0
Slovenská správa ciest - IVSC Bratislava,cesta I. triedy,75,4,8666,M6115,75_004 Most cez rieku Váh v meste Šaľa,1977,,6.0,298.6,,10.5,,,,Dobrý,trámová,monolitický predpätý betón,20.0,60.0,237.0,porovnávací výpočet,Vodný tok,17.880028259,48.16026958,Štát,Nitriansky kraj,Šaľa,2.0,12.0
Slovenská správa ciest - IVSC Bratislava,cesta I. triedy,75,7,1300,M6456,75_007 Most cez odvodňovací kanál v obci Trnovec nad Váhom,1962,,1.0,5.5,,10.6,9.1,,,Veľmi dobrý,trámová,prefabrikovaný železobetón,55.0,60.0,100.0,odhadom,Kanál,17.940366424,48.151346069,Štát,Nitriansky kraj,Šaľa,7.0,12.0
Slovenská správa ciest - IVSC Bratislava,cesta I. triedy,75,10,1303,M1992,75_010 Most cez odvodňovací kanál pri obci Jatov,1942,,1.0,9.0,,11.25,10.5,,,Dobrý,dosková,monolitický železobetón,48.0,91.0,370.0,porovnávací výpočet,Kanál,18.018705046,48.135361067,Štát,Nitriansky kraj,Nové Zámky,9.0,12.0
Slovenská správa ciest - IVSC Bratislava,cesta I. triedy,75,9,1303,M2405,75_009 Most cez zátopové územie pred obcou Jatov,1942,,1.0,4.0,,11.13,10.5,,,Dobrý,trámová,monolitický železobetón,15.0,38.0,70.0,porovnávací výpočet,Záplavové územie,18.004407179,48.138262122,Štát,Nitriansky kraj,Nové Zámky,9.0,12.0
Slovenská správa ciest - IVSC Bratislava,cesta I. triedy,75,8,1303,M5778,75_008 Most cez odvodňovací kanál pred obcou Jatov,1942,,1.0,9.03,,11.25,10.5,,,Dobrý,dosková,prefabrikovaný predpätý betón,40.0,50.0,80.0,odhadom,Kanál,17.994329968,48.140614745,Štát,Nitriansky kraj,Nové Zámky,9.0,12.0
Slovenská správa ciest - IVSC Bratislava,cesta I. triedy,75,12,1640,M1153,75_012 Most cez Dalinský potok za obcou Tvrdošovce,1967,,1.0,2.4,,8.8,8.2,,,Dobrý,klenbová,tehla,11.0,41.0,182.0,porovnávací výpočet,Vodný tok,18.077163546,48.08047284,Štát,Nitriansky kraj,Nové Zámky,10.0,12.0
Slovenská správa ciest - IVSC Bratislava,cesta I. triedy,75,11,1640,M2139,75_011 Most cez Tvrdošovský potok v obci Tvrdošovce,1991,,1.0,8.26,,17.39,13.39,,,Dobrý,trámová,prefabrikovaný železobetón,36.0,81.0,259.0,porovnávací výpočet,Vodný tok,18.061362535,48.099420537,Štát,Nitriansky kraj,Nové Zámky,10.0,12.0
Slovenská správa ciest - IVSC Bratislava,cesta I. triedy,75,016A,1670,M5125,"75_016A Inundačný most, k.ú. Nové Zámky",1975,,1.0,3.1,,9.5,8.5,,,Dobrý,dosková,prefabrikovaný železobetón,29.0,66.0,312.0,porovnávací výpočet,Záplavové územie,18.187287894,47.995584411,Štát,Nitriansky kraj,Nové Zámky,2.0,13.0
Slovenská správa ciest - IVSC Bratislava,cesta I. triedy,75,15,1670,M7160,75_015 Most cez mlynský náhon v k.ú. mesta Nové Zámky,1975,,1.0,17.6,,12.5,8.5,,,Uspokojivý,dosková,prefabrikovaný predpätý betón,20.0,62.0,184.0,porovnávací výpočet,Kanál,18.184486972,47.996553554,Štát,Nitriansky kraj,Nové Zámky,2.0,13.0
Slovenská správa ciest - IVSC Bratislava,cesta I. triedy,75,16,1670,M7430,75_016 Most cez rieku Nitra v Nových Zámkoch,1975,,1.0,62.0,,11.0,8.5,,,Zlý,rámová,monolitický predpätý betón,28.0,38.0,210.0,porovnávací výpočet,Vodný tok,18.185473815,47.996218357,Štát,Nitriansky kraj,Nové Zámky,2.0,13.0
Slovenská správa ciest - IVSC Bratislava,cesta I. triedy,75,19,1676,M2860,75_019 Most cez rieku Žitava pred obcou Dvory nad Žitavou,1972,,1.0,17.7,,11.0,8.5,,,Dobrý,dosková,prefabrikovaný predpätý betón,26.0,78.0,251.0,porovnávací výpočet,Vodný tok,18.244562333,47.996942543,Štát,Nitriansky kraj,Nové Zámky,3.0,13.0
Slovenská správa ciest - IVSC Bratislava,cesta I. triedy,75,21,2060,M6898,75_021 Most cez odvodňovací kanál pred obcou Kolta,1929,,1.0,3.4,,7.0,5.8,,,Dobrý,trámová,oceľ -  plnostenná,10.0,32.0,280.0,porovnávací výpočet,Kanál,18.357979807,48.000788502,Štát,Nitriansky kraj,Nové Zámky,6.0,13.0
Slovenská správa ciest - IVSC Bratislava,cesta I. triedy,75,25,2054,M3421,75_025 Most cez odpadový kanál pri majeri Stará Dedina,1969,,1.0,3.9,,7.6,6.8,,,Veľmi dobrý,dosková,prefabrikovaný železobetón,16.0,33.0,219.0,porovnávací výpočet,Kanál,18.422638899,48.031744765,Štát,Nitriansky kraj,Nové Zámky,9.0,13.0
