ID_mosta,Trieda_PK,Číslo_PK,Most_DC,Názov_mosta,ID_DC,správcovské_číslo,Zemepisná_šírka,Zemepisná_dĺžka,Výška,Druh_konštrukcie,Material,Normálna_zaťažiteľnosť,Výhradná_zaťažiteľnosť_t,Výnimočná_zaťažiteľnosť_t,Spôsob_stanovenia,Predmet_premostenia,Rok_postavenia,Zaťažovacia_trieda_STN,Počet_otvorov,Dĺžka_premostenia,Dĺžka_nosnej_konštrukcie_m,Volná_šírka_mosta,Šírka_medzi_obrubami_m,Plocha_mosnej_konštrukcie_m2,Plocha_mosta_m2,Vlastník_úseku,Správca_úseku,Okres,Smer_úseku,Typ_úseku,Počiatočný_uzol,Koncový_uzol,úsek_ID,úsekové_staničenie_začiatku_DC_m,Kilometrovníkové_staničenie_začiatku_DC_km,Kumulatívne_staničenie_začiatku_DC_km,Poradie,Kraj,n_2012,n_2013,n_2014,n_2015,n_2016,n_2017,n_2018,n_2019,n_2020,n_2021,n_2022,n_2023,n_2024
M5897,cesta I. triedy,2,Dilatačný celok,02_002 Most cez potok Brestovec v obci Kopčany,M5897.01,2,48.790152421,17.12331906,163.81625,dosková,prefabrikovaný železobetón,29,64,303,podľa tabuliek,Vodný tok,1966,Nezistený,1,6.55,Nezistený,10.5,8,Nezistený,Nezistený,STAT,SSC - IVSC BA,Skalica,oba smery trasy CK,medzikrižovatkový,3424A11500,3424A11600,259391,139,4.594,4.524,39,Trnava,3,3,3,3,3,5,5,5,5,5,5,5,5.0
M1979,cesta I. triedy,2,Dilatačný celok,02_003 Most cez Cuninský potok medzi obcami Kopčany a Kúty,M1979.01,3,48.757287384,17.079098102,162.974249,dosková,prefabrikovaný predpätý betón,19,49,199,podľa tabuliek,Vodný tok,1962,Nezistený,1,8,Nezistený,9.5,8.5,Nezistený,Nezistený,STAT,SSC - IVSC BA,Skalica,oba smery trasy CK,medzikrižovatkový,3424A09200,3424A01900,259368,1423,9.548,9.456,49,Trnava,3,3,3,3,3,6,6,6,6,6,6,6,6.0
M6525,cesta I. triedy,2,Dilatačný celok,02_004 Most nad železnicou Praha - Bratislava v k.ú. obce Brodské,M6525.01,4,48.684515442,17.031675254,168.96875,dosková,prefabrikovaný predpätý betón,26,61,178,odhadom,Železnica,1967,Nezistený,3,40,Nezistený,10,9,Nezistený,Nezistený,STAT,SSC - IVSC BA,Skalica,oba smery trasy CK,medzikrižovatkový,3424A02000,3442A04800,271,1802,18.763,18.673,52,Trnava,4,4,4,4,4,4,4,4,4,4,4,4,4.0
M4584,cesta I. triedy,2,Dilatačný celok,O2_005 Most cez Zelnický potok pred obcou Kúty,M4584.01,5,48.663687978,17.020573721,155.871499,dosková,monolitický železobetón,16,42,316,podľa tabuliek,Vodný tok,1962,Nezistený,1,3.7,Nezistený,9.5,8.5,Nezistený,Nezistený,STAT,SSC - IVSC BA,Senica,oba smery trasy CK,medzikrižovatkový,3442A27000,3442A27301,284169,95,21.229,21.143,56,Trnava,3,3,3,3,3,3,3,3,3,3,3,4,5.0
M3053,cesta I. triedy,2,Dilatačný celok,"02_006 Most nad diaľnicou D2, pri obci Kúty",M3053.01,6,48.63912,17.00166,161.48,trámová,monolitický predpätý betón,52,188,260,porovnávací výpočet,Cestná komunikácia,1980,Nezistený,3,65,Nezistený,13,10.5,Nezistený,Nezistený,STAT,SSC - IVSC BA,Senica,oba smery trasy CK,lúč,3442A01113,3442A01109,6670,140,24.44,24.281,80,Trnava,3,3,4,4,4,4,4,4,4,5,5,5,5.0
M1833,cesta I. triedy,2,Dilatačný celok,02_007 Most cez rieku Myjava za obcou Kúty,M1833.01,7,48.634732118,16.994970512,153.17525,dosková,monolitický železobetón,13,46,265,statický výpočet podľa TP 02/2016,Vodný tok,1949,Nezistený,2,22.8,Nezistený,11,10,Nezistený,Nezistený,STAT,SSC - IVSC BA,Senica,oba smery trasy CK,medzikrižovatkový,3442A01106,3441A02300,8719,452,25.171,24.998,83,Trnava,5,5,5,5,5,5,5,5,5,6,6,6,6.0
M1055,cesta I. triedy,2,Dilatačný celok,02_008 Most cez kanál pri obci Sekule,M1055.01,8,48.600581635,16.995904186,150.6425,dosková,monolitický železobetón,11,31,234,podľa tabuliek,Kanál,1940,Nezistený,1,4,Nezistený,8.1,7.4,Nezistený,Nezistený,STAT,SSC - IVSC BA,Senica,oba smery trasy CK,medzikrižovatkový,3441A02700,3441A02800,284190,161,29.189,29.001,89,Trnava,3,3,3,3,3,6,6,6,6,6,6,6,6.0
M1839,cesta I. triedy,2,Dilatačný celok,02_009 Most cez kanál v obci Moravský Svätý Ján,M1839.01,9,48.589378839,16.991552442,149.679499,dosková,monolitický železobetón,15,76,169,statický výpočet podľa TP 02/2016,Kanál,1940,Nezistený,1,4,Nezistený,7.4,6.1,Nezistený,Nezistený,STAT,SSC - IVSC BA,Senica,oba smery trasy CK,medzikrižovatkový,3441A00500,3441A00201,8508,323,30.458,30.295,92,Trnava,3,3,3,3,3,6,6,6,6,6,6,6,6.0
M4986,cesta I. triedy,2,Dilatačný celok,02_010 Most cez potok Lakšár za obcou Moravský Ján,M4986.01,10,48.572310285,16.993470125,151.34075,trámová,monolitický železobetón,17,39,112,odhadom,Vodný tok,1939,Nezistený,1,12.8,Nezistený,8.05,6.6,Nezistený,Nezistený,STAT,SSC - IVSC BA,Senica,oba smery trasy CK,medzikrižovatkový,3441A00900,3441A01300,283482,1272,32.361,32.205,95,Trnava,3,3,4,4,4,4,4,4,4,5,5,5,5.0
M2426,cesta I. triedy,2,Dilatačný celok,02_011 Most cez potok Ambrod v k.ú. obce Moravský Ján,M2426.01,11,48.534269208,16.982162231,150.758,dosková,monolitický železobetón,11,31,234,podľa tabuliek,Vodný tok,1939,Nezistený,1,4,Nezistený,8.2,7,Nezistený,Nezistený,STAT,SSC - IVSC BA,Malacky,oba smery trasy CK,medzikrižovatkový,3441A00400,3441A03200,8501,877,36.582,36.557,100,Bratislava,3,3,3,3,3,5,5,5,5,5,5,5,5.0
M6131,cesta I. triedy,2,Dilatačný celok,"02_011A Most cez potok/mlynský náhon, Veľké Leváre",M6131.01,011A,48.499681704,17.003072509,162.364059448242,rámová,prefabrikovaný železobetón,21,71,504,projektovaná,Nezistený,1975,Nezistený,2,4.55,Nezistený,10.5,7.8,Nezistený,Nezistený,STAT,SSC - IVSC BA,Malacky,oba smery trasy CK,medzikrižovatkový,3444A11801,3444A11900,426555,95,40.7,40.732,109,Bratislava,3,3,3,3,3,5,5,5,5,5,5,5,5.0
M2128,cesta I. triedy,2,Dilatačný celok,02_012 Most cez potok za obcou Veľké Leváre,M2128.01,12,48.49701,17.00391,159.119999,trámová,monolitický železobetón,21,71,504,podľa tabuliek,Vodný tok,1977,Nezistený,1,2.1,Nezistený,10.5,9.5,Nezistený,Nezistený,STAT,SSC - IVSC BA,Malacky,oba smery trasy CK,medzikrižovatkový,3444A11900,3444A27400,426556,291,41.002,41.034,110,Bratislava,2,2,2,2,2,4,4,4,4,4,4,4,4.0
M139,cesta I. triedy,2,Dilatačný celok,02_013 Most cez potok Rudava,M139.01,13,48.489033881,17.009922887,155.96025,trámová,prefabrikovaný predpätý betón,37,89,258,odhadom,Vodný tok,1977,Nezistený,1,12.9,Nezistený,10.5,9.5,Nezistený,Nezistený,STAT,SSC - IVSC BA,Malacky,oba smery trasy CK,medzikrižovatkový,3444A11900,3444A27400,426556,1282,42.044,42.025,110,Bratislava,4,4,4,4,4,4,4,4,4,4,4,4,4.0
M3988,cesta I. triedy,2,Dilatačný celok,Most na výstupnej vetve pravobrež.križovatky Prístavného mosta,M3988.01,13,48.131135978,17.134619356,141.383117675781,trámová,monolitický predpätý betón,27,68,222,projektovaná,"Účelová komunikácia,  Účelová komunikácia,  Účelová komunikácia,  Účelová komunikácia",1983,Nezistený,7,231.07,Nezistený,9,9,Nezistený,Nezistený,BA,MAG-BA,Bratislava V,v smere trasy CK,lúč,4424A00510,4424A00513,8610,345,85.513,85.707,385,Bratislava,1,1,1,1,1,1,1,1,1,1,1,1,1.0
M3021,cesta I. triedy,2,Dilatačný celok,02_014 Most cez kanál za obcou Veľké Leváre,M3021.01,14,48.485986971,17.012068791,154.750249,trámová,monolitický železobetón,21,71,504,podľa tabuliek,Kanál,1977,Nezistený,1,2.1,Nezistený,10.3,9.5,Nezistený,Nezistený,STAT,SSC - IVSC BA,Malacky,oba smery trasy CK,medzikrižovatkový,3444A11900,3444A27400,426556,1662,42.424,42.405,110,Bratislava,3,3,3,3,3,3,3,3,3,6,6,6,6.0
M24,cesta I. triedy,2,Dilatačný celok,02_015 Most cez potok Malina v Malackách,M24.01,15,48.440933137,17.012224814,160.031,trámová,monolitický železobetón,14,31,102,odhadom,Vodný tok,1938,Nezistený,1,9.5,Nezistený,8,6,Nezistený,Nezistený,STAT,SSC - IVSC BA,Malacky,oba smery trasy CK,medzikrižovatkový,3444A26800,3444A13800,895870,78,47.434,47.433,128,Bratislava,4,4,4,4,4,5,5,5,5,5,5,5,5.0
M65,cesta I. triedy,2,Dilatačný celok,02_016 2.Most cez potok Malina v Malackách,M65.01,16,48.425106076,17.020628121,162.101999,trámová,monolitický železobetón,13,31,136,odhadom,Vodný tok,1934,Nezistený,1,7.45,Nezistený,7.65,7.65,Nezistený,Nezistený,STAT,SSC - IVSC BA,Malacky,oba smery trasy CK,medzikrižovatkový,3444A26300,3444A14700,895864,21,49.448,49.453,150,Bratislava,4,4,4,4,4,4,4,4,4,4,4,4,4.0
M2290,cesta I. triedy,2,Dilatačný celok,02_018 Most cez jarok Balážka v obci Malacky,M2290.01,18,48.412613048,17.019061316,163.311749,dosková,monolitický železobetón,11,36,300,odhadom,Vodný tok,1934,Nezistený,1,2.95,Nezistený,7.45,7.45,Nezistený,Nezistený,STAT,SSC - IVSC BA,Malacky,oba smery trasy CK,medzikrižovatkový,3444A26000,3444A25900,895861,107,50.7,50.825,157,Bratislava,3,3,3,3,3,6,6,6,6,5,5,5,5.0
M2334,cesta I. triedy,2,Dilatačný celok,02_019 Most nad železnicou Brno-Bratislava pri obci Plavecký Štvrtok,M2334.01,19,48.398454069,17.016530125,178.48325,trámová,monolitický železobetón,18,42,98,Nezistený,Železnica,1934,Nezistený,3,32.6,Nezistený,7.35,5.85,Nezistený,Nezistený,STAT,SSC - IVSC BA,Malacky,oba smery trasy CK,medzikrižovatkový,3444A15100,3444A15200,426596,262,52.479,52.486,159,Bratislava,3,3,3,3,3,3,3,3,3,3,3,3,3.0
M5138,cesta I. triedy,2,Dilatačný celok,02_020 Most cez potok Hlavina,M5138.01,20,48.39305116,17.019896533,167.8405,dosková,monolitický železobetón,10,35,166,statický výpočet podľa TP 02/2016,Vodný tok,1934,Nezistený,1,6,Nezistený,8,7.2,Nezistený,Nezistený,STAT,SSC - IVSC BA,Malacky,oba smery trasy CK,medzikrižovatkový,3444A15200,3444A15300,426597,339,53.144,53.155,160,Bratislava,4,4,4,4,4,7,7,7,7,7,7,7,7.0
M616,cesta I. triedy,2,Dilatačný celok,02_021 Most cez potok Štum,M616.01,21,48.364202757,17.016902618,164.361,dosková,monolitický železobetón,13,39,168,podľa tabuliek,Vodný tok,1934,Nezistený,1,4.15,Nezistený,8.35,8.35,Nezistený,Nezistený,STAT,SSC - IVSC BA,Malacky,oba smery trasy CK,medzikrižovatkový,3444A09600,3444A09700,426496,678,56.287,56.395,163,Bratislava,3,3,3,3,3,5,5,5,5,4,4,4,4.0
M6907,cesta I. triedy,2,Dilatačný celok,02_022 Most cez potok Frikav v k. ú. obce Lozorno,M6907.01,22,48.346283788,17.019155983,164.347999,dosková,monolitický železobetón,17,38,219,odhadom,Vodný tok,1934,Nezistený,1,4,Nezistený,8.1,7.8,Nezistený,Nezistený,STAT,SSC - IVSC BA,Malacky,oba smery trasy CK,medzikrižovatkový,3444A22802,4422A02200,429544,62,58.324,58.429,167,Bratislava,3,3,3,3,3,4,4,4,4,4,4,4,4.0
M5555,cesta I. triedy,2,Dilatačný celok,02_024 Most nad diaľnicou D2 v k.ú. obce Lozorno,M5555.01,24,48.326810205,17.023798066,176.6135,rámová,monolitický predpätý betón,19,52,122,odhadom,Cestná komunikácia,1973,Nezistený,3,59.9,Nezistený,13,10.5,Nezistený,Nezistený,STAT,SSC - IVSC BA,Malacky,oba smery trasy CK,lúč,4422A00107,4422A00113,6671,72,60.868,60.912,172,Bratislava,4,4,4,4,4,4,4,4,4,5,5,5,5.0
M5509,cesta I. triedy,2,Dilatačný celok,02_025 Most cez Lozorňanský potok,M5509.01,25,48.318007888,17.029249805,177.103499,trámová,prefabrikovaný železobetón,36,78,354,odhadom,Vodný tok,1972,Nezistený,1,5,Nezistený,11.5,10.5,Nezistený,Nezistený,STAT,SSC - IVSC BA,Malacky,oba smery trasy CK,medzikrižovatkový,4422A90200,4422A25600,1327515,431,62.231,62.222,178,Bratislava,2,2,2,2,2,6,6,6,6,6,6,6,6.0
M4332,cesta I. triedy,2,Dilatačný celok,02_026 Most cez zátokové územie pred Stupavou,M4332.01,26,48.288147531,17.031404597,169.082999,dosková,monolitický železobetón,13,40,350,odhadom,Záplavové územie,1927,Nezistený,1,2.2,Nezistený,7.85,7.65,Nezistený,Nezistený,STAT,SSC - IVSC BA,Malacky,oba smery trasy CK,medzikrižovatkový,4422A25700,4422A25900,426536,2014,65.608,65.601,180,Bratislava,3,3,3,3,3,6,6,6,6,6,6,6,6.0
M6110,cesta I. triedy,2,Dilatačný celok,02_028 Most cez potok v Stupave,M6110.01,28,48.274879854,17.031912319,178.77,dosková,prefabrikovaný železobetón,27,56,160,odhadom,Vodný tok,1966,Nezistený,1,5.9,Nezistený,14,10,Nezistený,Nezistený,STAT,SSC - IVSC BA,Malacky,oba smery trasy CK,medzikrižovatkový,4422A02400,4422A27501,6300,210,67.106,67.103,188,Bratislava,2,2,2,2,2,6,6,6,6,6,6,6,6.0
M3838,cesta I. triedy,2,Dilatačný celok,02_029 Most cez mlynský náhon v obci Stupava,M3838.01,29,48.274517135,17.031948416,180.40325,dosková,monolitický železobetón,13,40,350,odhadom,Kanál,1948,Nezistený,1,3,Nezistený,18.2,13.3,Nezistený,Nezistený,STAT,SSC - IVSC BA,Malacky,oba smery trasy CK,lúč,4422A27501,4422A27502,426578,10,67.148,67.145,189,Bratislava,4,4,4,4,4,4,4,4,4,4,4,4,4.0
M2550,cesta I. triedy,2,Dilatačný celok,02_030 Most cez potok v k.ú. obce Stupava,M2550.01,30,48.255456029,17.030527629,167.4535,dosková,prefabrikovaný železobetón,18,36,239,odhadom,Vodný tok,1961,Nezistený,1,4,Nezistený,9.65,8.55,Nezistený,Nezistený,STAT,SSC - IVSC BA,Malacky,oba smery trasy CK,medzikrižovatkový,4422A88300,4422A32000,1086795,165,69.173,69.302,202,Bratislava,3,3,3,3,3,3,3,3,3,6,6,6,6.0
M2259,cesta I. triedy,2,Dilatačný celok,"Most cez Mariánsky potok na Bratislavskej ulici, Záhorská Bystrica",M2259.01,2-031,48.24924,17.0341,213.56,dosková,prefabrikovaný železobetón,32,81,199,projektovaná,Vodný tok,1961,Nezistený,1,10.86,19.57,17.5,17.5,Nezistený,208,BA,MAG-BA,Bratislava IV,oba smery trasy CK,medzikrižovatkový,4422A06003,4422A02600,486152,14,69.926,70.055,209,Bratislava,4,4,4,4,4,4,4,4,4,4,1,1,2.0
M3446,cesta I. triedy,2,Dilatačný celok,"Most na Bratislavskej ulici cez Bystrický potok, Záhorská Bystrica",M3446.01,2-032,48.241369836,17.034921066,215.326,dosková,monolitický železobetón,16,39,210,projektovaná,Vodný tok,1961,Nezistený,1,3.22,Nezistený,11.22,11.22,Nezistený,Nezistený,BA,MAG-BA,Bratislava IV,oba smery trasy CK,medzikrižovatkový,4422A33200,4422A40300,460524,7,70.806,70.935,212,Bratislava,5,5,5,5,5,5,5,5,5,5,5,5,5.0
M7099,cesta I. triedy,2,Dilatačný celok,"Most nad traťou ŽSR, Lamač BA",M7099.01,2-033,48.18906,17.0472,258.09,klenbová,monolitický železobetón,50,60,100,statický výpočet,Železnica,1946,Nezistený,1,31,33.8,14,10,Nezistený,493,BA,MAG-BA,Bratislava IV,oba smery trasy CK,medzikrižovatkový,4422A45001,4422A45101,460763,10,76.52,76.714,265,Bratislava,5,5,5,5,5,5,5,5,5,5,5,5,5.0
M6538,cesta I. triedy,2,Dilatačný celok,Nezistený,M6538.01,34,48.171003006,17.072509059,218.180999,trámová,prefabrikovaný železobetón,39,144,277,podľa tabuliek,Miestna komunikácia,1978,Nezistený,1,4.06,Nezistený,35.5,20,Nezistený,Nezistený,BA,MAG-BA,Bratislava IV,oba smery trasy CK,lúč,4422A50001,4422A50002,526578,1,79.349,79.543,298,Bratislava,3,3,3,3,3,3,3,3,3,3,3,3,3.0
M4156,cesta I. triedy,2,Dilatačný celok,Nezistený,M4156.01,35,48.168776802,17.076409559,175.231246948242,dosková,prefabrikovaný železobetón,24,43,144,porovnávací výpočet,Podchod pre chodcov,1979,Nezistený,1,6.9,Nezistený,11,11,Nezistený,Nezistený,BA,MAG-BA,Bratislava IV,v smere trasy CK,medzikrižovatkový,4422A05700,4424A00101,7405,216,79.75,79.944,302,Bratislava,4,4,4,4,4,4,4,4,4,4,4,4,4.0
M1920,cesta I. triedy,2,Dilatačný celok,"Most na podchodom ku gymnáziu, vetva križovatky 2.1. Petržalka BA",M1920.01,2-040.1,48.130647403,17.103763044,184.601999,trámová,prefabrikovaný železobetón,36,81,306,statický výpočet,Miestna komunikácia,1989,Nezistený,1,6.76,7.5,9,9,Nezistený,Nezistený,BA,MAG-BA,Bratislava V,"neaplikovateľný, nepoužiteľný",vetva,4424A05517,4424A05518,7579,79,Nezistený,Nezistený,365,Bratislava,3,3,3,3,3,3,3,3,3,3,3,3,4.0
M2301,cesta I. triedy,2,Dilatačný celok,Nájazd z Einsteinovej ulice na Panónsku cestu pri Sade Janka Kráľa,M2301.01,2-040.2,48.132621202,17.106123715,182.698999,trámová,prefabrikovaný železobetón,36,81,306,statický výpočet,Miestna komunikácia,1990,Nezistený,1,6.76,7.46,7,7,Nezistený,Nezistený,BA,MAG-BA,Bratislava V,"neaplikovateľný, nepoužiteľný",vetva,4424A05516,4424A05515,7572,58,Nezistený,Nezistený,367,Bratislava,3,3,3,3,3,3,3,3,3,3,3,3,3.0
M6994,cesta I. triedy,2,Dilatačný celok,Nezistený,M6994.01,47,48.12925187,17.130055519,137.369873046875,trámová,prefabrikovaný železobetón,28,57,57,porovnávací výpočet,"Miestna komunikácia,  Miestna komunikácia",1985,Nezistený,1,5.61,Nezistený,12,10.2,Nezistený,Nezistený,BA,MAG-BA,Bratislava V,v smere trasy CK,medzikrižovatkový,4424A00505,4424A02801,9443,4,87.979,86.225,392,Bratislava,5,5,5,5,5,5,5,5,5,5,5,5,5.0
M7229,cesta I. triedy,2,Dilatačný celok,"Most na Dolnozemskej ceste nad Bosákovou ulicou, Petržalka, BA",M7229.01,2-048,48.127563995,17.129935117,184.274749,trámová,prefabrikovaný predpätý betón,32,129,266,porovnávací výpočet,Miestna komunikácia,1983,Nezistený,4,108.95,Nezistený,11.5,10.5,Nezistený,Nezistený,BA,MAG-BA,Bratislava V,v smere trasy CK,lúč,4424A02801,4424A02802,7598,131,88.125,86.371,393,Bratislava,3,3,3,3,3,3,3,3,3,3,3,3,5.0
M5333,cesta I. triedy,2,Dilatačný celok,Nezistený,M5333.01,49,48.125990691,17.131040629,139.626571655273,rámová,monolitický železobetón,41,82,336,podľa tabuliek,"Miestna komunikácia,  Miestna komunikácia",1985,Nezistený,1,5.61,Nezistený,10.2,10.2,Nezistený,Nezistený,BA,MAG-BA,Bratislava V,v smere trasy CK,medzikrižovatkový,4424A02802,4424A52301,7589,57,88.376,86.622,402,Bratislava,6,6,6,6,6,6,6,6,6,6,6,6,6.0
M1841,cesta I. triedy,2,Dilatačný celok,Nezistený,M1841.01,50,48.112056877,17.128560492,186.91375,trámová,prefabrikovaný predpätý betón,30,120,249,statický výpočet,Miestna komunikácia,1985,Nezistený,4,107.96,Nezistený,11.5,10.5,Nezistený,Nezistený,BA,MAG-BA,Bratislava V,v smere trasy CK,lúč,4424A02401,4424A02402,7226,318,90.077,88.323,416,Bratislava,3,3,3,3,3,3,3,3,3,3,3,3,4.0
M7651,cesta I. triedy,2,Dilatačný celok,Nezistený,M7651.01,51,48.109148631,17.126073674,180.87175,trámová,prefabrikovaný železobetón,53,89,428,Nezistený,Miestna komunikácia,1985,Nezistený,1,4.38,Nezistený,21.5,21.5,Nezistený,Nezistený,BA,MAG-BA,Bratislava V,oba smery trasy CK,medzikrižovatkový,4424A02405,4424A45500,433880,74,90.499,88.745,464,Bratislava,3,3,3,3,3,3,3,3,3,3,3,3,3.0
M626,cesta I. triedy,2,Dilatačný celok,"Most nad Chorvátskym ramenom, Dolnozemská ul., Petržalka BA",M626.01,2-052,48.100213801,17.121223223,181.89625,trámová,prefabrikovaný predpätý betón,36,167,272,statický výpočet,Kanál,1983,Nezistený,1,38,40.8,21.5,20.5,Nezistený,Nezistený,BA,MAG-BA,Bratislava V,oba smery trasy CK,medzikrižovatkový,4424A17802,4424A02201,805774,22,91.557,89.803,470,Bratislava,4,4,4,4,4,4,4,4,4,4,5,5,5.0
M4655,cesta I. triedy,2,Dilatačný celok,"Most na Dolnozemskej ceste nad Betliarskou ulicou, Petržalka, BA",M4655.01,2-053,48.099330476,17.121154224,183.316,dosková,prefabrikovaný predpätý betón,20,43,104,statický výpočet,Miestna komunikácia,1984,Nezistený,3,39.8,Nezistený,22.5,22.5,Nezistený,Nezistený,BA,MAG-BA,Bratislava V,oba smery trasy CK,medzikrižovatkový,4424A17802,4424A02201,805774,118,91.653,89.899,470,Bratislava,3,3,3,3,3,3,3,3,3,3,4,4,4.0
M7468,cesta I. triedy,2,Dilatačný celok,Nezistený,M7468.01,54,48.096426792,17.120931869,179.405499,trámová,prefabrikovaný železobetón,29,60,0,podľa tabuliek,Miestna komunikácia,1986,Nezistený,1,5.61,Nezistený,23.9,10.4,Nezistený,Nezistený,BA,MAG-BA,Bratislava V,oba smery trasy CK,medzikrižovatkový,4424A02202,4424A18800,7616,164,91.992,90.238,490,Bratislava,6,6,6,6,6,6,6,6,6,6,6,6,6.0
M6499,cesta I. triedy,11,Dilatačný celok,Most cez bezmenný potok vo Svrčinovci,M6499.01,200,49.491615851,18.781324783,451.880999,dosková,monolitický železobetón,12,29,187,podľa tabuliek,Vodný tok,1953,Nezistený,1,5,Nezistený,12,12,Nezistený,Nezistený,NDS,NDS - SSUR CA,Čadca,oba smery trasy CK,medzikrižovatkový,2613A42900,2613A43000,1377711,69,406.826,1.224,6,Žilina,4,4,4,4,4,4,4,4,4,4,4,4,4.0
M2061,cesta I. triedy,11,Dilatačný celok,11_202 Most cez rieku Čerňanka v k.ú. obce Svrčinovec,M2061.01,202,49.479899075,18.794048493,430.79575,oblúková,monolitický železobetón,14,49,100,statický výpočet podľa TP 02/2016,Vodný tok,1931,Nezistený,1,32,Nezistený,6.5,6.5,Nezistený,Nezistený,STAT,SSC - IVSC ZA,Čadca,oba smery trasy CK,medzikrižovatkový,2613A37600,2613A37900,194666,34,408.504,2.76,27,Žilina,2,2,2,2,2,4,4,4,6,6,6,6,6.0
M3917,cesta I. triedy,11,Dilatačný celok,"11_203 Most cez potok Čadečka, Čadca, osada Podzávod",M3917.01,203,49.455058609,18.783305904,428.566999,trámová,monolitický železobetón,37,58,134,podľa tabuliek,Vodný tok,1951,Nezistený,1,13.4,Nezistený,11,9,Nezistený,Nezistený,STAT,SSC - IVSC ZA,Čadca,oba smery trasy CK,medzikrižovatkový,2613A16300,2613A16400,194286,169,411.495,5.771,36,Žilina,4,4,4,4,4,4,4,4,4,5,5,5,6.0
M331,cesta I. triedy,11b,Dilatačný celok,11-206 Most cez rieku Kysuca v meste Čadca,M331.01,206,49.440266018,18.789767168,415.303249,dosková,monolitický železobetón,11,19,90,statický výpočet podľa TP 02/2016,Vodný tok,1969,Nezistený,3,52.4,Nezistený,14.5,10.5,Nezistený,Nezistený,STAT,SSC - IVSC ZA,Čadca,oba smery trasy CK,medzikrižovatkový,2613A03900,2613A34600,8694,4,413.54,0.004,1,Žilina,5,5,5,5,6,6,6,6,6,6,6,6,6.0
M2532,cesta I. triedy,11,Dilatačný celok,11_209 Most nad MK v meste Čadca,M2532.01,209,49.428672502,18.799520991,412.9725,dosková,prefabrikovaný železobetón,30,76,239,projektovaná,Miestna komunikácia,1970,Nezistený,1,6,Nezistený,12.71,10.5,Nezistený,Nezistený,STAT,SSC - IVSC ZA,Čadca,oba smery trasy CK,medzikrižovatkový,2613A04002,2613A35601,992026,508,415.064,9.387,73,Žilina,2,2,2,2,2,2,2,2,2,2,2,2,2.0
M3828,cesta I. triedy,11,Dilatačný celok,11_210 Most cez bezmenný potok v obci Horelica,M3828.01,210,49.429605785,18.809551024,407.543999,dosková,monolitický železobetón,10,32,280,podľa tabuliek,Vodný tok,1934,Nezistený,1,3,Nezistený,7.6,6.6,Nezistený,Nezistený,STAT,SSC - IVSC ZA,Čadca,oba smery trasy CK,medzikrižovatkový,2613A36100,2613A36200,194641,5,415.764,10.125,79,Žilina,4,4,4,4,4,4,4,4,4,4,4,4,6.0
M6402,cesta I. triedy,11,Dilatačný celok,11_211 Most cez bezmenný potok v obci Horelica,M6402.01,211,49.42454179,18.830074867,401.4655,klenbová,kameň,8,32,168,podľa tabuliek,Vodný tok,1934,Nezistený,1,2.6,Nezistený,8,8,Nezistený,Nezistený,STAT,SSC - IVSC ZA,Čadca,oba smery trasy CK,medzikrižovatkový,2613A37000,2613A04101,194650,245,417.772,12.105,88,Žilina,4,4,4,4,4,4,4,4,4,4,4,4,4.0
M2367,cesta I. triedy,11,Dilatačný celok,11_212 Most cez potok Jasný v obci Horelica,M2367.01,212,49.425029796,18.833868149,403.8555,dosková,prefabrikovaný železobetón,27,75,232,podľa tabuliek,Vodný tok,1953,Nezistený,1,7,Nezistený,11,10,Nezistený,Nezistený,STAT,SSC - IVSC ZA,Čadca,oba smery trasy CK,medzikrižovatkový,2613A37000,2613A04101,194650,529,418.056,12.389,88,Žilina,4,4,4,4,4,4,4,4,4,4,4,4,5.0
M1812,cesta I. triedy,11,Dilatačný celok,11_213 Most cez potok Oščadnica v k.ú. obce Oščadnica,M1812.01,213,49.420416996,18.837121187,402.134999,trámová,monolitický železobetón,10,28,69,podľa tabuliek,Vodný tok,1938,Nezistený,1,26,Nezistený,7.5,6.5,Nezistený,Nezistený,STAT,SSC - IVSC ZA,Čadca,oba smery trasy CK,medzikrižovatkový,2613A04102,2613A34300,212359,182,418.681,13.006,90,Žilina,4,4,4,4,4,4,4,4,4,5,5,5,5.0
M3024,cesta I. triedy,11,Dilatačný celok,Most cez bezmenný potok v Oščadnici,M3024.01,214,49.412183262,18.840345137,396.4455,trámová,prefabrikovaný železobetón,26,64,157,projektovaná,Vodný tok,1984,Nezistený,1,6.3,Nezistený,11.5,11.5,Nezistený,Nezistený,NDS,NDS - SSUR CA,Čadca,oba smery trasy CK,medzikrižovatkový,2613A04200,2613A03301,8952,200,419.661,14.001,93,Žilina,4,4,4,4,4,4,4,4,4,4,4,4,4.0
M2978,cesta I. triedy,11,Dilatačný celok,Most cez bezmenný potok v Krásne nad Kysucou,M2978.01,215,49.407280781,18.843185112,396.513999,trámová,prefabrikovaný železobetón,26,64,157,projektovaná,Vodný tok,1984,Nezistený,1,6.3,Nezistený,11.5,11.5,Nezistený,Nezistený,NDS,NDS - SSUR CA,Čadca,oba smery trasy CK,medzikrižovatkový,2613A04200,2613A03301,8952,783,420.244,14.584,93,Žilina,4,4,4,4,4,4,4,4,4,4,4,4,4.0
