ID_mosta	Zemepisná_dĺžka	Zemepisná_šírka	úsek_ID	ID_úseku	Start	End	Okres	StartNode_Latitude	StartNode_Longitude	EndNode_Latitude	EndNode_Longitude	Car_route	Car_alt
M3011	17.09724	48.16243	460587	80122	4424A00103	4424A00801	Bratislava I	48.16694	17.07885	48.16175	17.09994		
M3877	17.20615	48.14839	460772	82653	4424A61901	4424A62902	Bratislava II	48.14821	17.20658	48.16057	17.17891		
M5772	18.23044	49.00332	288337	93220	3521A03200	2543A00200	Ilava			49.02453	18.20931		
M1945	21.78333	49.25615	150991	1680	2832A00200	2832A01100	Stropkov	49.25624	21.78531	49.26551	21.71772		
M5316	21.9558	49.2831	1054436	3106	2841A00100	2832A01700	Medzilaborce	49.28826	22.0155	49.29005	21.93425		
M1608	21.91997	48.76015	642641	3304	3814A02404	3814A24604	Michalovce	48.76251	21.92562	48.75876	21.91417		
M2681	22.17823	48.76214	272222	4140	3823A01700	3823A01500	Sobrance	48.75605	22.18443	48.80742	22.15878		
M5686	19.58965	48.98958	1342452	93006	3621A00200	2643A02800	Liptovský Mikuláš	48.96692	19.57286	49.03181	19.57291		
M3641	17.1242	48.5111	426660	82809	3442A01601	3444A19000	Malacky	48.56103	17.13155	48.49675	17.09524		
M7762	17.16608	48.73472	259432	83540	3424A12600	3424A41600	Skalica	48.79745	17.16593	48.72388	17.16083		
M6308	18.3419	48.61117	398998	83670	3542A00500	3541A03200	Partizánske	48.6289	18.35564				
M2846	19.77967	48.42963	255415	93100	3644A02001	3644A01900	Poltár	48.42743	19.78413	48.43027	19.77431		
M5312	17.1435	48.64027	283529	83526	3442A00600	3442A02900	Senica	48.6474	17.14327	48.61298	17.04616		
M1255	19.61434	49.07487	211300	93701	2643A09000	2643A01801	Liptovský Mikuláš	49.06852	19.61448	49.08104	19.61918		
M3759	20.82762	49.07546	405378	4718	2743B00100	3721A00900	Levoča	49.07737	20.82932	49.00598	20.77647		
M6883	20.85289	49.10786	292202	4719	2743A01901	2743B00100	Sabinov	49.14474	20.85646	49.07737	20.82932		
M7034	18.21429	49.22803	343696	95940	2541A00300	2543A00700	Púchov	49.29464	18.23434	49.19333	18.21903		
M2877	18.23812	48.70704	968496	83656	3523A03902	3523A08200	Bánovce nad Bebravou	48.6938	18.14778	48.71082	18.25219		
M5910	18.68981	48.77787	6753	92110	3613A00600	3613A00400	Prievidza	48.76956	18.75508	48.77978	18.69553		
M7118	19.56106	49.36615	334083	93930	2641A01503	2623A00303	Tvrdošín	49.35736	19.54928	49.36601	19.61656		
M3027	17.31663	48.13792	1355402	85750	4513A03203	4424A02700	Senec	48.14148	17.33293	48.12713	17.29489		
M6745	18.16504	47.86485	367383	83070	4541A00700	4541A05500	Komárno	47.8602	18.17739	47.92	18.13331		
M220	19.13166	48.57483	651260	93351	3632A17100	3632A01103	Zvolen	48.57332	19.14451	48.57366	19.12645		
M1902	21.25786	48.98071	452079	3511	3722A52702	3722A01600	Prešov	48.97765	21.26397				
M5676	21.34448	48.60454	451447	5450	3831A02100	3742A03600	Košice - okolie	48.60434	21.34656	48.60706	21.32266		
M7568	17.64865	48.67603	192295	85150	3514A05603	3531A05600	Myjava	48.68908	17.67885	48.6716	17.59988		
M7368	17.22539	48.21395	1225159	86210	4422B00700	4422A00700	Pezinok	48.21688	17.17845	48.23468	17.24919		
M7109	17.04286	48.44234	429551	82791	3444A24000	3444A02203	Malacky	48.44445	17.0594	48.44086	17.02546		
M1699	17.91433	48.179	934282	83930	4512B00600	4514A00506	Šaľa	48.18446	17.92412	48.16865	17.89538		
M3649	19.83353	48.4249	1343302	93299	3644A03400	3644A14800	Poltár	48.43255	19.85963	48.41977	19.82513		
M57	18.41509	48.40038	285962	83901	3544A01807	3544A21800	Zlaté Moravce	48.40301	18.41222	48.3828	18.39698		
M6054	17.7362	48.36608	1115	85170	4512A03900	3534A02103	Hlohovec	48.32511	17.72537	48.43545	17.76836		
M1762	18.75507	48.97298	2498	93219	3611A06300	3611B00200	Martin	48.96977	18.81212	48.95068	18.70436		
M4684	19.28821	49.42487	334242	94890	2614A00500	2614A00100	Námestovo	49.4574	19.22666	49.38535	19.30403		
M1296	20.30239	48.53908	4207	5100	3731A01300	3731A02200	Revúca	48.53842	20.29826	48.54759	20.30313		
M634	20.7914	49.2883	5173	5180	2741A01203	2741A04301	Stará Ľubovňa	49.27514	20.78096	49.34082	20.80116		
M6688	20.93253	48.84868	310970	3731	3721A23300	3723A02303	Gelnica	48.85472	20.91936	48.84844	20.93276		
M917	21.7172	48.63565	1070615	5711	3832A14300	3832A01700	Trebišov	48.63782	21.7327	48.63801	21.71655		
M4021	21.70083	48.98593	6194	5480	3812A06503	2833A05003	Vranov nad Topľou	48.97452	21.70789	49.05602	21.60143		
M1933	17.56217	48.76796	192420	83981	3513A32800	3513A02104	Myjava	48.77153	17.56224	48.75559	17.56702		
M5626	21.20352	48.64765	733204	620	3742A01402	3724A00101	Košice II	48.64162	21.20092	48.67926	21.21403		
