Trieda CK,Číslo CK,Evidenčné číslo mosta,ID mosta,Názov mosta,Investor,Rok postavenia,Zhotovitel,Zaťažovacia trieda STN,Počet otvorov,Dĺžka premostenia,Dĺžka nosnej konštrukcie,Voľná šírka mosta,Šírka medzi obrubami,Plocha nosnej konštrukcie,Plocha mosta,Stavebno-technický stav,Usek,Poc. Uzol,Konc. Uzol,Usekove stanicenie zac. objektu,Kumul. stanicenie zaciatku objektu,LongitudeE,LatitudeN,VyskaH,Dlzka DC,Druh konštrukcie,Materiál konštrukcie,Zaťažiteľnosť normálna,Zaťažiteľnost výhradná,Zaťažiteľnosť výnimočná,Spôsob stanovenia,Predmet premostenia,Smer useku,Typ useku,Ev. dlzka useku,Vlastník CK,Typ správcu CK,Správca CK,KRAJ,OKRES,Pokračovanie,Poradie
cesta I. triedy,2,25,M5509,02_025 Most cez Lozorňanský potok,,1972.0,,,1.0,5.0,,11.5,10.5,,,Veľmi dobrý,6298.0,4422A00200,4422A25500,823,62343.0,17.029249805,48.318007888,177.103499,5.0,trámová,prefabrikovaný železobetón,36.0,78.0,354.0,odhadom,Vodný tok,0.0,medzikrižovatkový,1272.0,STAT,SSC,SSC  - IVSC BA,Bratislavský kraj,Malacky,0.0,156.0
cesta I. triedy,2,26,M4332,02_026 Most cez zátokové územie pred Stupavou,,1927.0,,,1.0,2.2,,7.85,7.65,,,Dobrý,426537.0,4422A25800,4422A25900,1553,65722.0,17.031404597,48.288147531,169.082999,2.2,dosková,monolitický železobetón,13.0,40.0,350.0,odhadom,Záplavové územie,0.0,medzikrižovatkový,1743.0,STAT,SSC,SSC  - IVSC BA,Bratislavský kraj,Malacky,0.0,160.0
cesta I. triedy,2,28,M6110,02_028 Most cez potok v Stupave,,1966.0,,,1.0,5.9,,14.0,10.0,,,Veľmi dobrý,6300.0,4422A02400,4422A27300,210,67224.0,17.031912319,48.274879854,178.77,5.9,dosková,prefabrikovaný železobetón,27.0,56.0,160.0,odhadom,Vodný tok,0.0,medzikrižovatkový,242.0,STAT,SSC,SSC  - IVSC BA,Bratislavský kraj,Malacky,0.0,167.0
cesta I. triedy,2,29,M3838,02_029 Most cez mlynský náhon v obci Stupava,,1948.0,,,1.0,3.0,,18.2,13.3,,,Uspokojivý,426576.0,4422A27300,4422A27400,10,67266.0,17.031948416,48.274517135,180.40325,3.0,dosková,monolitický železobetón,13.0,40.0,350.0,odhadom,Kanál,0.0,medzikrižovatkový,20.0,STAT,SSC,SSC  - IVSC BA,Bratislavský kraj,Malacky,0.0,168.0
cesta I. triedy,2,30,M2550,02_030 Most cez potok v k.ú. obce Stupava,,1961.0,,,1.0,4.0,,9.65,8.55,,,Dobrý,429530.0,4422A31900,4422A32000,109,69422.0,17.030527629,48.255456029,167.4535,4.0,dosková,prefabrikovaný železobetón,18.0,36.0,239.0,odhadom,Vodný tok,0.0,medzikrižovatkový,155.0,STAT,SSC,SSC  - IVSC BA,Bratislavský kraj,Malacky,0.0,183.0
cesta I. triedy,2,31,M2259,,,1961.0,,,1.0,4.35,,10.64,10.45,,,Uspokojivý,486152.0,4422A06003,4422A02600,13,70202.0,17.034100573,48.24924125,213.564499,4.35,dosková,prefabrikovaný železobetón,31.8,88.2,156.0,projektovaná,Vodný tok,0.0,medzikrižovatkový,519.0,BA,MAG BA,MAG BA,Bratislavský kraj,Bratislava IV,0.0,189.0
cesta I. triedy,2,32,M3446,,,1961.0,,,1.0,3.22,,11.22,11.22,,,Zlý,460523.0,4422A33100,4422A33200,334,71083.0,17.034921066,48.241369836,215.326,3.22,dosková,monolitický železobetón,16.0,39.0,210.0,projektovaná,Vodný tok,0.0,medzikrižovatkový,335.0,BA,MAG BA,MAG BA,Bratislavský kraj,Bratislava IV,0.0,191.0
cesta I. triedy,2,33,M7099,,,1946.0,,,1.0,31.0,,14.0,10.0,,,Zlý,460763.0,4422A45000,4422A45100,16,76966.0,17.047198389,48.189058513,258.09325,31.0,klenbová,monolitický železobetón,43.2,86.4,195.7,projektovaná,Železnica,0.0,medzikrižovatkový,87.0,BA,MAG BA,MAG BA,Bratislavský kraj,Bratislava IV,1.0,14.0
cesta I. triedy,2,34,M6538,,,1978.0,,,1.0,4.06,,35.5,20.0,,,Dobrý,526578.0,4422A50001,4422A50002,1,79783.0,17.072509059,48.171003006,218.180999,4.06,trámová,prefabrikovaný železobetón,39.0,144.0,277.0,podľa tabuliek,Miestna komunikácia,0.0,lúč,39.0,BA,MAG BA,MAG BA,Bratislavský kraj,Bratislava IV,5.0,2.0
cesta I. triedy,2,35,M4156,,,1979.0,,,1.0,6.9,,11.0,11.0,,,Uspokojivý,7405.0,4422A05700,4424A00101,224,80188.0,17.076409559,48.168776802,0.0,6.9,dosková,prefabrikovaný železobetón,24.0,43.0,144.0,porovnávací výpočet,Podchod pre chodcov,1.0,medzikrižovatkový,409.0,BA,MAG BA,MAG BA,Bratislavský kraj,Bratislava IV,6.0,0.0
cesta I. triedy,2,122A,M6998,,,1000.0,,,,,,,,,,Nezistený,8493.0,4424A00409,4424A00410,0,82589.0,17.076067394,48.148751341,158.45875,999.0,,,0.0,0.0,0.0,,,2.0,lúč,209.0,BA,MAG BA,MAG BA,Bratislavský kraj,Bratislava IV,10.0,1.0
cesta I. triedy,2,040 1,M1920,,,1989.0,,,1.0,6.76,,9.0,9.0,,,Dobrý,7579.0,4424A05517,4424A05518,51,51.0,17.103763044,48.130647403,184.601999,6.76,trámová,prefabrikovaný železobetón,37.0,81.0,312.0,projektovaná,Miestna komunikácia,998.0,vetva,53.0,BA,MAG BA,MAG BA,Bratislavský kraj,Bratislava V,11.0,18.0
cesta I. triedy,2,040 2,M2301,,,1990.0,,,1.0,6.76,,9.0,9.0,,,Dobrý,7572.0,4424A05516,4424A05515,33,33.0,17.106123715,48.132621202,182.698999,6.76,trámová,prefabrikovaný železobetón,37.0,78.0,317.0,projektovaná,Miestna komunikácia,998.0,vetva,57.0,BA,MAG BA,MAG BA,Bratislavský kraj,Bratislava V,11.0,24.0
cesta I. triedy,2,001C,M3973,,,1986.0,,,14.0,465.99,,9.0,9.0,,,Zlý,9451.0,4424A00503,4424A00510,338,85479.0,17.131347012,48.130576842,0.0,465.99,trámová,prefabrikovaný predpätý betón,27.0,57.0,95.0,porovnávací výpočet,"Cestná komunikácia,  Cestná komunikácia",1.0,lúč,471.0,BA,MAG BA,MAG BA,Bratislavský kraj,Bratislava V,11.0,47.0
