Bridge_ID,District,Latitude,Longitude,Material,Bridge_Name,Bridge_Length,Year_of_Construction,Bridge_Width,Load_Capacity,Road_Class,Type_of_Structure,Bridge_Purpose,Administrator,Road_Number,Region,num_2012,num_2013,num_2014,num_2015,num_2016,num_2017,num_2018,num_2019,num_2020,num_2021,num_2022,num_2023
M2128,Malacky,48.49701,17.00391,monolitický železobetón,02_012 Most cez potok za obcou Veľké Leváre,2.1,1977.0,10.5,21.0,cesta I. triedy,trámová,Vodný tok,SSC - IVSC BA,2,Bratislava,2,2,2,2,2,4,4,4,4,4,4,4
M139,Malacky,48.489033881,17.009922887,prefabrikovaný predpätý betón,02_013 Most cez potok Rudava,12.9,1977.0,10.5,37.0,cesta I. triedy,trámová,Vodný tok,SSC - IVSC BA,2,Bratislava,4,4,4,4,4,4,4,4,4,4,4,4
M3988,Bratislava V,48.131135978,17.134619356,monolitický predpätý betón,Most na výstupnej vetve pravobrež.križovatky Prístavného mosta,231.07,1983.0,9.0,27.0,cesta I. triedy,trámová,"Účelová komunikácia,  Účelová komunikácia,  Účelová komunikácia,  Účelová komunikácia",MAG-BA,2,Bratislava,1,1,1,1,1,1,1,1,1,1,1,1
M3021,Malacky,48.485986971,17.012068791,monolitický železobetón,02_014 Most cez kanál za obcou Veľké Leváre,2.1,1977.0,10.3,21.0,cesta I. triedy,trámová,Kanál,SSC - IVSC BA,2,Bratislava,3,3,3,3,3,3,3,3,3,6,6,6
M24,Malacky,48.440933137,17.012224814,monolitický železobetón,02_015 Most cez potok Malina v Malackách,9.5,1938.0,8.0,14.0,cesta I. triedy,trámová,Vodný tok,SSC - IVSC BA,2,Bratislava,4,4,4,4,4,5,5,5,5,5,5,5
M65,Malacky,48.425106076,17.020628121,monolitický železobetón,02_016 2.Most cez potok Malina v Malackách,7.45,1934.0,7.65,13.0,cesta I. triedy,trámová,Vodný tok,SSC - IVSC BA,2,Bratislava,4,4,4,4,4,4,4,4,4,4,4,4
M2290,Malacky,48.412613048,17.019061316,monolitický železobetón,02_018 Most cez jarok Balážka v obci Malacky,2.95,1934.0,7.45,11.0,cesta I. triedy,dosková,Vodný tok,SSC - IVSC BA,2,Bratislava,3,3,3,3,3,6,6,6,6,5,5,5
M2334,Malacky,48.398454069,17.016530125,monolitický železobetón,02_019 Most nad železnicou Brno-Bratislava pri obci Plavecký Štvrtok,32.6,1934.0,7.35,18.0,cesta I. triedy,trámová,Železnica,SSC - IVSC BA,2,Bratislava,3,3,3,3,3,3,3,3,3,3,3,3
M5138,Malacky,48.39305116,17.019896533,monolitický železobetón,02_020 Most cez potok Hlavina,6.0,1934.0,8.0,10.0,cesta I. triedy,dosková,Vodný tok,SSC - IVSC BA,2,Bratislava,4,4,4,4,4,7,7,7,7,7,7,7
M616,Malacky,48.364202757,17.016902618,monolitický železobetón,02_021 Most cez potok Štum,4.15,1934.0,8.35,13.0,cesta I. triedy,dosková,Vodný tok,SSC - IVSC BA,2,Bratislava,3,3,3,3,3,5,5,5,5,4,4,4
M6907,Malacky,48.346283788,17.019155983,monolitický železobetón,02_022 Most cez potok Frikav v k. ú. obce Lozorno,4.0,1934.0,8.1,17.0,cesta I. triedy,dosková,Vodný tok,SSC - IVSC BA,2,Bratislava,3,3,3,3,3,4,4,4,4,4,4,4
M5555,Malacky,48.326810205,17.023798066,monolitický predpätý betón,02_024 Most nad diaľnicou D2 v k.ú. obce Lozorno,59.9,1973.0,13.0,19.0,cesta I. triedy,rámová,Cestná komunikácia,SSC - IVSC BA,2,Bratislava,4,4,4,4,4,4,4,4,4,5,5,5
M5509,Malacky,48.318007888,17.029249805,prefabrikovaný železobetón,02_025 Most cez Lozorňanský potok,5.0,1972.0,11.5,36.0,cesta I. triedy,trámová,Vodný tok,SSC - IVSC BA,2,Bratislava,2,2,2,2,2,6,6,6,6,6,6,6
M4332,Malacky,48.288147531,17.031404597,monolitický železobetón,02_026 Most cez zátokové územie pred Stupavou,2.2,1927.0,7.85,13.0,cesta I. triedy,dosková,Záplavové územie,SSC - IVSC BA,2,Bratislava,3,3,3,3,3,6,6,6,6,6,6,6
M6110,Malacky,48.274879854,17.031912319,prefabrikovaný železobetón,02_028 Most cez potok v Stupave,5.9,1966.0,14.0,27.0,cesta I. triedy,dosková,Vodný tok,SSC - IVSC BA,2,Bratislava,2,2,2,2,2,6,6,6,6,6,6,6
M3838,Malacky,48.274517135,17.031948416,monolitický železobetón,02_029 Most cez mlynský náhon v obci Stupava,3.0,1948.0,18.2,13.0,cesta I. triedy,dosková,Kanál,SSC - IVSC BA,2,Bratislava,4,4,4,4,4,4,4,4,4,4,4,4
M2550,Malacky,48.255456029,17.030527629,prefabrikovaný železobetón,02_030 Most cez potok v k.ú. obce Stupava,4.0,1961.0,9.65,18.0,cesta I. triedy,dosková,Vodný tok,SSC - IVSC BA,2,Bratislava,3,3,3,3,3,3,3,3,3,6,6,6
M2259,Bratislava IV,48.24924,17.0341,prefabrikovaný železobetón,"Most cez Mariánsky potok na Bratislavskej ulici, Záhorská Bystrica",10.86,1961.0,17.5,32.0,cesta I. triedy,dosková,Vodný tok,MAG-BA,2,Bratislava,4,4,4,4,4,4,4,4,4,4,1,1
M3446,Bratislava IV,48.241369836,17.034921066,monolitický železobetón,"Most na Bratislavskej ulici cez Bystrický potok, Záhorská Bystrica",3.22,1961.0,11.22,16.0,cesta I. triedy,dosková,Vodný tok,MAG-BA,2,Bratislava,5,5,5,5,5,5,5,5,5,5,5,5
M7099,Bratislava IV,48.18906,17.0472,monolitický železobetón,"Most nad traťou ŽSR, Lamač BA",31.0,1946.0,14.0,50.0,cesta I. triedy,klenbová,Železnica,MAG-BA,2,Bratislava,5,5,5,5,5,5,5,5,5,5,5,5
M6538,Bratislava IV,48.171003006,17.072509059,prefabrikovaný železobetón,Nezistený,4.06,1978.0,35.5,39.0,cesta I. triedy,trámová,Miestna komunikácia,MAG-BA,2,Bratislava,3,3,3,3,3,3,3,3,3,3,3,3
M4156,Bratislava IV,48.168776802,17.076409559,prefabrikovaný železobetón,Nezistený,6.9,1979.0,11.0,24.0,cesta I. triedy,dosková,Podchod pre chodcov,MAG-BA,2,Bratislava,4,4,4,4,4,4,4,4,4,4,4,4
M1920,Bratislava V,48.130647403,17.103763044,prefabrikovaný železobetón,"Most na podchodom ku gymnáziu, vetva križovatky 2.1. Petržalka BA",6.76,1989.0,9.0,36.0,cesta I. triedy,trámová,Miestna komunikácia,MAG-BA,2,Bratislava,3,3,3,3,3,3,3,3,3,3,3,3
M2301,Bratislava V,48.132621202,17.106123715,prefabrikovaný železobetón,Nájazd z Einsteinovej ulice na Panónsku cestu pri Sade Janka Kráľa,6.76,1990.0,7.0,36.0,cesta I. triedy,trámová,Miestna komunikácia,MAG-BA,2,Bratislava,3,3,3,3,3,3,3,3,3,3,3,3
M2027,Nezistený,Nezistený,Nezistený,Nezistený,Nezistený,Nezistený,Nezistený,Nezistený,Nezistený,Nezistený,Nezistený,Nezistený,Nezistený,Nezistený,Nezistený,3,3,3,3,3,3,3,3,3,3,0,0
M6994,Bratislava V,48.12925187,17.130055519,prefabrikovaný železobetón,Nezistený,5.61,1985.0,12.0,28.0,cesta I. triedy,trámová,"Miestna komunikácia,  Miestna komunikácia",MAG-BA,2,Bratislava,5,5,5,5,5,5,5,5,5,5,5,5
M7229,Bratislava V,48.127563995,17.129935117,prefabrikovaný predpätý betón,"Most na Dolnozemskej ceste nad Bosákovou ulicou, Petržalka, BA",108.95,1983.0,11.5,32.0,cesta I. triedy,trámová,Miestna komunikácia,MAG-BA,2,Bratislava,3,3,3,3,3,3,3,3,3,3,3,3
M5333,Bratislava V,48.125990691,17.131040629,monolitický železobetón,Nezistený,5.61,1985.0,10.2,41.0,cesta I. triedy,rámová,"Miestna komunikácia,  Miestna komunikácia",MAG-BA,2,Bratislava,6,6,6,6,6,6,6,6,6,6,6,6
