ID mosta,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Okres,Longitude,Latitude,Material,Názov mosta,Dĺžka premostenia,Rok postavenia,Volná šírka mosta,Normána zaťažiteľnost,Trieda PK,Kraj,n_2012,n_2013,n_2014,n_2015,n_2016,n_2017,n_2018,n_2019,n_2020,n_2021,n_2022,n_2023
M139,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Malacky,17.009922887,48.489033881,prefabrikovaný predpätý betón,02_013 Most cez potok Rudava,12.9,1977,10.5,37.0,cesta I. triedy,Bratislava,4,4,4,4,4,4,4,4,4,4,4,4
M3988,Bezchybný,Bezchybný,Bezchybný,Bezchybný,Bezchybný,Bezchybný,Bezchybný,Bezchybný,Bezchybný,Bezchybný,Bezchybný,Bezchybný,Bratislava V,17.134619356,48.131135978,monolitický predpätý betón,Most na výstupnej vetve pravobrež.križovatky Prístavného mosta,231.07,1983,9.0,27.0,cesta I. triedy,Bratislava,1,1,1,1,1,1,1,1,1,1,1,1
M3021,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Veľmi zlý,Veľmi zlý,Veľmi zlý,Malacky,17.012068791,48.485986971,monolitický železobetón,02_014 Most cez kanál za obcou Veľké Leváre,2.1,1977,10.3,21.0,cesta I. triedy,Bratislava,3,3,3,3,3,3,3,3,3,6,6,6
M24,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Zlý,Zlý,Zlý,Zlý,Zlý,Zlý,Zlý,Malacky,17.012224814,48.440933137,monolitický železobetón,02_015 Most cez potok Malina v Malackách,9.5,1938,8.0,14.0,cesta I. triedy,Bratislava,4,4,4,4,4,5,5,5,5,5,5,5
M65,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Malacky,17.020628121,48.425106076,monolitický železobetón,02_016 2.Most cez potok Malina v Malackách,7.45,1934,7.65,13.0,cesta I. triedy,Bratislava,4,4,4,4,4,4,4,4,4,4,4,4
M2290,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Veľmi zlý,Veľmi zlý,Veľmi zlý,Veľmi zlý,Zlý,Zlý,Zlý,Malacky,17.019061316,48.412613048,monolitický železobetón,02_018 Most cez jarok Balážka v obci Malacky,2.95,1934,7.45,11.0,cesta I. triedy,Bratislava,3,3,3,3,3,6,6,6,6,5,5,5
M2334,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Malacky,17.016530125,48.398454069,monolitický železobetón,02_019 Most nad železnicou Brno-Bratislava pri obci Plavecký Štvrtok,32.6,1934,7.35,18.0,cesta I. triedy,Bratislava,3,3,3,3,3,3,3,3,3,3,3,3
M5138,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Havarijný,Havarijný,Havarijný,Havarijný,Havarijný,Havarijný,Havarijný,Malacky,17.019896533,48.39305116,monolitický železobetón,02_020 Most cez potok Hlavina,6.0,1934,8.0,10.0,cesta I. triedy,Bratislava,4,4,4,4,4,7,7,7,7,7,7,7
M616,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Zlý,Zlý,Zlý,Zlý,Uspokojivý,Uspokojivý,Uspokojivý,Malacky,17.016902618,48.364202757,monolitický železobetón,02_021 Most cez potok Štum,4.15,1934,8.35,13.0,cesta I. triedy,Bratislava,3,3,3,3,3,5,5,5,5,4,4,4
M6907,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Malacky,17.019155983,48.346283788,monolitický železobetón,02_022 Most cez potok Frikav v k. ú. obce Lozorno,4.0,1934,8.1,17.0,cesta I. triedy,Bratislava,3,3,3,3,3,4,4,4,4,4,4,4
M5555,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Zlý,Zlý,Zlý,Malacky,17.023798066,48.326810205,monolitický predpätý betón,02_024 Most nad diaľnicou D2 v k.ú. obce Lozorno,59.9,1973,13.0,19.0,cesta I. triedy,Bratislava,4,4,4,4,4,4,4,4,4,5,5,5
M5509,Veľmi dobrý,Veľmi dobrý,Veľmi dobrý,Veľmi dobrý,Veľmi dobrý,Veľmi zlý,Veľmi zlý,Veľmi zlý,Veľmi zlý,Veľmi zlý,Veľmi zlý,Veľmi zlý,Malacky,17.029249805,48.318007888,prefabrikovaný železobetón,02_025 Most cez Lozorňanský potok,5.0,1972,11.5,36.0,cesta I. triedy,Bratislava,2,2,2,2,2,6,6,6,6,6,6,6
M4332,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Veľmi zlý,Veľmi zlý,Veľmi zlý,Veľmi zlý,Veľmi zlý,Veľmi zlý,Veľmi zlý,Malacky,17.031404597,48.288147531,monolitický železobetón,02_026 Most cez zátokové územie pred Stupavou,2.2,1927,7.85,13.0,cesta I. triedy,Bratislava,3,3,3,3,3,6,6,6,6,6,6,6
M6110,Veľmi dobrý,Veľmi dobrý,Veľmi dobrý,Veľmi dobrý,Veľmi dobrý,Veľmi zlý,Veľmi zlý,Veľmi zlý,Veľmi zlý,Veľmi zlý,Veľmi zlý,Veľmi zlý,Malacky,17.031912319,48.274879854,prefabrikovaný železobetón,02_028 Most cez potok v Stupave,5.9,1966,14.0,27.0,cesta I. triedy,Bratislava,2,2,2,2,2,6,6,6,6,6,6,6
M3838,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Malacky,17.031948416,48.274517135,monolitický železobetón,02_029 Most cez mlynský náhon v obci Stupava,3.0,1948,18.2,13.0,cesta I. triedy,Bratislava,4,4,4,4,4,4,4,4,4,4,4,4
M2550,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Veľmi zlý,Veľmi zlý,Veľmi zlý,Malacky,17.030527629,48.255456029,prefabrikovaný železobetón,02_030 Most cez potok v k.ú. obce Stupava,4.0,1961,9.65,18.0,cesta I. triedy,Bratislava,3,3,3,3,3,3,3,3,3,6,6,6
M2259,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Bezchybný,Bezchybný,Bratislava IV,17.0341,48.24924,prefabrikovaný železobetón,"Most cez Mariánsky potok na Bratislavskej ulici, Záhorská Bystrica",10.86,1961,17.5,32.0,cesta I. triedy,Bratislava,4,4,4,4,4,4,4,4,4,4,1,1
M3446,Zlý,Zlý,Zlý,Zlý,Zlý,Zlý,Zlý,Zlý,Zlý,Zlý,Zlý,Zlý,Bratislava IV,17.034921066,48.241369836,monolitický železobetón,"Most na Bratislavskej ulici cez Bystrický potok, Záhorská Bystrica",3.22,1961,11.22,16.0,cesta I. triedy,Bratislava,5,5,5,5,5,5,5,5,5,5,5,5
