ID_mosta,Trieda_PK,Číslo_PK,Názov_mosta,správcovské_číslo,Zemepisná_šírka,Zemepisná_dĺžka,Výška,Druh_konštrukcie,Material,Normálna_zaťažiteľnosť,Výhradná_zaťažiteľnosť_t,Výnimočná_zaťažiteľnosť_t,Spôsob_stanovenia,Predmet_premostenia,Rok_postavenia,Zaťažovacia_trieda_STN,Počet_otvorov,Dĺžka_premostenia,Dĺžka_nosnej_konštrukcie_m,Volná_šírka_mosta,Šírka_medzi_obrubami_m,Plocha_mosnej_konštrukcie_m2,Plocha_mosta_m2,Vlastník_úseku,Správca_úseku,Okres,Počiatočný_uzol,Koncový_uzol,úsek_ID,Kraj,n_2012,n_2013,n_2014,n_2015,n_2016,n_2017,n_2018,n_2019,n_2020,n_2021,n_2022,n_2023,n_2024
M1963,cesta I. triedy,51,51_120 Most cez potok Selenec za mestom Nitra - Chrenová,120,48.308663187,18.137103251,155.046,dosková,monolitický železobetón,12.0,22.0,166.0,odhadom,Vodný tok,1936,Nezistený,1.0,4.0,,8.2,7.4,,,STAT,SSC - IVSC BA,Nitra,4521A44700,4521A44800,510035,Nitra,3,3,3,3,3,3,3,3,3,3,3,6,6
M3822,cesta I. triedy,64,64_115 Most cez potok Bytčica v obci Bytčica,115,49.185730228,18.733795399,361.5635,klenbová,kameň,7.0,20.0,74.0,podľa tabuliek,Vodný tok,1890,,1.0,3.9,,10.85,10.5,,,STAT,SSC - IVSC ZA,Žilina,2633A41900,2633A42000,402163,Žilina,0,0,0,0,0,0,0,0,0,0,0,0,6
M3470,cesta I. triedy,51,51_192 Most cez horský potok pri obci Hronská Breznica,192,48.551342966,19.005972238,299.106,dosková,monolitický železobetón,25.0,48.0,196.0,odhadom,Vodný tok,1951,Nezistený,1.0,3.8,,9.6,8.6,,,STAT,SSC - IVSC BB,Zvolen,3632B00700,3632A02905,2990,Banská Bystrica,3,3,3,3,3,3,3,3,3,3,3,6,6
M1180,cesta I. triedy,72,72_059 Most cez potok Štiavnička v Hornej Jarabej,59,48.892463018,19.70204065,875.593999,dosková,monolitický železobetón,14.0,39.0,210.0,odhadom,Vodný tok,1940,Nezistený,1.0,3.5,,7.9,,,,STAT,SSC - IVSC BB,Brezno,3622A03900,3622A04000,489204,Banská Bystrica,3,3,3,3,3,3,3,3,3,3,3,3,6
M6865,cesta I. triedy,72,72_063 Most cez potok Kunštovo v Kunštovskej doline,63,48.90410607,19.701252975,1007.04725,klenbová,monolitický prostý betón,14.0,48.0,154.0,odhadom,Vodný tok,1940,Nezistený,1.0,3.4,,10.0,,,,STAT,SSC - IVSC BB,Brezno,3622A04100,3622B00100,489206,Banská Bystrica,3,3,3,3,3,3,3,3,3,3,3,3,6
M5810,cesta I. triedy,51,51_083 Most cez potok Raková v k.ú. obce Trstín,83,48.560099136,17.45796303,260.363249,rámová,prefabrikovaný železobetón,27.0,60.0,100.0,Nezistený,Vodný tok,1982,Nezistený,1.0,3.0,,10.85,10.85,,,STAT,SSC - IVSC BA,Trnava,3531B00500,3531A28200,9081,Trnava,3,3,3,3,3,3,3,3,3,3,3,3,6
M3516,cesta I. triedy,51,51_188 Most cez jarok pred obcou Kozelník,188,48.509415482,18.977657501,373.290999,dosková,monolitický železobetón,14.0,43.0,378.0,odhadom,Vodný tok,1961,Nezistený,1.0,3.0,,8.5,7.6,,,STAT,SSC - IVSC BB,Banská Štiavnica,3633A13402,3631A02100,1372789,Banská Bystrica,3,3,3,3,3,3,3,3,3,3,3,6,6
M3888,cesta I. triedy,66,66_115 Most cez potok Maková za obcou Beňuš,115,48.840595988,19.792438126,558.648,dosková,monolitický železobetón,19.0,54.0,280.0,odhadom,Vodný tok,1957,Nezistený,1.0,3.0,,10.0,7.0,,,STAT,SSC - IVSC BB,Brezno,3624A10500,3624A00400,489260,Banská Bystrica,3,3,3,3,3,3,3,3,3,3,3,3,6
M7666,cesta I. triedy,66,66_159 Most cez Horský potok pred Pustým Poľom,159,48.876444546,20.22938377,932.886499,dosková,monolitický železobetón,10.0,25.0,25.0,odhadom,Vodný tok,1940,Nezistený,1.0,3.0,,8.1,7.0,,,STAT,SSC - IVSC BB,Brezno,3711A07202,3711A07502,489151,Banská Bystrica,3,3,3,3,3,3,3,3,3,3,3,3,6
M7751,cesta I. triedy,72,72_008 Most cez Kozlov potok v Rimavskom Brezove,8,48.526579421,19.947946744,268.8885,klenbová,kameň,10.0,33.0,134.0,podľa tabuliek,Vodný tok,1979,Nezistený,1.0,3.0,,6.1,,,,STAT,SSC - IVSC BB,Rimavská Sobota,3642A00903,3642A17400,413044,Banská Bystrica,2,2,2,2,2,2,2,2,2,2,2,5,6
M7192,cesta I. triedy,64,64_080 Most cez potok Tužinka v obci Nitrianske Pravno,80,48.876501288,18.638108228,345.717749,dosková,monolitický železobetón,17.0,17.0,118.0,odhadom,Vodný tok,1930,Nezistený,1.0,2.55,,8.75,8.1,,,STAT,SSC - IVSC ZA,Prievidza,3522A20300,3522A16000,1284768,Trenčín,3,3,3,3,3,3,3,3,3,3,3,6,6
M475,cesta I. triedy,75,"75_039 Most cez lúčny jarok, Osada - Peres",39,48.123379023,18.834348868,162.610249,klenbová,tehla,12.0,38.0,224.0,porovnávací výpočet,Vodný tok,1938,Nezistený,1.0,2.5,,7.6,5.8,,,STAT,SSC - IVSC BA,Levice,4613A21000,4613A21200,468845,Nitra,4,4,4,4,4,4,4,4,5,5,5,5,6
M5938,cesta I. triedy,15,15_004 Most cez kanál v obci Sedliská,4,48.906922716,21.729849696,129.092,dosková,monolitický železobetón,18.0,36.0,196.0,porovnávací výpočet,Kanál,1930,,1.0,2.2,,8.14,7.6,,,STAT,SSC - IVSC KE,Vranov nad Topľou,3812A33600,3812A33800,403861,Prešov,0,0,0,0,0,0,0,0,0,0,0,0,6
M1372,cesta I. triedy,49,49_061 Most cez rieku Váh v meste Púchov,61,49.119625834,18.327863078,268.554999,trámová,oceľ -  plnostenná,22.0,85.0,120.0,porovnávací výpočet,Vodný tok,1949,Nezistený,5.0,186.0,,7.5,7.5,,,STAT,SSC - IVSC ZA,Púchov,2543A19200,2543A19300,343483,Trenčín,4,4,4,4,3,3,3,3,3,3,3,5,5
M2728,cesta I. triedy,66,"66_082D Most cez rieku Hron, železničnú trať a cestu III/06642, k.ú. Lučatín",082D,48.779274988,19.327931999,396.202999,trámová,prefabrikovaný predpätý betón,32.0,100.0,193.0,projektovaná,Vodný tok,1975,Nezistený,5.0,165.39,,13.3,10.8,,,STAT,SSC - IVSC BB,Banská Bystrica,3614A14100,3623A01001,280278,Banská Bystrica,2,2,2,2,2,2,2,2,2,2,2,5,5
M7652,cesta I. triedy,79,79_036 Most cez rieku Bodrog pred obcou Viničky,36,48.395426744,21.750181187,104.00125,oblúková,oceľ -  priehradová,32.0,80.0,200.0,statický výpočet,Vodný tok,1952,Nezistený,4.0,156.5,,8.5,7.0,,,STAT,SSC - IVSC KE,Trebišov,3834A00800,3834A23400,3163,Košice,6,6,3,3,3,3,3,3,3,3,3,3,5
M2109,cesta I. triedy,10,18_250 Most cez kanál VE v Bytči,250,49.232268099,18.556957568,325.6735,oblúková,oceľ -  plnostenná,26.0,80.0,196.0,odhadom,Kanál,1991,Nezistený,1.0,109.91,,11.5,11.5,,,STAT,SSC - IVSC ZA,Bytča,2542A13400,2542A09600,273444,Žilina,2,2,2,2,2,3,3,3,3,3,3,3,5
M5959,cesta I. triedy,66,66-082B Most cez rieku Hron pri obci Slovenská Ľupča,082B,48.769788036,19.28843012,380.044999,trámová,monolitický predpätý betón,26.0,68.0,145.0,odhadom,Vodný tok,1975,Nezistený,3.0,90.34,,11.75,10.5,,,STAT,SSC - IVSC BB,Banská Bystrica,3614A14000,3614A14100,280277,Banská Bystrica,3,3,3,3,3,3,3,3,3,3,3,5,5
M6620,cesta I. triedy,65,"65-160_Most cez Hron (riečny km 134,50)",160,48.587230903,18.88830808,255.6615,trámová,prefabrikovaný predpätý betón,35.0,101.0,248.0,Nezistený,Vodný tok,1993,Nezistený,3.0,85.84,30.0,11.5,11.25,,,STAT,SSC - IVSC BB,Žiar nad Hronom,3631A00900,3631A00205,6783,Banská Bystrica,2,2,2,2,2,2,2,2,2,2,2,5,5
M6476,cesta I. triedy,9,"50_090 Most nad železničnou traťou, k.ú. Mníchova Lehota",90,48.810944962,18.089226023,361.566749,trámová,prefabrikovaný predpätý betón,52.0,130.0,263.0,porovnávací výpočet,Železnica,1966,Nezistený,4.0,72.15,,13.7,11.2,,,STAT,SSC - IVSC ZA,Trenčín,3523A27900,3523A28001,382662,Trenčín,2,2,2,2,2,2,2,2,2,3,3,3,5
M342,cesta I. triedy,65,"65_057A Most nad cestou I/50, k.ú. Šášovské Podhradie",057A,48.58840362,18.896201154,271.87025,trámová,monolitický predpätý betón,34.0,79.0,280.0,Nezistený,Cestná komunikácia,1993,Nezistený,3.0,68.68,,13.62,12.5,,,STAT,SSC - IVSC BB,Žiar nad Hronom,3631A00216,3631A00217,8794,Banská Bystrica,2,2,2,2,2,2,2,2,2,2,2,5,5
