Time,P_4_pv0,P_4_pv1,P_4_pv3,P_8_pv0,P_8_pv1,P_8_pv3,P_26_pv0,P_26_pv1,P_26_pv3,P_2_pv0,P_2_pv1,P_2_pv3
2025-02-25 00:00:00+00:00,3426.874186333333,333.2518514,-2.5357433953333337,2650.608073,257.9958140333333,-1.669109225,3612.9640300000005,351.3689473333333,-2.483308950666667,3560.671468,346.9083862333334,-0.7461325526666666
2025-02-25 01:00:00+00:00,3420.77941875,332.634674075,-2.60600888725,2644.7047119999997,257.376350425,-1.8375671805,3608.1540525,350.887451175,-2.5158769485,3555.83892825,346.35775755,-0.96726916725
2025-02-25 02:00:00+00:00,3455.368896666667,335.9580281333333,-2.7213809493333336,2679.269043,260.6766052333333,-2.0638332363333336,3649.745931,354.89759316666664,-2.613580942,3594.9706220000003,350.0822347,-1.206969499666667
2025-02-25 03:00:00+00:00,3395.733561333333,330.01794433333333,-3.1346685886666665,2620.0167643333334,254.8254598,-2.389513095,3581.3443196666667,348.0694071666667,-3.0985181333333336,3528.2124839999997,343.4013773666666,-1.710144917
2025-02-25 04:00:00+00:00,3426.23938,332.88397215,-3.4196383949999998,2650.5721435,257.69621275,-2.770395756,3620.109741,351.71078495,-3.4465069775,3565.2575685,346.85417175,-2.1328773500000002
2025-02-26 00:00:00+00:00,3492.2808837499997,341.26057437500003,2.110405445,2717.60241675,265.6920471,2.5818271635,3682.07257075,359.91173555,2.3839764592500003,3631.3081055000002,355.16237639999997,2.96262824525
2025-02-26 01:00:00+00:00,3502.83813475,342.26950835,2.04738640775,2728.283386,266.70996095,2.4941377045,3694.9759520000002,361.129287725,2.2721054555,3643.7056275,356.33587647499996,2.857840776
2025-02-26 02:00:00+00:00,3494.2961425,341.42801665,2.0273571015,2719.66925025,265.869400025,2.4978016615,3684.7802735,360.132637025,2.27405953425,3632.86676025,355.27337647499996,2.851245761
2025-02-26 03:00:00+00:00,3477.819824,339.761810325,1.868832469,2702.12060525,264.068023675,2.185637474,3666.46948275,358.28985595,2.1333658695,3614.60296625,353.3981018,2.6099170445
2025-02-26 04:00:00+00:00,3462.9663087500003,338.2086792,1.5803614855,2687.79589825,262.610366825,1.97044456,3648.95623775,356.47857665000004,1.86419153225,3598.90710475,351.78512575,2.39741075025
2025-02-27 00:00:00+00:00,3484.84094225,339.710044875,-0.2100635095,2709.2171630000003,264.229217525,0.25720567250000004,3675.19451875,358.35035704999996,0.015876894000000003,3624.07531725,353.59127045,0.626282364
2025-02-27 01:00:00+00:00,3517.632141,343.000610325,0.053248657000000005,2743.18042,267.602279675,0.47826086725,3716.1627195,362.458816525,0.3175378665,3664.2091675,357.59804535,0.8707865325
2025-02-27 02:00:00+00:00,3503.23071275,341.627120975,0.139228139,2726.2542114999997,265.984535225,0.58060574525,3698.5179445000003,360.78295137500004,0.42598924075,3644.550232,355.71723175,0.97215437875
2025-02-27 03:00:00+00:00,3487.83477775,340.138580325,0.17562286925,2712.4296265000003,264.6330719,0.58866632,3680.91784675,359.063644425,0.431362964,3629.69329825,354.258522025,0.9489496945
2025-02-27 04:00:00+00:00,3485.7335205,339.90677645,0.0999022975,2710.86633325,264.445823675,0.4640937895,3678.50543225,358.78684235000003,0.31998047225,3627.710022,354.011604325,0.804592073
2025-02-28 00:00:00+00:00,3425.131592,333.68991090000003,-0.7842370866666667,2650.707194,258.34577433333334,-0.39895783366666665,3610.2555336666665,351.8059285333334,-0.563426137,3558.1094563333336,346.8876749666667,-0.11170819166666666
2025-02-28 01:00:00+00:00,3375.6546630000003,328.654945375,-1.416707337,2600.698059,253.31890107499999,-0.9789936244999999,3553.56256125,346.0443573,-1.22374203825,3504.1347655,341.416946425,-0.70029310875
2025-02-28 02:00:00+00:00,3505.62713625,341.212074275,-1.6853932440000001,2729.9381715,265.852165225,-1.18295064575,3702.1984252499997,360.422340425,-1.47972643375,3650.3204955,355.60227205,-0.85344406975
2025-02-28 03:00:00+00:00,3415.361633,332.31199645,-2.01685389875,2639.53643775,256.92131804999997,-1.6609672605,3600.779358,350.387283325,-1.91939422475,3548.69543475,345.48833467500003,-1.4528578517500002
2025-02-28 04:00:00+00:00,3464.0672,336.91661835,-2.39912062875,2690.0847775,261.70305632500003,-2.16267704975,3657.1012575,355.742797875,-2.2586711645,3604.715027,350.745224025,-1.98729848875
2025-03-05 00:00:00+00:00,2902.01763925,282.146125775,-2.76062536225,2125.524109,207.214813225,-0.14557889375,3076.0185545,299.047492975,-2.8089888094999997,3025.15222175,295.166847225,0.6607230155
2025-03-05 01:00:00+00:00,2940.72448725,285.666877775,-3.57181245075,2162.0588377500003,210.63611605,-0.7840742467499999,3118.38061525,302.946884125,-3.4995114805000003,3068.18261725,299.1287079,-0.09428431825
2025-03-05 02:00:00+00:00,2955.7816165,287.08033755,-3.7396190165,2178.871582,212.13326265,-1.4186614455,3135.50933825,304.4912796,-3.88373231875,3083.4469605,300.398605325,-0.7948216945
