Time,P_3_pv0,P_3_pv1,P_3_pv3,T_27_pv1,T_27_pv2
2025-02-26 00:00:00+00:00,2254.4243775,220.240428925,1.86052763475,5.640625,5.828125
2025-02-26 01:00:00+00:00,2254.60632325,220.24427035,1.79018080225,5.625,5.78125
2025-02-26 02:00:00+00:00,2255.4382935,220.33273695,1.8290181159999999,5.5625,5.734375
2025-02-26 03:00:00+00:00,2254.52282725,220.20824815,1.67537856075,5.265625,5.453125
2025-02-26 04:00:00+00:00,2252.14929175,219.94119645,1.5144113305,4.953125,5.125
2025-02-27 00:00:00+00:00,2245.13842775,219.026176425,0.512945771,3.03125,3.328125
2025-02-27 01:00:00+00:00,2245.52288825,219.07396319999998,0.5613092185,3.34375,3.578125
2025-02-27 02:00:00+00:00,2245.67175275,219.10668945,0.610649705,3.453125,3.65625
2025-02-27 03:00:00+00:00,2245.4611815,219.0806694,0.610649705,3.421875,3.671875
2025-02-27 04:00:00+00:00,2244.98394775,219.025627125,0.57107961175,3.375,3.640625
2025-02-28 00:00:00+00:00,2243.210022,218.805206275,0.36614558075000003,2.546875,2.90625
2025-02-28 01:00:00+00:00,2239.019226,218.312168125,-0.0004885197499999994,1.9375,2.234375
2025-02-28 02:00:00+00:00,2238.8510134999997,218.2617378,-0.15192965625,1.96875,2.296875
2025-02-28 03:00:00+00:00,2236.9970705,218.0427742,-0.31533952425,1.703125,2.0625
2025-02-28 04:00:00+00:00,2236.17999275,217.90821455,-0.55935513975,1.515625,1.765625
2025-03-05 00:00:00+00:00,1799.70242275,175.45520399999998,-0.122129943,0.75,1.109375
2025-03-05 01:00:00+00:00,1797.063446,175.079948425,-0.76453344525,0.03125,0.3125
2025-03-05 02:00:00+00:00,1794.8340455,174.840541825,-0.86980946375,0.234375,0.671875
2025-03-05 03:00:00+00:00,1790.6958315,174.372905725,-1.245725453,-0.546875,-0.3125
2025-03-05 04:00:00+00:00,1789.37741075,174.1952324,-1.5097703935,-0.765625,-0.421875
2025-03-06 00:00:00+00:00,1841.19931025,179.96255109999998,2.34489494575,5.109375,5.3125
2025-03-06 01:00:00+00:00,1834.9279175,179.29058075,2.03444063675,4.5,4.71875
2025-03-06 02:00:00+00:00,1832.380432,178.9893341,1.7459697125,4.171875,4.375
2025-03-06 03:00:00+00:00,1827.72488425,178.477218625,1.4433317185,3.59375,3.84375
2025-03-06 04:00:00+00:00,1825.4577945,178.220584875,1.2457254232500001,3.359375,3.59375
2025-03-07 00:00:00+00:00,1866.72463975,182.798488625,4.12799215275,6.703125,6.921875
2025-03-07 01:00:00+00:00,1863.53054825,182.44007875,3.890815854,6.5625,6.765625
2025-03-07 02:00:00+00:00,1863.61410525,182.42833330000002,3.80288231375,6.6875,6.8125
2025-03-07 03:00:00+00:00,1863.01672375,182.379196175,3.834880352,6.71875,6.890625
2025-03-07 04:00:00+00:00,1861.2668454999998,182.1895485,3.7371764182500002,6.546875,6.734375
2025-03-08 00:00:00+00:00,1880.72442625,184.28824235,4.738397479,7.015625,7.25
2025-03-08 01:00:00+00:00,1876.1032102499998,183.79910280000001,4.555202603250001,6.6875,6.921875
2025-03-08 02:00:00+00:00,1870.1750795,183.11273575,4.0034196375,5.484375,5.875
2025-03-08 03:00:00+00:00,1867.260254,182.752105725,3.6150465015,5.3125,5.53125
2025-03-08 04:00:00+00:00,1862.53833,182.240241975,3.3485587835,4.75,5.078125
2025-03-09 00:00:00+00:00,1897.31863425,186.0677223,5.4567661285,7.75,7.921875
2025-03-09 01:00:00+00:00,1893.03961175,185.60525895,5.23693227775,7.5625,7.75
