ID_mosta,Trieda_PK,Číslo_PK,Most_DC,Názov_mosta,ID_DC,správcovské_číslo,Zemepisná_šírka,Zemepisná_dĺžka,Výška,Druh_konštrukcie,Material,Normálna_zaťažiteľnosť,Výhradná_zaťažiteľnosť_t,Výnimočná_zaťažiteľnosť_t,Spôsob_stanovenia,Predmet_premostenia,Rok_postavenia,Zaťažovacia_trieda_STN,Počet_otvorov,Dĺžka_premostenia,Dĺžka_nosnej_konštrukcie_m,Volná_šírka_mosta,Šírka_medzi_obrubami_m,Plocha_mosnej_konštrukcie_m2,Plocha_mosta_m2,Vlastník_úseku,Správca_úseku,Okres,Smer_úseku,Typ_úseku,Počiatočný_uzol,Koncový_uzol,úsek_ID,úsekové_staničenie_začiatku_DC_m,Kilometrovníkové_staničenie_začiatku_DC_km,Kumulatívne_staničenie_začiatku_DC_km,Poradie,Kraj,n_2012,n_2013,n_2014,n_2015,n_2016,n_2017,n_2018,n_2019,n_2020,n_2021,n_2022,n_2023,S
M6200,cesta II. triedy,533,Dilatačný celok,Most cez rieku Hnilec v obci Hnilec,M6200.01,10,48.843528897,20.50302787,666.41925,trámová,monolitický železobetón,12,35,202,odhadom,Vodný tok,1930,Nezistený,1.0,14.4,,7.0,5.2,,,KE SK,SC KSK - SNV,Spišská Nová Ves,oba smery trasy CK,medzikrižovatkový,3714A03501,3714A03600,219334,39,23.594,23.453,32,Prešov,5,5,5,5,5,3,5,5,5,5,5,5,469.0
M4105,cesta II. triedy,533,Dilatačný celok,Most cez Železný potok pri obci Hnilčík,M4105.01,11,48.876349357,20.521712777,813.102499,dosková,monolitický železobetón,17,40,238,odhadom,Vodný tok,1959,Nezistený,1.0,3.85,,11.9,10.4,,,KE SK,SC KSK - SNV,Spišská Nová Ves,oba smery trasy CK,medzikrižovatkový,3712A00300,3712A19100,4784,57,35.885,35.615,36,Prešov,4,4,4,4,4,4,5,5,5,5,6,6,2559.0
M686,cesta II. triedy,533,Dilatačný celok,Most cez horský potok pred obcou N. Huta,M686.01,13,48.892856988,20.519249763,595.929499,dosková,monolitický železobetón,24,62,280,odhadom,Vodný tok,1959,Nezistený,1.0,3.25,,8.8,7.6,,,KE SK,SC KSK - SNV,Spišská Nová Ves,oba smery trasy CK,medzikrižovatkový,3712A19100,3712A19200,219295,1004,41.205,40.94,37,Prešov,3,3,3,3,3,3,3,4,4,4,4,5,2559.0
M1650,cesta II. triedy,533,Dilatačný celok,"Most cez potok Dubnica, Novoveská Huta",M1650.01,14,48.902519819,20.518084431,546.995999,dosková,monolitický železobetón,32,60,350,odhadom,Vodný tok,1959,Nezistený,1.0,5.15,,10.5,9.0,,,KE SK,SC KSK - SNV,Spišská Nová Ves,oba smery trasy CK,medzikrižovatkový,3712A19800,3712A19900,219302,19,42.291,42.029,46,Prešov,4,4,4,4,4,4,5,5,5,5,6,6,3985.0
M6132,cesta II. triedy,533,Dilatačný celok,Most cez potok za osadou N. Huta,M6132.01,15,48.908389577,20.525495902,529.946249,dosková,prefabrikovaný železobetón,35,77,280,podľa tabuliek,Vodný tok,1970,Nezistený,1.0,4.7,,9.5,8.5,,,KE SK,SC KSK - SNV,Spišská Nová Ves,oba smery trasy CK,medzikrižovatkový,3712A47600,3712A20100,1048111,250,43.147,42.886,49,Prešov,3,3,3,3,3,3,4,4,4,4,5,5,3985.0
M4129,cesta II. triedy,533,Dilatačný celok,Most cez potok Hnilca v meste Spišská Nová Ves,M4129.01,16,48.936981122,20.557781413,459.475749,dosková,prefabrikovaný predpätý betón,38,90,264,podľa tabuliek,Vodný tok,1986,Nezistený,3.0,43.86,,18.5,13.35,,,KE SK,SC KSK - SNV,Spišská Nová Ves,oba smery trasy CK,medzikrižovatkový,3712A20800,3712A20900,219312,131,47.133,46.868,59,Prešov,4,4,4,4,4,4,4,4,4,4,6,6,8437.0
M1667,cesta II. triedy,533,Dilatačný celok,Most cez rieku Hornád v meste Spišská Nová Ves,M1667.01,17,48.94299291,20.560954866,454.451749,trámová,prefabrikovaný predpätý betón,35,101,420,podľa tabuliek,Vodný tok,1986,Nezistený,1.0,28.0,,17.25,13.25,,,KE SK,SC KSK - SNV,Spišská Nová Ves,oba smery trasy CK,medzikrižovatkový,3712A21500,3712A21600,219319,78,47.844,47.579,66,Prešov,3,3,3,3,3,3,4,4,4,4,4,4,8437.0
M3902,cesta II. triedy,533,Dilatačný celok,Most cez potok Brusník v meste Spišská Nová Ves,M3902.01,19,48.951746362,20.569017574,463.24975,trámová,prefabrikovaný predpätý betón,35,101,412,podľa tabuliek,Vodný tok,1976,Nezistený,1.0,21.85,,21.04,15.39,,,KE SK,SC KSK - SNV,Spišská Nová Ves,oba smery trasy CK,medzikrižovatkový,3712A00402,3712A06701,4736,0,49.008,48.741,82,Prešov,3,3,3,3,3,3,5,5,5,5,5,5,15077.0
M3907,cesta II. triedy,533,Dilatačný celok,Most Spišská Nová Ves - zdravotnícky areál,M3907.01,019A,48.952221929,20.570955089,466.876999,dosková,prefabrikovaný predpätý betón,48,112,403,podľa tabuliek,Účelová komunikácia,1976,Nezistený,1.0,8.35,,19.7,15.7,,,KE SK,SC KSK - SNV,Spišská Nová Ves,oba smery trasy CK,medzikrižovatkový,3712A06702,3712A48100,24935,21,49.167,48.9,90,Prešov,3,3,3,3,3,3,4,4,4,4,6,6,12599.0
M6258,cesta II. triedy,533,Dilatačný celok,Most cez Levočský potok v obci Harichovce,M6258.01,21,48.961924688,20.581924895,451.0635,trámová,prefabrikovaný predpätý betón,31,90,267,podľa tabuliek,Vodný tok,1957,Nezistený,1.0,17.6,,13.0,10.5,,,KE SK,SC KSK - SNV,Spišská Nová Ves,oba smery trasy CK,medzikrižovatkový,3712A12701,3712A12800,219230,12,51.507,51.24,99,Prešov,4,4,4,4,4,4,4,5,6,6,6,7,6402.0
M162,cesta II. triedy,535,Dilatačný celok,Most cez rieku Hnilec v osade Dobšiná - Dedinky,M162.01,2,48.853521574,20.38516586,774.788,oblúková,monolitický železobetón,27,67,165,odhadom,Vodný tok,1951,Nezistený,1.0,56.8,,7.85,6.65,,,KE SK,SC KSK - RV,Rožňava,oba smery trasy CK,medzikrižovatkový,3712A27200,3712A01200,324315,27,Nezistený,1.914,5,Košice,3,3,3,3,3,3,3,3,3,4,6,6,1066.0
M4697,cesta II. triedy,535,Dilatačný celok,Most cez rieku Hnilec v obci Mlynky,M4697.01,4,48.849945206,20.427461408,748.565,trámová,prefabrikovaný predpätý betón,32,80,196,projektovaná,Vodný tok,1997,Nezistený,1.0,10.81,,12.85,10.35,,,KE SK,SC KSK - SNV,Spišská Nová Ves,oba smery trasy CK,medzikrižovatkový,3712A02700,3712A23700,8919,525,Nezistený,3.628,9,Prešov,1,1,1,1,1,1,1,3,3,3,3,6,974.0
M423,cesta II. triedy,535,Dilatačný celok,Most cez rieku Hnilec v obci Mlynky,M423.01,5,48.845049302,20.439658908,801.789749,trámová,prefabrikovaný predpätý betón,32,80,196,projektovaná,Vodný tok,2005,Nezistený,1.0,22.1,,10.1,10.1,,,KE SK,SC KSK - SNV,Spišská Nová Ves,oba smery trasy CK,medzikrižovatkový,3712A24100,3714A03800,219489,312,Nezistený,5.735,14,Prešov,1,1,1,1,1,1,1,2,2,2,2,5,974.0
M547,cesta II. triedy,536,Dilatačný celok,Most cez potok Žehrica v obci Spišské Vlachy,M547.01,1,48.94896034,20.797983332,384.823749,dosková,monolitický železobetón,26,64,213,odhadom,Vodný tok,1948,Nezistený,1.0,10.2,,12.0,8.0,,,KE SK,SC KSK - SNV,Spišská Nová Ves,oba smery trasy CK,medzikrižovatkový,3721A00200,3721A12900,5016,20,0.105,0.02,1,Prešov,4,4,4,4,4,4,4,4,4,4,4,4,3830.0
