ID_mosta;Trieda_PK;Číslo_PK;Zemepisná_šírka;Zemepisná_dĺžka
M7630;cesta III. triedy;3002;48.525609966;20.409349964
M6446;cesta III. triedy;3003;48.518538749;20.38031516
M4352;cesta III. triedy;3003;48.518884564;20.379001989
M68;cesta III. triedy;3004;48.491605333;20.486329137
M1615;cesta III. triedy;3005;48.538246856;20.360849031
M1987;cesta III. triedy;3009;48.571551713;20.463760992
M4212;cesta III. triedy;3010;48.637713775;20.472922856
M4972;cesta III. triedy;3012;48.6259406;20.580195102
M2274;cesta III. triedy;3012;48.626598991;20.582042009
M6445;cesta III. triedy;3014;48.666901517;20.594003225
M1347;cesta III. triedy;3014;48.676135122;20.604566916
M7633;cesta III. triedy;3014;48.677725157;20.607000574
M415;cesta III. triedy;3015;48.638165197;20.630448482
M6269;cesta III. triedy;3015;48.638701608;20.645119156
M1166;cesta III. triedy;3015;48.64937462;20.679464895
M2737;cesta III. triedy;3015;48.646016199;20.691686721
M2081;cesta III. triedy;3015;48.63894485;20.697671955
M6486;cesta III. triedy;3015;48.63310161;20.704245258
M1749;cesta III. triedy;3015;48.631959172;20.720173689
M4438;cesta III. triedy;3016;48.63556239;20.720983757
M1301;cesta III. triedy;3018;48.574031871;20.644026247
M1097;cesta III. triedy;3299;48.586704561;20.85319567
M3469;cesta III. triedy;3300;48.579924543;20.887345459
M2865;cesta III. triedy;3300;48.581481961;20.887894895
M5691;cesta III. triedy;3301;48.569226813;20.857662416
M7350;cesta III. triedy;3302;48.597732754;20.87826626
M1439;cesta III. triedy;3302;48.593719968;20.894112133
M3361;cesta III. triedy;3302;48.585079238;20.915415533
M6977;cesta III. triedy;3302;48.555864598;20.96670191
M4885;cesta III. triedy;3302;48.541334994;21.039277736
M1645;cesta III. triedy;3302;48.538645226;21.059873099
M1010;cesta III. triedy;3302;48.533637104;21.089756399
M2126;cesta III. triedy;3302;48.531585733;21.105936647
M219;cesta III. triedy;3302;48.531773094;21.129379756
M2473;cesta III. triedy;3302;48.534644032;21.172390566
M7406;cesta III. triedy;3306;48.628346896;20.855433046
M1716;cesta III. triedy;3306;48.634035603;20.850337256
M4612;cesta III. triedy;3306;48.64164215;20.848633151
M3394;cesta III. triedy;3306;48.644175115;20.847222699
M6513;cesta III. triedy;3306;48.649480473;20.846342468
M1126;cesta III. triedy;3306;48.660182771;20.844566213
M683;cesta III. triedy;3307;48.587895309;20.991008695
M6947;cesta III. triedy;3307;48.57797315;20.977811695
M4280;cesta III. triedy;3307;48.562066716;20.960200427
M4153;cesta III. triedy;3308;48.581888716;20.938904093
M366;cesta III. triedy;3308;48.582098981;20.93542196
M2415;cesta III. triedy;3310;48.589290267;21.032562194
M3219;cesta III. triedy;3310;48.579523798;21.049571948
M1001;cesta III. triedy;3310;48.557611441;21.076614424
M5017;cesta III. triedy;3310;48.554847298;21.081101051
M1475;cesta III. triedy;3313;48.63610693;21.077317079
M5234;cesta III. triedy;3313;48.643082901;21.067829561
M1884;cesta III. triedy;3400;48.592215248;21.165801759
M2946;cesta III. triedy;3400;48.570132617;21.115747049
M2822;cesta III. triedy;3400;48.546900817;21.081204476
M6366;cesta III. triedy;3315;48.560312999;21.178830518
M7122;cesta III. triedy;3315;48.541379203;21.186042227
M4657;cesta III. triedy;3318;48.609046628;21.229399778
M671;cesta III. triedy;3403;48.709098831;21.151023282
M2122;cesta III. triedy;3404;48.721652152;21.179572432
M2264;cesta III. triedy;3404;48.724018066;21.164908469
M2747;cesta III. triedy;3404;48.724831771;21.145111929
M2055;cesta III. triedy;3319;48.724795956;21.14495366
M1021;cesta III. triedy;3319;48.724756663;21.144731799
M7730;cesta III. triedy;3319;48.729337677;21.103741381
M2296;cesta III. triedy;3319;48.726358108;21.06769497
M4073;cesta III. triedy;3319;48.741783424;21.020140886
M6711;cesta III. triedy;3319;48.747928479;21.003379825
M6850;cesta III. triedy;3319;48.754621928;21.00413099
M3617;cesta III. triedy;3410;48.705902489;21.339134452
M5636;cesta III. triedy;3410;48.712024895;21.362075835
M207;cesta III. triedy;3410;48.705884321;21.413657872
M1019;cesta III. triedy;3321;48.704243306;21.345872669
M4755;cesta III. triedy;3322;48.703602;21.412776637
M5114;cesta III. triedy;3322;48.676334781;21.406518683
M380;cesta III. triedy;3324;48.736792332;21.326249713
M5706;cesta III. triedy;3325;48.757330887;21.341492608
M1773;cesta III. triedy;3325;48.778834823;21.330723475
M1636;cesta III. triedy;3325;48.802875936;21.328613805
M1330;cesta III. triedy;3325;48.812242989;21.327060328
M2138;cesta III. triedy;3325;48.813997977;21.325406184
M5199;cesta III. triedy;3326;48.793951231;21.35223188
M1613;cesta III. triedy;3650;48.753967766;21.683868853
M3837;cesta III. triedy;3652;48.741694961;21.647352247
M823;cesta III. triedy;3652;48.750237355;21.64395938
M3032;cesta III. triedy;3652;48.761532429;21.660671824
M6219;cesta III. triedy;3653;48.700848599;21.6547222
M7456;cesta III. triedy;3653;48.689652525;21.627666529
M6444;cesta III. triedy;3653;48.683664354;21.618842128
M3216;cesta III. triedy;3653;48.659307406;21.610414172
M5194;cesta III. triedy;3653;48.658491725;21.59892308
M3383;cesta III. triedy;3653;48.65315743;21.584219594
M3395;cesta III. triedy;3654;48.700819479;21.647025654
M3214;cesta III. triedy;3655;48.69215783;21.64676529
M1234;cesta III. triedy;3656;48.690686712;21.653474545
M1843;cesta III. triedy;3736;48.677356328;21.71896275
M1814;cesta III. triedy;3737;48.717995636;21.75164219
M5717;cesta III. triedy;3737;48.724867653;21.736679422
M5642;cesta III. triedy;3737;48.727737421;21.717112163
M6936;cesta III. triedy;3737;48.729655583;21.714484485
M2677;cesta III. triedy;3737;48.730689404;21.697686599
M4443;cesta III. triedy;3738;48.697670259;21.850470723
M2197;cesta III. triedy;3739;48.684905053;21.888502865
M1029;cesta III. triedy;3739;48.64530669;21.896848847
M3139;cesta III. triedy;3739;48.583993777;21.917318711
M6993;cesta III. triedy;3739;48.568436338;21.912021983
M3042;cesta III. triedy;3740;48.659021334;21.887137355
M6415;cesta III. triedy;3740;48.655164125;21.874425804
M1687;cesta III. triedy;3741;48.793905981;21.900719962
M6027;cesta III. triedy;3741;48.81232593;21.892627403
M3892;cesta III. triedy;3741;48.865021459;21.870360967
M158;cesta III. triedy;3741;48.877372174;21.850616347
M2572;cesta III. triedy;3743;48.809650325;22.086398816
M957;cesta III. triedy;3743;48.796528992;22.078387553
M6588;cesta III. triedy;3743;48.784397432;22.069601952
M6362;cesta III. triedy;3743;48.69659686;22.106195838
M6141;cesta III. triedy;3743;48.693989527;22.11159234
M2637;cesta III. triedy;3743;48.689769302;22.129920005
M912;cesta III. triedy;3743;48.685011938;22.13662024
M4294;cesta III. triedy;3792;48.746762834;22.103918135
M6122;cesta III. triedy;3792;48.76110328;22.121872374
M1482;cesta III. triedy;3792;48.848868184;22.184332629
M1748;cesta III. triedy;3794;48.821445139;22.175656899
M7480;cesta III. triedy;3795;48.720189711;22.261064275
M4884;cesta III. triedy;3744;48.685556929;21.930700919
M3497;cesta III. triedy;3744;48.654991885;21.939319499
M5993;cesta III. triedy;3744;48.640226513;21.930185189
M2262;cesta III. triedy;3744;48.638010906;21.925829222
M5656;cesta III. triedy;3744;48.613754958;21.946522375
M7025;cesta III. triedy;3744;48.60464863;21.953871579
M404;cesta III. triedy;3746;48.815016913;21.93295158
M506;cesta III. triedy;3747;48.805686652;21.963972925
M5602;cesta III. triedy;3797;48.752087528;22.141216012
M6603;cesta III. triedy;3797;48.736127528;22.122080064
M6770;cesta III. triedy;3797;48.729683327;22.115804247
M1899;cesta III. triedy;3797;48.711007925;22.111159625
M1121;cesta III. triedy;3798;48.745902816;22.15004111
M4845;cesta III. triedy;3798;48.745398948;22.149667706
M1568;cesta III. triedy;3329;48.597983169;20.873729203
M7100;cesta III. triedy;3329;48.601338983;20.878605647
M5854;cesta III. triedy;3799;48.774259212;22.201606037
M3215;cesta III. triedy;3800;48.757282683;22.200780835
M5289;cesta III. triedy;3801;48.737126168;22.214890406
M6261;cesta III. triedy;3801;48.735786895;22.221621708
M3625;cesta III. triedy;3801;48.728414895;22.258461063
M213;cesta III. triedy;3801;48.716476924;22.29637629
M295;cesta III. triedy;3801;48.711934206;22.315780596
M5815;cesta III. triedy;3802;48.748253043;22.267610622
M4797;cesta III. triedy;3803;48.683241134;22.228912775
M4953;cesta III. triedy;3805;48.650474278;22.252458157
M687;cesta III. triedy;3805;48.650277991;22.236639112
M7184;cesta III. triedy;3023;48.549400558;20.404957062
M3283;cesta III. triedy;3331;48.769907629;21.31913629
M7217;cesta III. triedy;3026;48.631712158;20.616162658
M4780;cesta III. triedy;3026;48.631386485;20.616672527
M2147;cesta III. triedy;3026;48.628693556;20.621192909
M2090;cesta III. triedy;3333;48.602634795;20.8392421
M5431;cesta III. triedy;3027;48.6820947;20.522552435
M5321;cesta III. triedy;3028;48.680095478;20.518578199
M5204;cesta III. triedy;3030;48.725808594;20.405591584
M6292;cesta III. triedy;3030;48.743117651;20.374991181
M5486;cesta III. triedy;3031;48.739712896;20.417627156
M1065;cesta III. triedy;3032;48.797817738;20.389451145
M1765;cesta III. triedy;3033;48.799793991;20.385068153
M3897;cesta III. triedy;3033;48.786947111;20.321401399
M3722;cesta III. triedy;3033;48.793277068;20.29299029
M1528;cesta III. triedy;3034;48.815313911;20.383325949
M1621;cesta III. triedy;3035;48.870770232;20.341409123
M6699;cesta III. triedy;3036;48.874451791;20.296753224
M6531;cesta III. triedy;3440;48.859550187;21.431210684
M462;cesta III. triedy;3440;48.854070436;21.427444129
M6237;cesta III. triedy;3440;48.852100084;21.427572079
M1739;cesta III. triedy;3440;48.842200633;21.420510974
M1307;cesta III. triedy;3440;48.837504541;21.419704573
M753;cesta III. triedy;3440;48.807895605;21.400910203
M2558;cesta III. triedy;3440;48.798543812;21.391588854
M2766;cesta III. triedy;3440;48.793554905;21.394697883
M2374;cesta III. triedy;3440;48.784018528;21.39279834
M3760;cesta III. triedy;3440;48.762397687;21.358037946
M1601;cesta III. triedy;3335;48.863519213;21.386066823
M4047;cesta III. triedy;3336;48.813280639;21.315929131
M7173;cesta III. triedy;3446;48.862740238;21.421430114
M1654;cesta III. triedy;3446;48.854122931;21.422843939
M4214;cesta III. triedy;3337;48.804976832;21.253153093
M3938;cesta III. triedy;3338;48.796546279;21.257222852
M6874;cesta III. triedy;3339;48.781621274;21.314422356
M1230;cesta III. triedy;3339;48.778002799;21.328429816
M6228;cesta III. triedy;3416;48.60656687;21.336483834
M579;cesta III. triedy;3416;48.606295168;21.339360197
M5676;cesta III. triedy;3416;48.604537087;21.344484887
M4137;cesta III. triedy;3416;48.588631655;21.375921754
M4007;cesta III. triedy;3416;48.586013421;21.380635772
M2121;cesta III. triedy;3342;48.600253522;21.347532011
M2832;cesta III. triedy;3342;48.59756107;21.349444033
M4164;cesta III. triedy;3342;48.567248963;21.332120627
M91;cesta III. triedy;3343;48.613507243;21.276919346
M1607;cesta III. triedy;3345;48.584567132;21.270744058
M2820;cesta III. triedy;3345;48.580940376;21.273619093
M5084;cesta III. triedy;3346;48.560558371;21.25883166
M5320;cesta III. triedy;3346;48.563073444;21.273936967
M7107;cesta III. triedy;3037;48.61866775;20.350298434
M7007;cesta III. triedy;3038;48.728864549;20.32739467
M2143;cesta III. triedy;3038;48.740249542;20.324963267
M5003;cesta III. triedy;3038;48.786255659;20.317201905
M2119;cesta III. triedy;3039;48.669846916;20.361143129
M7228;cesta III. triedy;3040;48.678417116;20.339320722
M4839;cesta III. triedy;3040;48.702217466;20.300716365
M3801;cesta III. triedy;3040;48.712459883;20.284230274
M4392;cesta III. triedy;3040;48.724069111;20.25620024
M4360;cesta III. triedy;3040;48.722463252;20.254659252
M1258;cesta III. triedy;3042;48.706524703;20.337836949
M531;cesta III. triedy;3043;48.722953303;20.330603486
M725;cesta III. triedy;3241;48.9334845;20.750540385
M5018;cesta III. triedy;3241;48.927717534;20.748303226
M6471;cesta III. triedy;3243;48.926344644;20.718015272
M1738;cesta III. triedy;3243;48.9249059;20.708990109
M1061;cesta III. triedy;3243;48.926113724;20.697359954
M4394;cesta III. triedy;3244;48.938770102;20.58434259
M3500;cesta III. triedy;3244;48.913047562;20.633222172
M873;cesta III. triedy;3244;48.90818;20.6444
M3639;cesta III. triedy;3244;48.907608202;20.650279075
M3871;cesta III. triedy;3244;48.888935603;20.676795156
M3429;cesta III. triedy;3244;48.883368773;20.678954922
M4896;cesta III. triedy;3247;48.948903142;20.620982158
M3729;cesta III. triedy;3248;48.935147451;20.573062487
M3575;cesta III. triedy;3248;48.932118641;20.577358842
M7088;cesta III. triedy;3248;48.916990741;20.582878735
M669;cesta III. triedy;3250;48.972527882;20.479667951
M7358;cesta III. triedy;3250;48.971648985;20.477464517
M5356;cesta III. triedy;3226;48.98511012;20.475895071
M7707;cesta III. triedy;3226;48.984690633;20.473494711
M6938;cesta III. triedy;3227;48.975852066;20.409029838
M44;cesta III. triedy;3227;48.970419688;20.397339926
M286;cesta III. triedy;3227;48.885476176;20.313739171
M5679;cesta III. triedy;3253;48.917524741;20.626388169
M5345;cesta III. triedy;3271;48.893102488;21.018328654
M4444;cesta III. triedy;3272;48.868821572;20.962027928
M1438;cesta III. triedy;3272;48.874654896;20.950263031
M6688;cesta III. triedy;3273;48.848681353;20.932527264
M7424;cesta III. triedy;3273;48.858755815;20.909870893
M3155;cesta III. triedy;3276;48.797920309;20.607773073
M6349;cesta III. triedy;3276;48.787229729;20.598925204
M3306;cesta III. triedy;3277;48.847758566;20.61184467
M5022;cesta III. triedy;3277;48.853634326;20.614222772
M6039;cesta III. triedy;3277;48.861799059;20.626579373
M3660;cesta III. triedy;3279;48.838294144;20.618450337
M6908;cesta III. triedy;3279;48.813171685;20.574186893
M6989;cesta III. triedy;3390;48.797834952;21.241557143
M1634;cesta III. triedy;3390;48.800273298;21.244516642
M96;cesta III. triedy;3349;48.794749705;21.117810019
M6071;cesta III. triedy;3349;48.803206614;21.109557356
M952;cesta III. triedy;3349;48.804938316;21.107087616
M3482;cesta III. triedy;3349;48.805378749;21.105642926
M2645;cesta III. triedy;3349;48.806860762;21.102153069
M1093;cesta III. triedy;3349;48.808640883;21.099510724
M1266;cesta III. triedy;3351;48.799180365;21.244900947
